row_id,year,tailing_id,tsf_name,related_mine,main_owner,full_ownership,operator,longitude,latitude,status,construction_year,raise_type,current_maximum_height,current_tailings_storage,planned_storage_5_years,hazard_categorization,classification_system,link,source,source_df,geometry,main_id,cluster_id
TAIL-ed4dd213-2019-1,2019,ON-TAIL-ed4dd213,Nova Scotia Tailings Area,Cobalt,Agnico Eagle,,Agnico Eagle,-79.6605556,47.392222,Inactive,1992.0,Not Raised,9.0,240000,240000,Medium,,https://s21.q4cdn.com/374334112/files/doc_downloads/Sustainability/TM-Report/Agnico-Eagle-Summary-Tailings-Management-Report-June-2019.pdf,,tailings_source_df,POINT (1154401.139591 -39472.904098),,89
TAIL-08ae73c3-2019-1,2019,NT-TAIL-08ae73c3,Gahcho Kué Area 2 FINE PKC,Gahcho Kue,Anglo American,Mountain Province Joint Venture partners,De Beers,-109.2117519,63.463619,Active,2016.0,Downstream,12.0,3500000,6880000,Major,Anglo American Technical Standard (AA TS 602 001),https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (-681418.127127 1655339.520615),NT-MAIN-94e652a5,65
TAIL-64e79431-2019-1,2019,NT-TAIL-64e79431,Gahcho Kué Course PKC Pile,Gahcho Kue,Anglo American,Mountain Province Joint Venture partners,De Beers,-109.2117519,63.463619,Active,2016.0,Dry stack,20.0,2900000,5590000,High,Anglo American Technical Standard (AA TS 602 001),https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (-681418.127127 1655339.520615),NT-MAIN-94e652a5,65
TAIL-e8542ddf-2019-1,2019,ON-TAIL-e8542ddf,Victor Fines PK storage facility,Victor,Anglo American,De Beers,De Beers,-83.9387,52.8230667,Active,2008.0,Downstream,8.0,7400000,7400000,Minor,"Anglo American Technical Standard (AA TS 602 001); Canadian Dam Safety Association Dam Safety Guidelines (CDA, 2013,2014);Canadian Dam Safety Association Dam Safety Guidelines (CDA, 2013,2014)  ",https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (732214.669924 486228.969242),,114
TAIL-16da9c44-2019-1,2019,ON-TAIL-16da9c44,Victor Coarse PK & Lo rade Ore Stockpile,Victor,Anglo American,De Beers,De Beers,-83.9387,52.8230667,Active,2008.0,Dry stack,12.0,5940000,5940000,Minor,Anglo American Technical Standard (AA TS 602 001),https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (732214.669924 486228.969242),,114
TAIL-813380da-2019-1,2019,ON-TAIL-813380da,Victor Coarse PK & overburden Stockpile,Victor,Anglo American,De Beers,De Beers,-83.925833,52.807844,Active,2008.0,Dry stack,14.0,5400000,5400000,Minor,Anglo American Technical Standard (AA TS 602 001),https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (733347.421037 484730.514728),,114
TAIL-555cfd36-2019-1,2019,NT-TAIL-555cfd36,Snap Lake North Pile,Snap Lake,Anglo American,De Beers,De Beers,-110.8666667,63.6052778,Inactive,2008.0,Hybrid PK Wasterock,22.0,3940000,3940000,Minor,Anglo American Technical Standard (AA TS 602 001); CDA; MAC,https://www.angloamerican.com/sustainability/tailings-summary/tailings-database?page=5,,tailings_source_df,POINT (-755423.375899 1688917.42798),,115
TAIL-b678baeb-2019-1,2019,ON-TAIL-b678baeb,David Bell / Williams Basin,Hemlo,Barrick Gold Inc. (Ontario),Barrick Gold Corporation,Barrick Gold Corporation,-85.878245,48.668708,Active,1985.0,"Upstream, Downstream",41.0,68000000,68000000,Very High,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (670438.460108 11290.701851),ON-MAIN-6e9be24e,28
TAIL-8b79aaa9-2019-1,2019,ON-TAIL-8b79aaa9,North Tailings Basin,Bicroft,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-78.044357,44.995564,Closed,1956.0,Upstream,9.0,1500000,1500000,High,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (1344289.699922 -268673.28413),,116
TAIL-79a5c6d8-2019-1,2019,ON-TAIL-79a5c6d8,South Tailings Basin,Bicroft,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-78.038638,44.987684,Closed,1956.0,Upstream,8.0,200000,200000,Significant,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (1344967.117296 -269411.92542),,116
TAIL-e6a02cd4-2019-1,2019,QC-TAIL-e6a02cd4,Bousquet LTA,Bousquet ,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-78.000949,48.106408,Closed,1938.0,Upstream,15.0,14000000,14000000,Significant,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (1255384.740947 69215.915308),,12
TAIL-57428d40-2019-1,2019,QC-TAIL-57428d40,Tailings Stack,Cadillac Molybdenite,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-78.382253,48.315221,Closed,1965.0,Upstream,20.0,1300000,1300000,Significant,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (1221860.408645 84273.808414),,15
TAIL-e26fa98b-2019-1,2019,NU-TAIL-e26fa98b,Tailings Pond 1,Cullaton Lake,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-98.492138,61.265859,Closed,1981.0,Downstream,5.0,300000,300000,Low,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-181794.21738 1346285.473426),,117
TAIL-70f26e1b-2019-1,2019,NU-TAIL-70f26e1b,Tailings Pond 2,Cullaton Lake,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-98.4799,61.264636,Closed,1981.0,Downstream,0.0,0,0,Not rated,,https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-181165.000962 1346118.460364),,117
TAIL-7b57eb50-2019-1,2019,BC-TAIL-7b57eb50,Albino Lake TSF,Eskay,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-130.496457,56.650496,Closed,1997.0,Lake,,200000,200000,Not rated,,https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-2019393.813231 1419311.64248),BC-MAIN-b1fe389a,96
TAIL-c4c79202-2019-1,2019,BC-TAIL-c4c79202,Tom McKay TSF,Eskay,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-130.520252,56.619746,Closed,2001.0,Lake,,500000,500000,Not rated,,https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-2022377.184819 1417228.95484),BC-MAIN-b1fe389a,96
TAIL-cffbcaae-2019-1,2019,BC-TAIL-cffbcaae,Upper TSF,Giant Nickel,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-121.461631,49.482295,Closed,1958.0,Upstream,17.0,1800000,1800000,Not rated,,https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-1859217.11725 446003.450709),,118
TAIL-f06508bf-2019-1,2019,BC-TAIL-f06508bf,Lower TSF,Giant Nickel,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-121.457824,49.48343,Closed,1971.0,Downstream,22.0,1800000,1800000,Very High,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-1858914.330026 446007.435637),,118
TAIL-d6eff356-2019-1,2019,ON-TAIL-d6eff356,Golden Patricia TSF,Golden Patricia,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-91.131883,51.369843,Closed,1988.0,"Upstream, Centreline",5.0,800000,800000,Low,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (266911.783973 270571.051306),,119
TAIL-4de5b9a1-2019-1,2019,BC-TAIL-4de5b9a1,Nickel Plate TSF,Nickel Plate,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-120.024094,49.35533,Closed,1987.0,"Upstream, Centreline",49.0,7600000,8200000,Very High,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (-1769047.741502 392041.205239),,120
TAIL-61076560-2019-1,2019,QC-TAIL-61076560,Parc A Residus,Powell Rouyn,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-79.050362,48.258235,Closed,1937.0,Upstream,6.0,300000,300000,Significant,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (1175369.139996 65536.136229),,75
TAIL-d1766008-2019-1,2019,ON-TAIL-d1766008,Renabie TSFs,Renabie,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-83.863747,48.372015,Closed,1947.0,Upstream,13.0,3900000,3900000,Low,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (822882.227025 2299.97686),,No cluster
TAIL-fea82e8f-2019-1,2019,ON-TAIL-fea82e8f,Uchi TSFs,Uchi,Barrick Gold Corporation,Barrick Gold Corporation,Barrick Gold Corporation,-92.5936,51.0709,Closed,1938.0,Landform,,500000,500000,Low,Canadian Dam Association (CDA),https://barrick.q4cdn.com/788666289/files/doc_downloads/2019/06/Letter-to-the-CoE-plus-inventory.pdf,,tailings_source_df,POINT (167359.518106 232627.123947),,121
TAIL-c7b572ed-2019-1,2019,NT-TAIL-c7b572ed,PKC TSF,Diavik,Joint Venture,"Rio Tinto (60%), Dominion Diamond Mines (40%)",Rio Tinto,-110.31224,64.4914,Active,2002.0,Modified Centreline,48.0,34025000,44300000,High,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (-706715.679026 1775450.923766),NT-MAIN-0ec39ce0,66
TAIL-f3596a83-2019-1,2019,SK-TAIL-f3596a83,Star FMA,FalCon Project,Rio Tinto,"Rio Tinto, Star Diamond Corporation",Rio Tinto,-104.77753,53.22399,Active,2004.0,Centreline,2.0,1968,25000,Low,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (-641210.735677 515790.087152),,122
TAIL-c872f223-2019-1,2019,NL-TAIL-c872f223,Wabush Lake Disposal,IOC Labrador City,Iron Ore Company of Canada,"Rio Tinto (58.7%), Mitsubishi (26.2%), Labrador Iron Ore Royalty Income Corporation (15.1%)",Iron Ore Company of Canada,-66.87,53.0,Active,1964.0,Lake,0.0,130000000,226000000,Low,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (1802786.283096 847099.38251),,3
TAIL-a130f70a-2019-1,2019,QC-TAIL-a130f70a,Sept-iles Tailings,IOC Sept Iles,Iron Ore Company of Canada,"Rio Tinto (58.7%), Mitsubishi (26.2%), Labrador Iron Ore Royalty Income Corporation (15.1%)",Iron Ore Company of Canada,-66.32314,50.21811,Inactive,1972.0,Single embankment,5.0,1000000,1000000,Very Low,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (1969072.36861 586721.806779),,123
TAIL-1a45d60b-2019-1,2019,QC-TAIL-1a45d60b,P84,Sorel-Tracy,Rio Tinto,,Rio Tinto,-73.168,45.973,Active,1994.0,Dry stack,33.0,3285330,3950000,Significant,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (1680268.824993 -47410.054179),,80
TAIL-61fb6c9a-2019-1,2019,QC-TAIL-61fb6c9a,Laterriere TSF - Basins XC-XD,Vaudreuil,Rio Tinto,,Rio Tinto,-71.2042,48.34421,Inactive,1967.0,Downstream,30.0,10000000,10000000,High,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (1727533.660452 253947.734075),QC-MAIN-92628f16,9
TAIL-5afbac14-2019-1,2019,QC-TAIL-5afbac14,Local TSF - Jonquiere,Vaudreuil,Rio Tinto,,Rio Tinto,-71.15169,48.41559,Active,1942.0,Downstream,40.0,30000000,35000000,Very High,Canadian Dam Association (CDA) 2013,https://www.riotinto.com/sustainability/environment/tailings,,tailings_source_df,POINT (1728251.808078 262779.380466),QC-MAIN-92628f16,9
TAIL-2436e6a6-2019-1,2019,NS-TAIL-2436e6a6,East Kemptville Tailings Management Area,East Kemptville,BHP,,BHP,-65.702,44.111,Closed,1985.0,Centreline,9.0,12800000,12800000,High,Canadian Dam Association,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (2312874.385371 -6847.119844),,124
TAIL-3d06537b-2019-1,2019,ON-TAIL-3d06537b,Lacnor Tailings Management Area,Elliot Lake,BHP,,BHP,-82.585363,46.392515,Closed,1957.0,Upstream,15.0,1500000,1500000,Low,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (959170.334861 -197551.715449),,125
TAIL-ec67d07b-2019-1,2019,ON-TAIL-ec67d07b,Milliken Tailings Management Area,Elliot Lake,BHP,,BHP,-82.646575,46.399908,Closed,1958.0,Centreline,4.0,100000,100000,High,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (954340.447459 -197657.391774),,125
TAIL-a1e34ebd-2019-1,2019,ON-TAIL-a1e34ebd,Nordic Tailings Management Area,Elliot Lake,BHP,,BHP,-82.607482,46.38231,Closed,1957.0,Upstream,12.0,6900000,6900000,Significant,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (957705.113147 -199010.071136),,125
TAIL-7fe939a9-2019-1,2019,ON-TAIL-7fe939a9,Panel Tailings Management Area,Elliot Lake,BHP,,BHP,-82.551727,46.52408,Closed,1958.0,Centreline,23.0,8800000,8800000,High,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (958861.683238 -182545.717196),,125
TAIL-28cb4751-2019-1,2019,ON-TAIL-28cb4751,Pronto Tailings Management Area,Elliot Lake,BHP,,BHP,-82.704707,46.206818,Closed,1955.0,Centreline,13.0,2500000,2500000,Very High,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (954075.63875 -219829.772757),,126
TAIL-d269f54a-2019-1,2019,ON-TAIL-d269f54a,Quirke Tailings Management Area,Elliot Lake,BHP,,BHP,-82.657137,46.50859,Closed,1956.0,Centreline,26.0,32600000,32600000,Very High,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (951180.296226 -185835.219569),,125
TAIL-f488937f-2019-1,2019,ON-TAIL-f488937f,Spanish American Tailings Management Area,Elliot Lake,BHP,,BHP,-82.601569,46.472266,Closed,1958.0,Centreline,2.0,300000,300000,Low,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (956198.588814 -189005.271088),,125
TAIL-c64f4c25-2019-1,2019,ON-TAIL-c64f4c25,Stanleigh Tailings Management Area,Elliot Lake,BHP,,BHP,-82.59924,46.44754,Closed,1958.0,Centreline,23.0,11500000,11500000,Very High,Canadian Dam Association/MNR Ontario Dam Safety Guidelines,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (956914.055236 -191695.375257),,125
TAIL-276b9731-2019-1,2019,BC-TAIL-276b9731,Island Copper Tailings,Island Copper,BHP,,BHP,-127.467926,50.59055,Closed,1971.0,In-pit,,308000000,308000000,,,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (-2187725.829952 747195.622909),,127
TAIL-7fd557c2-2019-1,2019,QC-TAIL-7fd557c2,Poirier Tailings Disposal Area,Poirier,BHP,,BHP,-78.392419,49.445809,Closed,1965.0,Upstream,10.0,2500000,2500000,Low,Canadian Dam Association/Quebec Dam Safety Regulations,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (1188658.152687 205604.930409),,128
TAIL-6e035c3f-2019-1,2019,QC-TAIL-6e035c3f,Selbaie Tailings Facility,Selbaie,BHP,,BHP,-78.957185,49.799028,Closed,1981.0,Centreline,24.0,32500000,32500000,High,Canadian Dam Association/Quebec Dam Safety Regulations,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (1139331.693439 233178.931474),,129
TAIL-807fa93f-2019-1,2019,BC-TAIL-807fa93f,Bullmoose Tailings,Bullmoose,BHP,"TECK COMINCO (61%), BHP BILLITON (29%), and NISSHO-IWAI (CANADA) (10%)",Bullmoose Operating Corporation,-121.476274,55.136278,Inactive,1983.0,Downstream,38.0,4600000,4600000,High,Canadian Dam Association,https://www.bhp.com/-/media/documents/environment/2019/190607_coe.pdf?la=en,,tailings_source_df,POINT (-1608650.029289 1015406.04407),,130
TAIL-9b1a3b83-2019-1,2019,QC-TAIL-9b1a3b83,Tailings Storage Facility (Dam 2) (7),Louvicourt,Teck,"Teck 55%,  Glencore 45%",Teck,-77.60138889,48.1325,Closed,1993.0,Downstream,15.0,5990000,5990000,Very High,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (1283375.02966 79995.550631),,12
TAIL-c6c38e9d-2019-1,2019,NB-TAIL-c6c38e9d,"Mine 12 Tailings Impoundment East Dam E1, E2,E3, North Dam west dam and south dam",Brunswick Mine,Xstrata plc,,Xstrata plc,-65.86833333,47.48388889,Closed,1964.0,Upstream,35.0,71400000,71400000,Significant,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2132637.245821 328000.053267),,131
TAIL-8e5e2bc0-2019-1,2019,NB-TAIL-8e5e2bc0,Mine 12 Tailings Impoundment East Dam E2,Brunswick Mine,Xstrata plc,,Xstrata plc,-65.86833333,47.48388889,Closed,1964.0,Upstream,35.0,71400000,71400000,Low,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2132637.245821 328000.053267),,131
TAIL-62153b3f-2019-1,2019,QC-TAIL-62153b3f,Dam 6,Mines Gaspe,Xstrata plc,,Xstrata plc,-65.4375,48.91916667,Closed,1973.0,Downstream,15.0,150000,150000,Significant,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2090129.29181 485665.063985),,132
TAIL-53570e91-2019-1,2019,QC-TAIL-53570e91,Tailings Storage Facility 1 (Tailings Dam 1),Mines Gaspe,Xstrata plc,,Xstrata plc,-65.46083333,48.92611111,Closed,1955.0,Upstream,35.0,26700000,26700000,Low,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2088253.96903 485589.291816),,132
TAIL-169e21ab-2019-1,2019,QC-TAIL-169e21ab,Tailings Storage Facility 2 (Tailings Dam 2),Mines Gaspe,Xstrata plc,,Xstrata plc,-65.47138889,48.92194444,Closed,1963.0,Upstream,44.0,34900000,34900000,High,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2087769.687359 484828.351311),,132
TAIL-831b34b1-2019-1,2019,QC-TAIL-831b34b1,Tailings Storage Facility 3 (Tailings Dam 3),Mines Gaspe,Xstrata plc,,Xstrata plc,-65.49888889,48.91666667,Closed,1972.0,Downstream,54.0,5080000,5080000,Low,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2086229.533357 483401.008214),,132
TAIL-0682de72-2019-1,2019,ON-TAIL-0682de72,"Geco Tailings Facility (CN1, CN2 , CP, CP3, E1-E3)",Geco,Xstrata plc,,Xstrata plc,-85.78111111,49.16222222,Closed,1955.0,Upstream,35.0,40000000,40000000,High,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (669598.542028 66645.251799),,133
TAIL-2cf0efd7-2019-1,2019,NB-TAIL-2cf0efd7,Tailings Management Area ,Heath Steele,Subsidiary,,,-66.075,47.2725,Closed,1990.0,Downstream,21.0,15700000,15700000,Very High,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (2128960.649499 299840.878272),,134
TAIL-4ffa481c-2019-1,2019,ON-TAIL-4ffa481c,Mattabi TSF ,Mattabi,Subsidiary,,,-90.95027778,49.86833333,Closed,1971.0,Upstream,10.0,10000000,10000000,High,CDA 2007 (2013),https://www.glencore.com/dam/jcr:58e3d8ff-97c1-422f-8d31-dd2fee89fcc3/Glencore_TSFs_190614.pdf,,tailings_source_df,POINT (289990.810266 105649.646968),,135
