row_id,main_id,year,tailing_id,tsf_name,status,construction_year,raise_type,current_maximum_height,current_tailings_storage,planned_storage_5_years,hazard_categorization,classification_system,geometry,source_id
TAIL-1868.0-2019-1,ON-MAIN-3b3e5365,2019,1868.0,Dome No.6 TMA,Active,1983.0,"Downstream , Centreline , Upstream",33.0,72000000,110000000,Extreme,Canadian Dam Association,POINT (-81.2136 48.4374),https://tailing.grida.no/
TAIL-1869.0-2019-1,ON-MAIN-3b3e5365,2019,1869.0,Coniaurum,Inactive Care and Maintenance,1913.0,Upstream,10.0,4900000,,Low,Canadian Dam Association,POINT (-81.283 48.4976),https://tailing.grida.no/
TAIL-1871.0-2019-1,ON-MAIN-3b3e5365,2019,1871.0,"Dome 1, 2, 2A",Inactive Care and Maintenance,1925.0,Upstream,24.0,35000000,,Significant,Canadian Dam Association,POINT (-81.2476 48.4763),https://tailing.grida.no/
TAIL-1872.0-2019-1,ON-MAIN-3b3e5365,2019,1872.0,Dome 3,Inactive Care and Maintenance,1961.0,Upstream,18.0,6800000,,Unknown,Not Classified,POINT (-81.2432 48.4696),https://tailing.grida.no/
TAIL-1873.0-2019-1,ON-MAIN-3b3e5365,2019,1873.0,Dome 4,Inactive Care and Maintenance,1979.0,Upstream,10.0,1600000,,Unknown,Not Classified,POINT (-81.2549 48.4665),https://tailing.grida.no/
TAIL-1874.0-2019-1,ON-MAIN-3b3e5365,2019,1874.0,Dome 5,Inactive Care and Maintenance,1925.0,Upstream,8.0,700000,,Unknown,Not Classified,POINT (-81.2519 48.4635),https://tailing.grida.no/
TAIL-1875.0-2019-1,ON-MAIN-3b3e5365,2019,1875.0,Paymaster North,Inactive Care and Maintenance,1915.0,Upstream,11.0,2800000,,Unknown,Not Classified,POINT (-81.2674 48.4537),https://tailing.grida.no/
TAIL-1876.0-2019-1,ON-MAIN-3b3e5365,2019,1876.0,Paymaster South,Inactive Care and Maintenance,1915.0,Upstream,10.0,1500000,,Unknown,Not Classified,POINT (-81.2599 48.4425),https://tailing.grida.no/
TAIL-1877.0-2019-1,ON-MAIN-3b3e5365,2019,1877.0,McIntyre,Inactive Care and Maintenance,1912.0,Upstream,5.0,32200000,,Significant,Canadian Dam Association,POINT (-81.2832 48.4997),https://tailing.grida.no/
TAIL-1878.0-2019-1,ON-MAIN-3b3e5365,2019,1878.0,Pamour T3,Inactive Care and Maintenance,1936.0,Upstream,14.0,17500000,,Significant,Canadian Dam Association,POINT (-81.1329 48.5269),https://tailing.grida.no/
TAIL-1879.0-2019-1,ON-MAIN-3b3e5365,2019,1879.0,Pamour T2,Inactive Care and Maintenance,1936.0,Upstream,30.0,20700000,,Significant,Canadian Dam Association,POINT (-81.1233 48.5167),https://tailing.grida.no/
TAIL-1880.0-2019-1,ON-MAIN-3b3e5365,2019,1880.0,Pamour T1,Inactive Care and Maintenance,1936.0,Upstream,15.0,3900000,,Unknown,Not Classified,POINT (-81.1136 48.5279),https://tailing.grida.no/
TAIL-1881.0-2019-1,ON-MAIN-3b3e5365,2019,1881.0,Aunor A,Inactive Care and Maintenance,1940.0,Upstream,14.0,700000,,Significant,Canadian Dam Association,POINT (-81.2775 48.4419),https://tailing.grida.no/
TAIL-1882.0-2019-1,ON-MAIN-3b3e5365,2019,1882.0,Aunor B,Inactive Care and Maintenance,1940.0,Upstream,18.0,1500000,,Moderate,Canadian Dam Association,POINT (-81.2818 48.4382),https://tailing.grida.no/
TAIL-1883.0-2019-1,ON-MAIN-3b3e5365,2019,1883.0,Delnite,Inactive Care and Maintenance,1937.0,Upstream,16.0,1600000,,Moderate,Canadian Dam Association,POINT (-81.29701 48.43722),https://tailing.grida.no/
TAIL-1885.0-2019-1,ON-MAIN-7f050560,2019,1885.0,Campbell Complex,Active,1983.0,Upstream,14.0,7000000,8000000,Very High,Canadian Dam Association,POINT (-93.7575 51.0641),https://tailing.grida.no/
TAIL-1886.0-2019-1,ON-MAIN-7f050560,2019,1886.0,Red Lake Complex,Active,1960.0,"Modified Centreline, Downstream",8.0,6000000,7000000,Significant,Canadian Dam Association,POINT (-93.7158 51.0641),https://tailing.grida.no/
TAIL-1887.0-2019-1,ON-MAIN-7f050560,2019,1887.0,Balmer Tailings,Inactive Care and Maintenance,1949.0,Other,3.0,2500000,2500000,Low,Canadian Dam Association,POINT (-93.7575 51.0641),https://tailing.grida.no/
TAIL-1888.0-2019-1,ON-MAIN-7f050560,2019,1888.0,Cochenour Wilanour Complex,Inactive Care and Maintenance,1939.0,Centreline,7.0,1800000,1800000,High,Canadian Dam Association,POINT (-93.4843 51.0418),https://tailing.grida.no/
TAIL-1890.0-2019-1,ON-MAIN-fefeaee4,2019,1890.0,Musselwhite TMA,Active,1996.0,"Centreline, Upstream",21.0,12000000,19000000,Significant,Canadian Dam Association,POINT (-90.3806 52.5974),https://tailing.grida.no/
TAIL-1436.0-2019-1,ON-MAIN-bfbcd72e,2019,1436.0,Bell Creek,Active,1988.0,"Downstream, Centreline",10.0,6700000,11700000,Low to Significant,CDA Dam Consequence Classification,POINT (-81.19 48.55),https://tailing.grida.no/
TAIL-19.0-2019-1,QC-MAIN-e7e6a960,2019,19.0,Canadian Malartic TSF,Active,1991.0,Upstream,42.0,96000000,136500000,Medium,Canadian Dam Association,POINT (-78.091518 48.112562),https://tailing.grida.no/
TAIL-746.0-2019-1,QC-MAIN-a97821c0,2019,746.0,Raglan (Tailings Dry Stack),Active,1998.0,Dry stack,35.0,11000000,14000000,Significant,CDA 2007 (2013),POINT (-73.67841389 61.687425),https://tailing.grida.no/
TAIL-456.0-2019-1,QC-MAIN-92628f16,2019,456.0,Laterriere TSF - Basins XC-XD,Inactive,1967.0,Downstream,30.0,10000000,10000000,High,Canadian Dam Association (CDA) 2013,POINT (-71.2042 48.34421),https://tailing.grida.no/
TAIL-457.0-2019-1,QC-MAIN-92628f16,2019,457.0,Local TSF - Jonquiere,Active,1942.0,Downstream,40.0,30000000,35000000,Very High,Canadian Dam Association (CDA) 2013,POINT (-71.15169 48.41559),https://tailing.grida.no/
TAIL-1508.0-2019-1,SK-MAIN-29afbdb5,2019,1508.0,"Seabee Mine, Triangle Lake TSF – 2 dams and 2 saddle dikes",Active,2004.0,Modified Centreline,19.0,2750000,4000000,High,Canadian Dam Association Consequence Classification Ratings for Dams,POINT (-103.57932 55.6903833),https://tailing.grida.no/
TAIL-1509.0-2019-1,SK-MAIN-29afbdb5,2019,1509.0,"Seabee Mine, East Lake TSF – 3 concrete perimeter dams",Active,1991.0,Centreline,8.0,2550000,2860000,Significant,Canadian Dam Association Consequence Classification Ratings for Dams,POINT (-103.59224 55.6900444),https://tailing.grida.no/
TAIL-1767.0-2019-1,SK-MAIN-29afbdb5,2019,1767.0,Triangle Lake TSF – 2 dams and 2 saddle dikes,Active,2004.0,"Modified Centreline, Upstream",19.0,2750000,4000000,high,Canadian Dam Association Consequence Classification Ratings for Dam,POINT (-103.57932 55.6903833),https://tailing.grida.no/
TAIL-1768.0-2019-1,SK-MAIN-29afbdb5,2019,1768.0,East Lake TSF – 3 concrete perimeter dams,Active,1991.0,Centreline,8.0,2500000,2860000,Significant,Canadian Dam Association Consequence Classification Ratings for Dam,POINT (-103.59224 55.6900444),https://tailing.grida.no/
TAIL-744.0-2019-1,ON-MAIN-fcb287a4,2019,744.0,Nickel Rim South NR-2,Inactive,,Downstream,2.5,Unknown,Unknown,Significant,CDA 2007 (2013),POINT (-80.80472222 46.67027778),https://tailing.grida.no/
TAIL-745.0-2019-1,ON-MAIN-fcb287a4,2019,745.0,Nickel Rim South (Moose Lake Dam),Inactive,2003.0,Downstream,5.0,0,0,Significant,CDA 2007 (2013),POINT (-80.7975 46.66083333),https://tailing.grida.no/
TAIL-1309.0-2019-1,BC-MAIN-bf503b6b,2019,1309.0, Bethlehem,Inactive,1964.0,"Upstream, Centreline, Downstream",91.0,68100000,68100000,Very High,CDA,POINT (-120.987025 50.5094),https://tailing.grida.no/
TAIL-1310.0-2019-1,BC-MAIN-bf503b6b,2019,1310.0,Highland,Active,1977.0,Centreline,161.0,1190300000,1460300000,Extreme ,CDA,POINT (-121.122614 50.547334),https://tailing.grida.no/
TAIL-1311.0-2019-1,BC-MAIN-bf503b6b,2019,1311.0,Highmont,Inactive,1980.0,Centreline,47.0,27700000,27700000,High,CDA,POINT (-120.92119 50.432155),https://tailing.grida.no/
TAIL-1312.0-2019-1,BC-MAIN-bf503b6b,2019,1312.0,Trojan,Inactive,1973.0,"Centreline, Upstream",70.0,26000000,26000000,Very High,CDA,POINT (-121.005987 50.514552),https://tailing.grida.no/
TAIL-1319.0-2019-1,NT-MAIN-b99d4cb2,2019,1319.0,Pine Point ,Inactive,1964.0,Downstream,9.0,36597270,36597270,"Low, Significant",CDA Guidelines,POINT (-114.437272 60.879272),https://tailing.grida.no/
TAIL-826.0-2019-1,BC-MAIN-ed23117f,2019,826.0,Mount Milligan TSF,Active,2013.0,Centreline,100.0,86000000,111100000,Very High,Canadian Dam Association (CDA) 2013,POINT (-124.02302 55.125756),https://tailing.grida.no/
TAIL-1115.0-2019-1,NL-MAIN-2d8801d6,2019,1115.0,Voisey's Bay TSF,Active,2005.0,Single Stage,11.0,20100000,28000000,Very High,Canadian Dam Association,POINT (-61.986333 56.323),https://tailing.grida.no/
TAIL-1116.0-2019-1,NL-MAIN-d9036091,2019,1116.0,Long Harbour,Active,2013.0,Single Stage,10.0,930000,2470000,Extreme,Canadian Dam Association,POINT (-53.81225 47.41325),https://tailing.grida.no/
TAIL-1117.0-2019-1,ON-MAIN-40ce0593,2019,1117.0,FETA Dam,Inactive Care and Maintenance,1968.0,Single Stage,12.0,5100000,5100000,Low,Canadian Dam Association,POINT (-81.024806 46.5158611),https://tailing.grida.no/
TAIL-1120.0-2019-1,MB-MAIN-e0a6250e,2019,1120.0,Thompson TSF Dam A ¹,Active,1971.0,Downstream,26.0,42000000,47000000,Significant,Canadian Dam Association,POINT (-97.805056 55.7040278),https://tailing.grida.no/
TAIL-1121.0-2019-1,MB-MAIN-e0a6250e,2019,1121.0,Thompson TSF Other Dams ¹,Active,1971.0,Downstream,26.0,42000000,47000000,Very High,Canadian Dam Association,POINT (-97.805056 55.7040278),https://tailing.grida.no/
TAIL-1122.0-2019-1,ON-MAIN-63b394c3,2019,1122.0,Upper Pond Tailings Facility,Inactive Care and Maintenance,1929.0,Upstream,19.0,3900000,3900000,Extreme,Canadian Dam Association,POINT (-81.050833 46.4863056),https://tailing.grida.no/
TAIL-1123.0-2019-1,ON-MAIN-f080c409,2019,1123.0,A Area Tailings,Inactive Care and Maintenance,1936.0,Upstream,25.0,8400000,8400000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1124.0-2019-1,ON-MAIN-f080c409,2019,1124.0,M Area Tailings,Inactive Care and Maintenance,1945.0,Upstream,37.0,58600000,58600000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1125.0-2019-1,ON-MAIN-f080c409,2019,1125.0,P Area Tailings,Inactive Care and Maintenance,1960.0,Upstream,45.0,59700000,59700000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1126.0-2019-1,ON-MAIN-f080c409,2019,1126.0,R1 Tailings,Active,1985.0,"Compacted
Outer Shell",14.0,2900000,4000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1127.0-2019-1,ON-MAIN-f080c409,2019,1127.0,R2 Tailings,Active,1985.0,"Compacted
Outer Shell",13.0,18000000,18000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1128.0-2019-1,ON-MAIN-f080c409,2019,1128.0,R3 Tailings,Active,1985.0,"Compacted
Outer Shell",27.0,39000000,42000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1129.0-2019-1,ON-MAIN-f080c409,2019,1129.0,R4 Tailings,Active,1990.0,"Compacted
Outer Shell",22.0,59000000,63000000,Extreme,Canadian Dam Association,POINT (-81.140583 46.4714167),https://tailing.grida.no/
TAIL-1243.0-2019-1,QC-MAIN-e7e6a960,2019,1243.0,Canadian Malartic TSF,Active,2012.0,Upstream,40.0,96000000,136500000,Medium to High,CDA/Yamana,POINT (-78.1036111 48.1113889),https://tailing.grida.no/
