env_id,year,compartment_id,substance_id,unit,value,comment,main_id,facility_group_id,company_id,source_id
npri-1568-2023-16,2023,CMP1718f4466d,SUB28f44d0e11,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-17,2023,CMP1718f4466d,SUB787e5ac1a2,tonnes,0.00158,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-18,2023,CMP1718f4466d,SUBae95939c3f,tonnes,0.0008,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-1,2023,CMP1718f4466d,SUB642eab0862,tonnes,3.03,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-2,2023,CMP1718f4466d,SUB04af69acf0,tonnes,9.03,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-3,2023,CMP1718f4466d,SUBea8825f00e,tonnes,1.73,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-4,2023,CMP1718f4466d,SUB95ce94acc5,tonnes,0.61,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-5,2023,CMP1718f4466d,SUB28f44d0e11,tonnes,7.86,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-25188-2023-6,2023,CMP1718f4466d,SUB8319f60a2f,tonnes,0.5,,QC-MAIN-e7e6a960,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-1,2023,CMP1718f4466d,SUB0cbc90a094,kg,4.104485,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-2,2023,CMP1718f4466d,SUB09c00f97af,kg,0.420661,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-3,2023,CMP1718f4466d,SUB642eab0862,tonnes,565.29706,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-4,2023,CMP1718f4466d,SUB7e3f017a30,tonnes,0.000809,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-5,2023,CMP1718f4466d,SUBd94d47b1d8,kg,0.007625,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-6,2023,CMP1718f4466d,SUB71ee3dc4ca,tonnes,0.000166,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-7,2023,CMP1718f4466d,SUBc6f71d85ae,kg,0.806544,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-8,2023,CMP1718f4466d,SUB60617760c1,tonnes,0.002635,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-9,2023,CMP1718f4466d,SUB7df4ab05e3,tonnes,0.000482,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-10,2023,CMP1718f4466d,SUB04af69acf0,tonnes,2137.153436,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-11,2023,CMP1718f4466d,SUBea8825f00e,tonnes,37.240894,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-12,2023,CMP1718f4466d,SUB95ce94acc5,tonnes,35.679527,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-13,2023,CMP1718f4466d,SUB7ff5383217,kg,0.415012,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-14,2023,CMP1718f4466d,SUB28f44d0e11,tonnes,45.905494,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-24216-2023-15,2023,CMP1718f4466d,SUB8319f60a2f,tonnes,57.203572,,NU-MAIN-730aefe3,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
