main_id,facility_name,jung_priority_point,jung_priority_mean_50km,source_id,geometry
YT-MAIN-ca488f19,Macmillan Pass,63.25189444449622,48.8875,https://doi.org/10.5281/zenodo.5006332,POINT (-130.15143 63.16057)
YT-MAIN-70d629b4,Mactung,64.38701277471239,54.12820512820513,https://doi.org/10.5281/zenodo.5006332,POINT (-130.1525 63.28222222219999)
BC-MAIN-efff21d3,Deer Horn,15.098328352850656,25.3375,https://doi.org/10.5281/zenodo.5006332,POINT (-127.30826 53.3607)
SK-MAIN-0684a5d8,Patterson Lake South,42.19227293313609,33.38461538461539,https://doi.org/10.5281/zenodo.5006332,POINT (-109.364 57.639)
MB-MAIN-f7fde5b4,Minago,21.358134337545707,19.0,https://doi.org/10.5281/zenodo.5006332,POINT (-99.21912 54.1092)
QC-MAIN-ae473a4e,Lac Knife,18.41139952605181,20.675324675324674,https://doi.org/10.5281/zenodo.5006332,POINT (-67.18179 52.54974)
SK-MAIN-7a11ae49,McIlvenna Bay,17.817308693068384,22.65,https://doi.org/10.5281/zenodo.5006332,POINT (-102.89498 54.65977)
AB-MAIN-ca9625ce,Fortune Minerals Refinery,65.21359562590226,61.67948717948718,https://doi.org/10.5281/zenodo.5006332,POINT (-112.513502 53.797615)
NT-MAIN-b7cdf82c,NICO,47.755469287070724,47.37179487179487,https://doi.org/10.5281/zenodo.5006332,POINT (-116.74583 63.55)
ON-MAIN-d47616e5,Martison,15.210660901053187,15.460526315789474,https://doi.org/10.5281/zenodo.5006332,POINT (-83.414444 50.314444)
BC-MAIN-e1641dfb,Decar,45.70222283888373,42.857142857142854,https://doi.org/10.5281/zenodo.5006332,POINT (-125.359691 54.894513)
ON-MAIN-c06904f0,Pakeagama,25.40932513501283,23.82051282051282,https://doi.org/10.5281/zenodo.5006332,POINT (-93.37727 52.60026)
ON-MAIN-64bbe7e6,Marathon,30.964965199412582,24.0,https://doi.org/10.5281/zenodo.5006332,POINT (-86.3263 48.78758)
QC-MAIN-22426144,REE Recycling Facility (Saint-Bruno),32.813858642799715,33.875,https://doi.org/10.5281/zenodo.5006332,POINT (-73.340812 45.525976)
MB-MAIN-0d5c2cae,Selkirk Division,44.49954416441354,41.78481012658228,https://doi.org/10.5281/zenodo.5006332,POINT (-96.911166 50.133771)
ON-MAIN-92cdea80,Whitby Division,44.0,45.42,https://doi.org/10.5281/zenodo.5006332,POINT (-78.910676 43.851906)
ON-MAIN-bddeaef0,Cambridge Mill,44.53223206576523,44.69135802469136,https://doi.org/10.5281/zenodo.5006332,POINT (-80.28 43.37)
MB-MAIN-b4ca1426,Manitoba Mill,44.200204543100575,41.743589743589745,https://doi.org/10.5281/zenodo.5006332,POINT (-96.893633 50.130273)
ON-MAIN-21b6ab35,Whitby Mill,44.0,45.3469387755102,https://doi.org/10.5281/zenodo.5006332,POINT (-78.91 43.86)
QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),32.16891588268851,32.848101265822784,https://doi.org/10.5281/zenodo.5006332,POINT (-74.097205 45.228312)
QC-MAIN-529c96b4,CCR,40.96472511891879,32.77215189873418,https://doi.org/10.5281/zenodo.5006332,POINT (-73.511778 45.627518)
ON-MAIN-206041d1,Fraser,35.04844090805862,33.888888888888886,https://doi.org/10.5281/zenodo.5006332,POINT (-81.3404 46.6633)
QC-MAIN-abb3e1c7,General Smelting Company of Canada,29.692496053699866,32.89873417721519,https://doi.org/10.5281/zenodo.5006332,POINT (-73.676345 45.448518)
QC-MAIN-30c1828c,Horne,30.930681333036173,23.064102564102566,https://doi.org/10.5281/zenodo.5006332,POINT (-79.0151 48.2534)
ON-MAIN-f8313ebd,Kidd Creek,26.823989506525177,21.64,https://doi.org/10.5281/zenodo.5006332,POINT (-81.37 48.6894)
ON-MAIN-fcb287a4,Nickel Rim South,40.104995995688995,34.8051948051948,https://doi.org/10.5281/zenodo.5006332,POINT (-80.796793 46.657982)
ON-MAIN-319e04a8,Onaping Depth,33.443969025957294,33.935064935064936,https://doi.org/10.5281/zenodo.5006332,POINT (-81.383878 46.632019)
QC-MAIN-a97821c0,Raglan,67.2840719650078,61.243589743589745,https://doi.org/10.5281/zenodo.5006332,POINT (-73.674669 61.687171)
ON-MAIN-ed85ac94,Strathcona,34.97562683153518,34.01234567901235,https://doi.org/10.5281/zenodo.5006332,POINT (-81.3427 46.6734)
ON-MAIN-40ce0593,Sudbury,43.39898683680941,35.05,https://doi.org/10.5281/zenodo.5006332,POINT (-80.7993 46.5763)
BC-MAIN-4724f4ba,Elk,59.902234794589525,55.58227848101266,https://doi.org/10.5281/zenodo.5006332,POINT (-120.31487 49.8538)
YT-MAIN-956d050a,Carmacks,65.02660376589148,65.63636363636364,https://doi.org/10.5281/zenodo.5006332,POINT (-136.7 62.33)
