row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,compartment,flow_type,subflow_type,substance,unit,value,comment,source,source_id
ENV_INT-aeafbb59-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.2739108216512045,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042070,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042070
ENV_INT-aeafbb59-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,1.442848265995526,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042071,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042071
ENV_INT-e7e6a960-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.02,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042028,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042028
ENV_INT-e7e6a960-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,0.08,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042029,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042029
ENV_INT-687b8c8d-2023-1,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore mined,0.0102982639920366,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-687b8c8d-2023-2,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore treated,0.0102986510421976,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-687b8c8d-2023-3,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/oz gold production,0.160129659643436,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-687b8c8d-2023-4,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore mined,0.0102982639920366,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-687b8c8d-2023-5,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/t ore treated,0.0102986510421976,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
ENV_INT-687b8c8d-2023-6,2023,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Air,ghg,scope1+2?,-,CO2eq/oz gold production,0.160129659643436,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
