main_id,name,longitude,latitude,geometry,peatland_presence
BC-MAIN-fc1cc254-1,Fording River,-114.830862,50.19817,POINT (-114.830862 50.19817),No data
BC-MAIN-c5a3b064-1,Greenhills,-114.877193,50.117858,POINT (-114.877193 50.117858),No data
NS-MAIN-d018933a-1,Donkin,-59.825861,46.178108,POINT (-59.825861 46.178108),peat in soil mosaic
BC-MAIN-e58d2ef9-1,Line Creek,-114.7833,49.95,POINT (-114.7833 49.95),No data
AB-MAIN-b18786c7-1,Vista,-117.36642,53.403506,POINT (-117.36642 53.403506),No data
NS-MAIN-1f720bce-1,Stellarton,-62.682864,45.566074,POINT (-62.682864 45.566074),No data
AB-MAIN-fe3207ad-1,Coal Valley,-116.786616,53.072796,POINT (-116.786616 53.072796),No data
SK-MAIN-4422e7f6-1,Estevan,-102.864956,49.087329,POINT (-102.864956 49.087329),No data
AB-MAIN-0d96b8b1-1,Genesee,-114.267236,53.323876,POINT (-114.267236 53.323876),No data
SK-MAIN-bba063c3-1,Poplar River,-105.472585,49.217566,POINT (-105.472585 49.217566),No data
MB-MAIN-27fe043e-1,Tanco,-95.4502,50.4291,POINT (-95.4502 50.4291),peat in soil mosaic
NL-MAIN-3fb87140-1,Nugget Pond,-55.7753,49.845,POINT (-55.7753 49.845),No data
BC-MAIN-040f6522-1,Highland Valley,-121.0483,50.4855,POINT (-121.0483 50.4855),No data
BC-MAIN-15627f87-1,Mount Milligan,-124.031,55.118,POINT (-124.031 55.118),No data
NL-MAIN-bd410410-1,Ming,-56.087,49.915,POINT (-56.087 49.915),peat in soil mosaic
BC-MAIN-435152ad-1,Copper Mountain,-120.533,49.331,POINT (-120.533 49.331),No data
YT-MAIN-68063961-1,Minto,-137.23858,62.618875,POINT (-137.23858 62.618875),No data
BC-MAIN-1342ed5d-1,Gibraltar,-122.28716,52.528495,POINT (-122.28716 52.528495),No data
ON-MAIN-dcf3194d-1,McCreedy West,-81.39894,46.638059,POINT (-81.39894 46.638059),No data
ON-MAIN-af5d904f-1,Kidd Creek,-81.37,48.6894,POINT (-81.37 48.6894),peat dominated
NT-MAIN-7e17e361-1,Ekati,-110.618,64.715,POINT (-110.618 64.715),No data
NT-MAIN-debdc8cf-1,Gahcho Kué,-109.21194,63.44528,POINT (-109.21194 63.44528),No data
