row_id,land_cover_id,main_id,name,year,modis_land_cover,esa_land_cover
landcover-15d7c629-2021-1,QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,2021,Savannas,Built-up
landcover-41bf5ea5-2021-1,QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,2021,Urban & Built-up,Built-up
landcover-8056a739-2021-1,ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,2021,Urban & Built-up,Built-up
landcover-30ff61c3-2021-1,QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,2021,Grasslands,Built-up
landcover-33c09b8b-2021-1,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,2021,Savannas,Bare/Sparse Vegetation
landcover-084bd95c-2021-1,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,2021,Grasslands,Tree Cover
landcover-1eee4ace-2021-1,QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,2021,Urban & Built-up,Built-up
landcover-844dcc47-2021-1,QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,2021,Grasslands,Tree Cover
landcover-e25eed27-2021-1,QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,2021,Permanent Wetlands,Built-up
landcover-4c35e094-2021-1,ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2021,Water,Built-up
landcover-8825d90d-2021-1,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,2021,Woody Savannas,Tree Cover
landcover-de2e2f8e-2021-1,SK-MAIN-de2e2f8e,SK-MAIN-de2e2f8e,Prairie Lithium,2021,Croplands,Cropland
landcover-e928d96a-2021-1,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,2021,Urban & Built-up,Built-up
landcover-e55cb3d1-2021-1,NB-MAIN-e55cb3d1,NB-MAIN-e55cb3d1,Millstream,2021,Mixed Forests,Tree Cover
landcover-4f11f183-2021-1,NT-MAIN-4f11f183,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2021,Savannas,Tree Cover
landcover-46f71d5b-2021-1,ON-MAIN-46f71d5b,ON-MAIN-46f71d5b,Separation Rapids,2021,Mixed Forests,Tree Cover
landcover-f79436ec-2021-1,SK-MAIN-f79436ec,SK-MAIN-f79436ec,Jansen,2021,Croplands,Built-up
landcover-2cc9bb06-2021-1,YT-MAIN-2cc9bb06,YT-MAIN-2cc9bb06,Kudz Ze Kayah,2021,Savannas,Grassland
landcover-5154702a-2021-1,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,2021,Grasslands,Moss & Lichen
landcover-6e9be24e-2021-1,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),2021,Urban & Built-up,Bare/Sparse Vegetation
landcover-8434dce0-2021-1,AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,2021,Woody Savannas,Built-up
landcover-895cb178-2021-1,NL-MAIN-895cb178,NL-MAIN-895cb178,Buchans River,2021,Woody Savannas,Grassland
landcover-6c1d6ee6-2021-1,NT-MAIN-6c1d6ee6,NT-MAIN-6c1d6ee6,Ekati,2021,Grasslands,Built-up
landcover-715d4318-2021-1,QC-MAIN-715d4318,QC-MAIN-715d4318,Horizon,2021,Urban & Built-up,Built-up
landcover-2951d12e-2021-1,AB-MAIN-2951d12e,AB-MAIN-2951d12e,Calgary Facility,2021,Urban & Built-up,Built-up
landcover-0c5b40d8-2021-1,NB-MAIN-0c5b40d8,NB-MAIN-0c5b40d8,Nash Creek,2021,Mixed Forests,Tree Cover
landcover-484e4fa3-2021-1,ON-MAIN-484e4fa3,ON-MAIN-484e4fa3,Blind River,2021,Woody Savannas,Built-up
landcover-91cf5448-2021-1,SK-MAIN-91cf5448,SK-MAIN-91cf5448,Cigar Lake,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-bb89158f-2021-1,SK-MAIN-bb89158f,SK-MAIN-bb89158f,Key Lake,2021,Grasslands,Moss & Lichen
landcover-d3c471e8-2021-1,SK-MAIN-d3c471e8,SK-MAIN-d3c471e8,McArthur River,2021,Grasslands,Bare/Sparse Vegetation
landcover-237587f6-2021-1,ON-MAIN-237587f6,ON-MAIN-237587f6,Port Hope,2021,Water,Built-up
landcover-4c5c1179-2021-1,ON-MAIN-4c5c1179,ON-MAIN-4c5c1179,Crawford,2021,Mixed Forests,Tree Cover
landcover-8e04eb21-2021-1,NB-MAIN-8e04eb21,NB-MAIN-8e04eb21,Murray Brook,2021,Deciduous Broadleaf Forest,Bare/Sparse Vegetation
landcover-37e9571e-2021-1,ON-MAIN-37e9571e,ON-MAIN-37e9571e,Thierry,2021,Woody Savannas,Built-up
landcover-3e7d42ac-2021-1,NB-MAIN-3e7d42ac,NB-MAIN-3e7d42ac,Woodstock,2021,Woody Savannas,Grassland
landcover-eae1621e-2021-1,NU-MAIN-eae1621e,NU-MAIN-eae1621e,Ferguson Lake,2021,Permanent Wetlands,Moss & Lichen
landcover-5ce331b8-2021-1,QC-MAIN-5ce331b8,QC-MAIN-5ce331b8,Nunavik Nickel,2021,Grasslands,Moss & Lichen
landcover-eba3e309-2021-1,BC-MAIN-eba3e309,BC-MAIN-eba3e309,Golden Crown,2021,Woody Savannas,Tree Cover
landcover-e34feb4d-2021-1,BC-MAIN-e34feb4d,BC-MAIN-e34feb4d,Kemess,2021,Grasslands,Moss & Lichen
landcover-ed23117f-2021-1,BC-MAIN-ed23117f,BC-MAIN-ed23117f,Mount Milligan,2021,Evergreen Needleleaf Forest,Bare/Sparse Vegetation
landcover-089f3c60-2021-1,QC-MAIN-089f3c60,QC-MAIN-089f3c60,Bloom Lake,2021,Grasslands,Bare/Sparse Vegetation
landcover-251d6364-2021-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,2021,Woody Savannas,Tree Cover
landcover-be399420-2021-1,ON-MAIN-be399420,ON-MAIN-be399420,Thunder Bay North,2021,Woody Savannas,Tree Cover
landcover-3330383b-2021-1,QC-MAIN-3330383b,QC-MAIN-3330383b,Eldor (Ashram),2021,Savannas,Tree Cover
landcover-6fca9d6d-2021-1,MB-MAIN-6fca9d6d,MB-MAIN-6fca9d6d,Lynn Lake,2021,Savannas,Bare/Sparse Vegetation
landcover-d4e2812a-2021-1,QC-MAIN-d4e2812a,QC-MAIN-d4e2812a,Rose,2021,Woody Savannas,Tree Cover
landcover-9a0307f6-2021-1,AB-MAIN-9a0307f6,AB-MAIN-9a0307f6,SBH Black Shale,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-94e652a5-2021-1,NT-MAIN-94e652a5,NT-MAIN-94e652a5,Gahcho Kué,2021,Grasslands,Moss & Lichen
landcover-382acb18-2021-1,BC-MAIN-382acb18,BC-MAIN-382acb18,Wicheeda,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-4aef3cb2-2021-1,SK-MAIN-4aef3cb2,SK-MAIN-4aef3cb2,Waterbury,2021,Savannas,Tree Cover
landcover-95ec2625-2021-1,SK-MAIN-95ec2625,SK-MAIN-95ec2625,Wheeler River,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-51068f3b-2021-1,BC-MAIN-51068f3b,BC-MAIN-51068f3b,Kitsault Valley,2021,Evergreen Needleleaf Forest,Grassland
landcover-7d4a0421-2021-1,AB-MAIN-7d4a0421,AB-MAIN-7d4a0421,Bashaw District,2021,Croplands,Grassland
landcover-26b9aaf3-2021-1,SK-MAIN-26b9aaf3,SK-MAIN-26b9aaf3,EVRAZ Regina,2021,Urban & Built-up,Built-up
landcover-575ff9de-2021-1,AB-MAIN-575ff9de,AB-MAIN-575ff9de,GenAlta Recycling Inc.,2021,Croplands,Built-up
landcover-c3d6d0d2-2021-1,MB-MAIN-c3d6d0d2,MB-MAIN-c3d6d0d2,General Scrap,2021,Urban & Built-up,Built-up
landcover-2a44a3b1-2021-1,AB-MAIN-2a44a3b1,AB-MAIN-2a44a3b1,Navajo Metals Inc.,2021,Urban & Built-up,Bare/Sparse Vegetation
landcover-5faf4b42-2021-1,SK-MAIN-5faf4b42,SK-MAIN-5faf4b42,Wheat City Metals Inc.,2021,Urban & Built-up,Tree Cover
landcover-f9e41c2a-2021-1,QC-MAIN-f9e41c2a,QC-MAIN-f9e41c2a,Lamaque,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-6664e89b-2021-1,ON-MAIN-6664e89b,ON-MAIN-6664e89b,Battery Materials Park,2021,Woody Savannas,Built-up
landcover-5398dfac-2021-1,QC-MAIN-5398dfac,QC-MAIN-5398dfac,Elkem Chicoutimi,2021,Grasslands,Built-up
landcover-8daee686-2021-1,SK-MAIN-8daee686,SK-MAIN-8daee686,Muskowekwan,2021,Croplands,Cropland
landcover-2cf66e65-2021-1,QC-MAIN-2cf66e65,QC-MAIN-2cf66e65,Becancour Plant,2021,Croplands,Grassland
landcover-7f050560-2021-1,ON-MAIN-7f050560,ON-MAIN-7f050560,Red Lake,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-e1641dfb-2021-1,BC-MAIN-e1641dfb,BC-MAIN-e1641dfb,Decar,2021,Grasslands,Tree Cover
landcover-c1cc9f7c-2021-1,QC-MAIN-c1cc9f7c,QC-MAIN-c1cc9f7c,Becancour Silicon,2021,Croplands,Built-up
landcover-c139de6d-2021-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-842ba1b4-2021-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,2021,Woody Savannas,Tree Cover
landcover-ca488f19-2021-1,YT-MAIN-ca488f19,YT-MAIN-ca488f19,Macmillan Pass,2021,Barren,Bare/Sparse Vegetation
landcover-70d629b4-2021-1,YT-MAIN-70d629b4,YT-MAIN-70d629b4,Mactung,2021,Grasslands,Moss & Lichen
landcover-4eee18d1-2021-1,AB-MAIN-4eee18d1,AB-MAIN-4eee18d1,Worsley,2021,Croplands,Grassland
landcover-efff21d3-2021-1,BC-MAIN-efff21d3,BC-MAIN-efff21d3,Deer Horn,2021,Grasslands,Bare/Sparse Vegetation
landcover-0684a5d8-2021-1,SK-MAIN-0684a5d8,SK-MAIN-0684a5d8,Patterson Lake South,2021,Water,Tree Cover
landcover-f7fde5b4-2021-1,MB-MAIN-f7fde5b4,MB-MAIN-f7fde5b4,Minago,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-ae473a4e-2021-1,QC-MAIN-ae473a4e,QC-MAIN-ae473a4e,Lac Knife,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-7a11ae49-2021-1,SK-MAIN-7a11ae49,SK-MAIN-7a11ae49,McIlvenna Bay,2021,Woody Savannas,Grassland
landcover-ca9625ce-2021-1,AB-MAIN-ca9625ce,AB-MAIN-ca9625ce,Fortune Minerals Refinery,2021,Croplands,Cropland
landcover-b7cdf82c-2021-1,NT-MAIN-b7cdf82c,NT-MAIN-b7cdf82c,NICO,2021,Savannas,Moss & Lichen
landcover-d47616e5-2021-1,ON-MAIN-d47616e5,ON-MAIN-d47616e5,Martison,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-c06904f0-2021-1,ON-MAIN-c06904f0,ON-MAIN-c06904f0,Pakeagama,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-64bbe7e6-2021-1,ON-MAIN-64bbe7e6,ON-MAIN-64bbe7e6,Marathon,2021,Mixed Forests,Tree Cover
landcover-f2a5edd8-2021-1,SK-MAIN-f2a5edd8,SK-MAIN-f2a5edd8,Vanguard,2021,Croplands,Cropland
landcover-22426144-2021-1,QC-MAIN-22426144,QC-MAIN-22426144,REE Recycling Facility (Saint-Bruno),2021,Urban & Built-up,Built-up
landcover-0d5c2cae-2021-1,MB-MAIN-0d5c2cae,MB-MAIN-0d5c2cae,Selkirk Division,2021,Croplands,Bare/Sparse Vegetation
landcover-92cdea80-2021-1,ON-MAIN-92cdea80,ON-MAIN-92cdea80,Whitby Division,2021,Urban & Built-up,Built-up
landcover-bddeaef0-2021-1,ON-MAIN-bddeaef0,ON-MAIN-bddeaef0,Cambridge Mill,2021,Savannas,Built-up
landcover-b4ca1426-2021-1,MB-MAIN-b4ca1426,MB-MAIN-b4ca1426,Manitoba Mill,2021,Urban & Built-up,Built-up
landcover-21b6ab35-2021-1,ON-MAIN-21b6ab35,ON-MAIN-21b6ab35,Whitby Mill,2021,Urban & Built-up,Built-up
landcover-529c96b4-2021-1,QC-MAIN-529c96b4,QC-MAIN-529c96b4,CCR,2021,Urban & Built-up,Built-up
landcover-de3d8b7b-2021-1,QC-MAIN-de3d8b7b,QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),2021,Urban & Built-up,Built-up
landcover-206041d1-2021-1,ON-MAIN-206041d1,ON-MAIN-206041d1,Fraser,2021,Woody Savannas,Built-up
landcover-abb3e1c7-2021-1,QC-MAIN-abb3e1c7,QC-MAIN-abb3e1c7,General Smelting Company of Canada,2021,Urban & Built-up,Built-up
landcover-30c1828c-2021-1,QC-MAIN-30c1828c,QC-MAIN-30c1828c,Horne,2021,Woody Savannas,Built-up
landcover-f8313ebd-2021-1,ON-MAIN-f8313ebd,ON-MAIN-f8313ebd,Kidd Creek,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-fcb287a4-2021-1,ON-MAIN-fcb287a4,ON-MAIN-fcb287a4,Nickel Rim South,2021,Woody Savannas,Built-up
landcover-319e04a8-2021-1,ON-MAIN-319e04a8,ON-MAIN-319e04a8,Onaping Depth,2021,Woody Savannas,Tree Cover
landcover-a97821c0-2021-1,QC-MAIN-a97821c0,QC-MAIN-a97821c0,Raglan,2021,Barren,Bare/Sparse Vegetation
landcover-ed85ac94-2021-1,ON-MAIN-ed85ac94,ON-MAIN-ed85ac94,Strathcona,2021,Deciduous Broadleaf Forest,Built-up
landcover-40ce0593-2021-1,ON-MAIN-40ce0593,ON-MAIN-40ce0593,Sudbury,2021,Grasslands,Built-up
landcover-4440c34c-2021-1,ON-MAIN-4440c34c,ON-MAIN-4440c34c,Smiths Falls Operation,2021,Woody Savannas,Built-up
landcover-4724f4ba-2021-1,BC-MAIN-4724f4ba,BC-MAIN-4724f4ba,Elk,2021,Grasslands,Grassland
landcover-956d050a-2021-1,YT-MAIN-956d050a,YT-MAIN-956d050a,Carmacks,2021,Woody Savannas,Tree Cover
landcover-97ee890f-2021-1,ON-MAIN-97ee890f,ON-MAIN-97ee890f,Seymour Lake,2021,Mixed Forests,Tree Cover
landcover-27a90834-2021-1,MB-MAIN-27a90834,MB-MAIN-27a90834,Makwa Mayville,2021,Mixed Forests,Tree Cover
landcover-fbe28fef-2021-1,SK-MAIN-fbe28fef,SK-MAIN-fbe28fef,Kindersley Lithium,2021,Croplands,Cropland
landcover-b031959a-2021-1,BC-MAIN-b031959a,BC-MAIN-b031959a,Turnagain,2021,Woody Savannas,Tree Cover
landcover-b86f7d07-2021-1,QC-MAIN-b86f7d07,QC-MAIN-b86f7d07,Casa Berardi,2021,Savannas,Bare/Sparse Vegetation
landcover-44857446-2021-1,YT-MAIN-44857446,YT-MAIN-44857446,Keno Hill Silver District,2021,Woody Savannas,Tree Cover
landcover-c3105f43-2021-1,YT-MAIN-c3105f43,YT-MAIN-c3105f43,Rackla Gold,2021,Grasslands,Grassland
landcover-fc6f1a44-2021-1,ON-MAIN-fc6f1a44,ON-MAIN-fc6f1a44,Ivaco Rolling Mills,2021,Grasslands,Built-up
landcover-e2e67f8f-2021-1,MB-MAIN-e2e67f8f,MB-MAIN-e2e67f8f,1901,2021,Woody Savannas,Tree Cover
landcover-599152a0-2021-1,BC-MAIN-599152a0,BC-MAIN-599152a0,Copper Mountain,2021,Grasslands,Bare/Sparse Vegetation
landcover-be5b3dc8-2021-1,MB-MAIN-be5b3dc8,MB-MAIN-be5b3dc8,Lalor Lake,2021,Woody Savannas,Tree Cover
landcover-da0b5c3d-2021-1,MB-MAIN-da0b5c3d,MB-MAIN-da0b5c3d,New Britannia,2021,Woody Savannas,Built-up
landcover-c0684566-2021-1,MB-MAIN-c0684566,MB-MAIN-c0684566,Rail,2021,Woody Savannas,Tree Cover
landcover-0898e255-2021-1,MB-MAIN-0898e255,MB-MAIN-0898e255,Stall Lake,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-854abe09-2021-1,MB-MAIN-854abe09,MB-MAIN-854abe09,Talbot,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-1a82a1b7-2021-1,MB-MAIN-1a82a1b7,MB-MAIN-1a82a1b7,Tower,2021,Woody Savannas,Tree Cover
landcover-b5b81ee3-2021-1,MB-MAIN-b5b81ee3,MB-MAIN-b5b81ee3,Wim,2021,Woody Savannas,Tree Cover
landcover-02884fb5-2021-1,QC-MAIN-02884fb5,QC-MAIN-02884fb5,Westwood-Doyon,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-a3c56a83-2021-1,ON-MAIN-a3c56a83,ON-MAIN-a3c56a83,Lac des Iles,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-3f490561-2021-1,BC-MAIN-3f490561,BC-MAIN-3f490561,Mount Polley,2021,Barren,Bare/Sparse Vegetation
landcover-586679b9-2021-1,QC-MAIN-586679b9,QC-MAIN-586679b9,Crater Lake,2021,Permanent Wetlands,Grassland
landcover-d7217475-2021-1,MB-MAIN-d7217475,MB-MAIN-d7217475,Industrial Metals,2021,Urban & Built-up,Built-up
landcover-dd723db4-2021-1,NL-MAIN-dd723db4,NL-MAIN-dd723db4,Carol Lake,2021,Barren,Bare/Sparse Vegetation
landcover-7001a391-2021-1,ON-MAIN-7001a391,ON-MAIN-7001a391,McCreedy West,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-9a34108c-2021-1,ON-MAIN-9a34108c,ON-MAIN-9a34108c,Victoria,2021,Woody Savannas,Tree Cover
landcover-6bd6cc80-2021-1,ON-MAIN-6bd6cc80,ON-MAIN-6bd6cc80,Kingston Operation,2021,Urban & Built-up,Built-up
landcover-017a6137-2021-1,SK-MAIN-017a6137,SK-MAIN-017a6137,Wynyard,2021,Croplands,Grassland
landcover-a832fb0a-2021-1,MB-MAIN-a832fb0a,MB-MAIN-a832fb0a,East Wekusko - Snow Lake,2021,Water,Tree Cover
landcover-12730593-2021-1,BC-MAIN-12730593,BC-MAIN-12730593,Kutcho,2021,Woody Savannas,Tree Cover
landcover-575c5e66-2021-1,ON-MAIN-575c5e66,ON-MAIN-575c5e66,Ontario Spoke,2021,Urban & Built-up,Tree Cover
landcover-6b998583-2021-1,ON-MAIN-6b998583,ON-MAIN-6b998583,Markham lithium reprocessing facility,2021,Urban & Built-up,Built-up
landcover-0414a373-2021-1,QC-MAIN-0414a373,QC-MAIN-0414a373,Lithion St-Bruno,2021,Urban & Built-up,Built-up
landcover-35d0dc71-2021-1,AB-MAIN-35d0dc71,AB-MAIN-35d0dc71,Boardwalk,2021,Woody Savannas,Grassland
landcover-a2c6775d-2021-1,QC-MAIN-a2c6775d,QC-MAIN-a2c6775d,La Loutre,2021,Deciduous Broadleaf Forest,Tree Cover
landcover-c7247100-2021-1,BC-MAIN-c7247100,BC-MAIN-c7247100,Driftwood Creek,2021,Evergreen Needleleaf Forest,Tree Cover
landcover-8e62bfbc-2021-1,NU-MAIN-8e62bfbc,NU-MAIN-8e62bfbc,High Lake,2021,Grasslands,Moss & Lichen
landcover-1ef8af2c-2021-1,NU-MAIN-1ef8af2c,NU-MAIN-1ef8af2c,Izok Lake,2021,Permanent Wetlands,Permanent Water Bodies
landcover-b1d981ca-2021-1,ON-MAIN-b1d981ca,ON-MAIN-b1d981ca,Crean Hill,2021,Woody Savannas,Tree Cover
landcover-54b7e152-2021-1,ON-MAIN-54b7e152,ON-MAIN-54b7e152,Shakespeare,2021,Deciduous Broadleaf Forest,Tree Cover
landcover-aa793d35-2021-1,QC-MAIN-aa793d35,QC-MAIN-aa793d35,Dumont Nickel,2021,Woody Savannas,Grassland
landcover-649d2873-2021-1,QC-MAIN-649d2873,QC-MAIN-649d2873,Niobec Converter,2021,Savannas,Bare/Sparse Vegetation
landcover-a555d9b9-2021-1,QC-MAIN-a555d9b9,QC-MAIN-a555d9b9,Niobec,2021,Savannas,Built-up
landcover-c1e4dee0-2021-1,NB-MAIN-c1e4dee0,NB-MAIN-c1e4dee0,Battery Hill,2021,Croplands,Cropland
landcover-f021107e-2021-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,2021,Mixed Forests,Bare/Sparse Vegetation
landcover-615ebdb4-2021-1,QC-MAIN-615ebdb4,QC-MAIN-615ebdb4,Lac Guéret (Uatnan),2021,Woody Savannas,Tree Cover
landcover-470b504b-2021-1,ON-MAIN-470b504b,ON-MAIN-470b504b,Ottawa Plant,2021,Urban & Built-up,Grassland
landcover-4e0734b5-2021-1,ON-MAIN-4e0734b5,ON-MAIN-4e0734b5,Fox Complex,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-d9e2f362-2021-1,BC-MAIN-d9e2f362,BC-MAIN-d9e2f362,Richmond,2021,Urban & Built-up,Built-up
landcover-237d67c1-2021-1,QC-MAIN-237d67c1,QC-MAIN-237d67c1,Lac Rainy Graphite,2021,Savannas,Tree Cover
landcover-752fbcae-2021-1,YT-MAIN-752fbcae,YT-MAIN-752fbcae,Minto,2021,Savannas,Built-up
landcover-eb73fd68-2021-1,QC-MAIN-eb73fd68,QC-MAIN-eb73fd68,Nemaska lithium conversion facility,2021,Croplands,Grassland
landcover-9d41d417-2021-1,QC-MAIN-9d41d417,QC-MAIN-9d41d417,Whabouchi,2021,Savannas,Grassland
landcover-2bb07cd3-2021-1,ON-MAIN-2bb07cd3,ON-MAIN-2bb07cd3,River Valley,2021,Deciduous Broadleaf Forest,Tree Cover
landcover-aa76f6f2-2021-1,BC-MAIN-aa76f6f2,BC-MAIN-aa76f6f2,New Afton,2021,Grasslands,Grassland
landcover-0aadf28f-2021-1,ON-MAIN-0aadf28f,ON-MAIN-0aadf28f,Rainy River,2021,Grasslands,Bare/Sparse Vegetation
landcover-1c674cd0-2021-1,ON-MAIN-1c674cd0,ON-MAIN-1c674cd0,Borden,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-857b7b89-2021-1,BC-MAIN-857b7b89,BC-MAIN-857b7b89,Brucejack,2021,Grasslands,Tree Cover
landcover-c720b195-2021-1,BC-MAIN-c720b195,BC-MAIN-c720b195,GJ,2021,Grasslands,Grassland
landcover-8629a493-2021-1,ON-MAIN-8629a493,ON-MAIN-8629a493,Hollinger,2021,Urban & Built-up,Bare/Sparse Vegetation
landcover-538513cd-2021-1,ON-MAIN-538513cd,ON-MAIN-538513cd,Hoyle Pond,2021,Grasslands,Built-up
landcover-fefeaee4-2021-1,ON-MAIN-fefeaee4,ON-MAIN-fefeaee4,Musselwhite,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-3b3e5365-2021-1,ON-MAIN-3b3e5365,ON-MAIN-3b3e5365,Porcupine,2021,Grasslands,Bare/Sparse Vegetation
landcover-8eb8be0d-2021-1,BC-MAIN-8eb8be0d,BC-MAIN-8eb8be0d,Red Chris,2021,Woody Savannas,Tree Cover
landcover-6dc537e6-2021-1,QC-MAIN-6dc537e6,QC-MAIN-6dc537e6,Éléonore,2021,Permanent Wetlands,Bare/Sparse Vegetation
landcover-b4655afb-2021-1,BC-MAIN-b4655afb,BC-MAIN-b4655afb,Galore Creek,2021,Permanent Wetlands,Tree Cover
landcover-3012889c-2021-1,SK-MAIN-3012889c,SK-MAIN-3012889c,Rook I,2021,Savannas,Tree Cover
landcover-1910d1c3-2021-1,YT-MAIN-1910d1c3,YT-MAIN-1910d1c3,Nickel Shaw,2021,Grasslands,Bare/Sparse Vegetation
landcover-288718a6-2021-1,QC-MAIN-288718a6,QC-MAIN-288718a6,Crevier,2021,Mixed Forests,Tree Cover
