row_id,water_risk_id,main_id,name,indicator,value,year,scenario
water_risk-251d6364-2050-opt-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2050,opt
water_risk-251d6364-2050-opt-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt
water_risk-251d6364-2080-bau-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2080,bau
water_risk-251d6364-2080-bau-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2080,bau
water_risk-251d6364-2080-bau-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau
water_risk-251d6364-2080-pes-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2080,pes
water_risk-251d6364-2080-pes-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2080,pes
water_risk-251d6364-2080-pes-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes
water_risk-251d6364-2080-opt-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2080,opt
water_risk-251d6364-2080-opt-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2080,opt
water_risk-251d6364-2080-opt-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt
water_risk-842ba1b4-2020-baseline-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2020,baseline
water_risk-842ba1b4-2020-baseline-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2020,baseline
water_risk-842ba1b4-2020-baseline-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-842ba1b4-2020-baseline-4,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-842ba1b4-2020-baseline-5,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline
water_risk-842ba1b4-2030-bau-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2030,bau
water_risk-842ba1b4-2030-bau-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2030,bau
water_risk-842ba1b4-2030-bau-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau
water_risk-842ba1b4-2030-pes-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2030,pes
water_risk-842ba1b4-2030-pes-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2030,pes
water_risk-842ba1b4-2030-pes-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes
water_risk-842ba1b4-2030-opt-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2030,opt
water_risk-842ba1b4-2030-opt-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2030,opt
water_risk-842ba1b4-2030-opt-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt
water_risk-842ba1b4-2050-bau-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2050,bau
water_risk-842ba1b4-2050-bau-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2050,bau
water_risk-842ba1b4-2050-bau-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau
water_risk-842ba1b4-2050-pes-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2050,pes
water_risk-842ba1b4-2050-pes-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2050,pes
water_risk-842ba1b4-2050-pes-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes
water_risk-842ba1b4-2050-opt-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2050,opt
water_risk-842ba1b4-2050-opt-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2050,opt
water_risk-842ba1b4-2050-opt-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt
water_risk-842ba1b4-2080-bau-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2080,bau
water_risk-842ba1b4-2080-bau-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2080,bau
water_risk-842ba1b4-2080-bau-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau
water_risk-842ba1b4-2080-pes-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2080,pes
water_risk-842ba1b4-2080-pes-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2080,pes
water_risk-842ba1b4-2080-pes-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes
water_risk-842ba1b4-2080-opt-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Stress Label,Low (<10%),2080,opt
water_risk-842ba1b4-2080-opt-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Water Depletion Label,Low (<5%),2080,opt
water_risk-842ba1b4-2080-opt-3,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt
water_risk-c139de6d-2020-baseline-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2020,baseline
water_risk-c139de6d-2020-baseline-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2020,baseline
water_risk-c139de6d-2020-baseline-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-c139de6d-2020-baseline-4,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-c139de6d-2020-baseline-5,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline
water_risk-c139de6d-2030-bau-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2030,bau
water_risk-c139de6d-2030-bau-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2030,bau
water_risk-c139de6d-2030-bau-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau
water_risk-c139de6d-2030-pes-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2030,pes
water_risk-c139de6d-2030-pes-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2030,pes
water_risk-c139de6d-2030-pes-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes
water_risk-c139de6d-2030-opt-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2030,opt
water_risk-c139de6d-2030-opt-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2030,opt
water_risk-c139de6d-2030-opt-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt
water_risk-c139de6d-2050-bau-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2050,bau
water_risk-c139de6d-2050-bau-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2050,bau
water_risk-c139de6d-2050-bau-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau
water_risk-c139de6d-2050-pes-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2050,pes
water_risk-c139de6d-2050-pes-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2050,pes
water_risk-c139de6d-2050-pes-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes
water_risk-c139de6d-2050-opt-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2050,opt
water_risk-c139de6d-2050-opt-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2050,opt
water_risk-c139de6d-2050-opt-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt
water_risk-c139de6d-2080-bau-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2080,bau
water_risk-c139de6d-2080-bau-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2080,bau
water_risk-c139de6d-2080-bau-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau
water_risk-c139de6d-2080-pes-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2080,pes
water_risk-c139de6d-2080-pes-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2080,pes
water_risk-c139de6d-2080-pes-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes
water_risk-c139de6d-2080-opt-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Stress Label,Low (<10%),2080,opt
water_risk-c139de6d-2080-opt-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Water Depletion Label,Low (<5%),2080,opt
water_risk-c139de6d-2080-opt-3,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt
water_risk-f021107e-2020-baseline-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2020,baseline
water_risk-f021107e-2020-baseline-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2020,baseline
water_risk-f021107e-2020-baseline-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-f021107e-2020-baseline-4,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-f021107e-2020-baseline-5,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline
water_risk-f021107e-2030-bau-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2030,bau
water_risk-f021107e-2030-bau-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2030,bau
water_risk-f021107e-2030-bau-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau
water_risk-f021107e-2030-pes-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2030,pes
water_risk-f021107e-2030-pes-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2030,pes
water_risk-f021107e-2030-pes-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes
water_risk-f021107e-2030-opt-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2030,opt
water_risk-f021107e-2030-opt-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2030,opt
water_risk-f021107e-2030-opt-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt
water_risk-f021107e-2050-bau-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2050,bau
water_risk-f021107e-2050-bau-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2050,bau
water_risk-f021107e-2050-bau-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau
water_risk-f021107e-2050-pes-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2050,pes
water_risk-f021107e-2050-pes-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2050,pes
water_risk-f021107e-2050-pes-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes
water_risk-f021107e-2050-opt-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2050,opt
water_risk-f021107e-2050-opt-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2050,opt
water_risk-f021107e-2050-opt-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt
water_risk-f021107e-2080-bau-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2080,bau
water_risk-f021107e-2080-bau-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2080,bau
water_risk-f021107e-2080-bau-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau
water_risk-f021107e-2080-pes-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2080,pes
water_risk-f021107e-2080-pes-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2080,pes
water_risk-f021107e-2080-pes-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes
water_risk-f021107e-2080-opt-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Stress Label,Low (<10%),2080,opt
water_risk-f021107e-2080-opt-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Water Depletion Label,Low (<5%),2080,opt
water_risk-f021107e-2080-opt-3,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt
water_risk-2d8801d6-2020-baseline-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2020,baseline
water_risk-2d8801d6-2020-baseline-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2020,baseline
water_risk-2d8801d6-2020-baseline-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-2d8801d6-2020-baseline-4,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-2d8801d6-2020-baseline-5,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Coastal Eutrophication Potential Label,Medium - High (0 to 1),2020,baseline
water_risk-2d8801d6-2030-bau-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2030,bau
water_risk-2d8801d6-2030-bau-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2030,bau
water_risk-2d8801d6-2030-bau-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2030,bau
water_risk-2d8801d6-2030-pes-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2030,pes
water_risk-2d8801d6-2030-pes-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2030,pes
water_risk-2d8801d6-2030-pes-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2030,pes
water_risk-2d8801d6-2030-opt-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2030,opt
water_risk-2d8801d6-2030-opt-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2030,opt
water_risk-2d8801d6-2030-opt-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2030,opt
water_risk-2d8801d6-2050-bau-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2050,bau
water_risk-2d8801d6-2050-bau-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2050,bau
water_risk-2d8801d6-2050-bau-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2050,bau
water_risk-2d8801d6-2050-pes-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2050,pes
water_risk-2d8801d6-2050-pes-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2050,pes
water_risk-2d8801d6-2050-pes-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes
water_risk-2d8801d6-2050-opt-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2050,opt
water_risk-2d8801d6-2050-opt-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2050,opt
water_risk-2d8801d6-2050-opt-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt
water_risk-2d8801d6-2080-bau-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2080,bau
water_risk-2d8801d6-2080-bau-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2080,bau
water_risk-2d8801d6-2080-bau-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau
water_risk-2d8801d6-2080-pes-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2080,pes
water_risk-2d8801d6-2080-pes-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2080,pes
water_risk-2d8801d6-2080-pes-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2080,pes
water_risk-2d8801d6-2080-opt-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Stress Label,Low (<10%),2080,opt
water_risk-2d8801d6-2080-opt-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Water Depletion Label,Low (<5%),2080,opt
water_risk-2d8801d6-2080-opt-3,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,Interannual Variability Label,Low (<0.25),2080,opt
water_risk-b64bae7a-2020-baseline-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Stress Label,Low (<10%),2020,baseline
water_risk-b64bae7a-2020-baseline-2,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Depletion Label,Low (<5%),2020,baseline
water_risk-b64bae7a-2020-baseline-3,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-b64bae7a-2020-baseline-4,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-b64bae7a-2020-baseline-5,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Coastal Eutrophication Potential Label,Medium - High (0 to 1),2020,baseline
water_risk-b64bae7a-2030-bau-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Stress Label,Low (<10%),2030,bau
water_risk-b64bae7a-2030-bau-2,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Depletion Label,Low (<5%),2030,bau
water_risk-b64bae7a-2030-bau-3,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau
water_risk-b64bae7a-2030-pes-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Stress Label,Low (<10%),2030,pes
water_risk-b64bae7a-2030-pes-2,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Depletion Label,Low (<5%),2030,pes
water_risk-b64bae7a-2030-pes-3,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes
water_risk-b64bae7a-2030-opt-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Stress Label,Low (<10%),2030,opt
water_risk-b64bae7a-2030-opt-2,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Depletion Label,Low (<5%),2030,opt
water_risk-b64bae7a-2030-opt-3,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt
water_risk-b64bae7a-2050-bau-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,Water Stress Label,Low (<10%),2050,bau
