row_id,population_id,main_id,name,year,buffer_size,total_population
population-eab8c362-2030-1,ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,2030,10km,90532.71754565909
population-eab8c362-2030-2,ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,2030,50km,125020.33896960536
population-8c7063b2-2025-1,QC-MAIN-8c7063b2,QC-MAIN-8c7063b2,James Bay Lithium,2025,10km,0.0
population-8c7063b2-2025-2,QC-MAIN-8c7063b2,QC-MAIN-8c7063b2,James Bay Lithium,2025,50km,0.03773942371481098
population-8c7063b2-2030-1,QC-MAIN-8c7063b2,QC-MAIN-8c7063b2,James Bay Lithium,2030,10km,0.0
population-8c7063b2-2030-2,QC-MAIN-8c7063b2,QC-MAIN-8c7063b2,James Bay Lithium,2030,50km,0.03859819041099399
population-3ef4f421-2025-1,BC-MAIN-3ef4f421,BC-MAIN-3ef4f421,Avanti Kitsault,2025,10km,10.804271132219583
population-3ef4f421-2025-2,BC-MAIN-3ef4f421,BC-MAIN-3ef4f421,Avanti Kitsault,2025,50km,1724.6983902920038
population-3ef4f421-2030-1,BC-MAIN-3ef4f421,BC-MAIN-3ef4f421,Avanti Kitsault,2030,10km,11.244297055527568
population-3ef4f421-2030-2,BC-MAIN-3ef4f421,BC-MAIN-3ef4f421,Avanti Kitsault,2030,50km,1794.9706817050464
population-9fed34a8-2025-1,AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,2025,10km,498709.25384164636
population-9fed34a8-2025-2,AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,2025,50km,1587484.5311207103
population-9fed34a8-2030-1,AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,2030,10km,524562.204282393
population-9fed34a8-2030-2,AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,2030,50km,1670741.4547198024
population-9e0c4fb2-2025-1,NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,2025,10km,0.0
population-9e0c4fb2-2025-2,NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,2025,50km,0.0
population-9e0c4fb2-2030-1,NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,2030,10km,0.0
population-9e0c4fb2-2030-2,NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,2030,50km,0.0
population-9623499f-2025-1,ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,2025,10km,423132.14293146797
population-9623499f-2025-2,ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,2025,50km,3180724.392742947
population-9623499f-2030-1,ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,2030,10km,444364.59526579425
population-9623499f-2030-2,ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,2030,50km,3311781.2287635617
population-abe563b5-2025-1,QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,2025,10km,334895.3275885832
population-abe563b5-2025-2,QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,2025,50km,4266222.304969798
population-abe563b5-2030-1,QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,2030,10km,346328.60934055963
population-abe563b5-2030-2,QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,2030,50km,4430584.493179415
population-a1159813-2025-1,QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,2025,10km,491707.54799756064
population-a1159813-2025-2,QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,2025,50km,4480723.152459151
population-a1159813-2030-1,QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,2030,10km,511214.0216494112
population-a1159813-2030-2,QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,2030,50km,4655042.327705801
population-15d7c629-2025-1,QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,2025,10km,261143.51396282666
population-15d7c629-2025-2,QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,2025,50km,760092.4752589246
population-15d7c629-2030-1,QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,2030,10km,273477.94787410286
population-15d7c629-2030-2,QC-MAIN-15d7c629,QC-MAIN-15d7c629,AIM Recycling Lévis,2030,50km,804208.6523073255
population-41bf5ea5-2025-1,QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,2025,10km,770147.6415338925
population-41bf5ea5-2025-2,QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,2025,50km,4537571.1574461
population-41bf5ea5-2030-1,QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,2030,10km,800641.449483386
population-41bf5ea5-2030-2,QC-MAIN-41bf5ea5,QC-MAIN-41bf5ea5,AIM Recycling Montréal-Est,2030,50km,4714534.484959291
population-8056a739-2025-1,ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,2025,10km,479612.19485697144
population-8056a739-2025-2,ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,2025,50km,1491302.8398030244
population-8056a739-2030-1,ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,2030,10km,492585.26701286866
population-8056a739-2030-2,ON-MAIN-8056a739,ON-MAIN-8056a739,AIM Recycling Ottawa East,2030,50km,1530688.4909551507
population-30ff61c3-2025-1,QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,2025,10km,21480.547395555837
population-30ff61c3-2025-2,QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,2025,50km,2701634.0699585592
population-30ff61c3-2030-1,QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,2030,10km,22668.680085982804
population-30ff61c3-2030-2,QC-MAIN-30ff61c3,QC-MAIN-30ff61c3,Contrecœur-Feruni,2030,50km,2831417.0516961957
population-33c09b8b-2025-1,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,2025,10km,0.0
population-33c09b8b-2025-2,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,2025,50km,0.0
population-33c09b8b-2030-1,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,2030,10km,0.0
population-33c09b8b-2030-2,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,2030,50km,0.0
population-084bd95c-2025-1,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,2025,10km,0.0
population-084bd95c-2025-2,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,2025,50km,13076.8423898773
population-084bd95c-2030-1,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,2030,10km,0.0
population-084bd95c-2030-2,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,2030,50km,13136.202551873721
population-1eee4ace-2025-1,QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,2025,10km,20686.72554130921
population-1eee4ace-2025-2,QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,2025,50km,2418287.322966183
population-1eee4ace-2030-1,QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,2030,10km,21815.713711209766
population-1eee4ace-2030-2,QC-MAIN-1eee4ace,QC-MAIN-1eee4ace,Contrecœur East,2030,50km,2542139.8695108118
population-844dcc47-2025-1,QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,2025,10km,23152.453500922304
population-844dcc47-2025-2,QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,2025,50km,2993006.280913758
population-844dcc47-2030-1,QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,2030,10km,24439.726735101067
population-844dcc47-2030-2,QC-MAIN-844dcc47,QC-MAIN-844dcc47,Contrecœur West,2030,50km,3128592.425654672
population-e25eed27-2025-1,QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,2025,10km,0.0
population-e25eed27-2025-2,QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,2025,50km,0.0
population-e25eed27-2030-1,QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,2030,10km,0.0
population-e25eed27-2030-2,QC-MAIN-e25eed27,QC-MAIN-e25eed27,Port-Cartier,2030,50km,0.0
population-4c35e094-2025-1,ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2025,10km,471518.39073666965
population-4c35e094-2025-2,ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2025,50km,3273365.6764622647
population-4c35e094-2030-1,ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2030,10km,495178.16851214564
population-4c35e094-2030-2,ON-MAIN-4c35e094,ON-MAIN-4c35e094,ArcelorMittal Dofasco,2030,50km,3407282.5536139016
population-8825d90d-2025-1,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,2025,10km,715.6691753230131
population-8825d90d-2025-2,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,2025,50km,4180.876533809898
population-8825d90d-2030-1,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,2030,10km,737.3165913625273
population-8825d90d-2030-2,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,2030,50km,4312.1328117983485
population-de2e2f8e-2025-1,SK-MAIN-de2e2f8e,SK-MAIN-de2e2f8e,Prairie Lithium,2025,10km,84.36194985185284
population-de2e2f8e-2025-2,SK-MAIN-de2e2f8e,SK-MAIN-de2e2f8e,Prairie Lithium,2025,50km,20623.369847423593
population-de2e2f8e-2030-1,SK-MAIN-de2e2f8e,SK-MAIN-de2e2f8e,Prairie Lithium,2030,10km,87.66979236749467
population-de2e2f8e-2030-2,SK-MAIN-de2e2f8e,SK-MAIN-de2e2f8e,Prairie Lithium,2030,50km,21390.224881750903
population-e928d96a-2025-1,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,2025,10km,698253.2192032076
population-e928d96a-2025-2,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,2025,50km,6620234.51668513
population-e928d96a-2030-1,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,2030,10km,724751.4731943314
population-e928d96a-2030-2,ON-MAIN-e928d96a,ON-MAIN-e928d96a,Brampton,2030,50km,6870075.825284252
population-e55cb3d1-2025-1,NB-MAIN-e55cb3d1,NB-MAIN-e55cb3d1,Millstream,2025,10km,7866.585828268025
population-e55cb3d1-2025-2,NB-MAIN-e55cb3d1,NB-MAIN-e55cb3d1,Millstream,2025,50km,0.0
population-e55cb3d1-2030-1,NB-MAIN-e55cb3d1,NB-MAIN-e55cb3d1,Millstream,2030,10km,7955.893826100662
population-e55cb3d1-2030-2,NB-MAIN-e55cb3d1,NB-MAIN-e55cb3d1,Millstream,2030,50km,0.0
population-4f11f183-2025-1,NT-MAIN-4f11f183,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2025,10km,0.0
population-4f11f183-2025-2,NT-MAIN-4f11f183,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2025,50km,53.841202484443784
population-4f11f183-2030-1,NT-MAIN-4f11f183,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2030,10km,0.0
population-4f11f183-2030-2,NT-MAIN-4f11f183,NT-MAIN-4f11f183,Nechalacho - Basal Zone,2030,50km,52.96356480102986
population-46f71d5b-2025-1,ON-MAIN-46f71d5b,ON-MAIN-46f71d5b,Separation Rapids,2025,10km,0.0
population-46f71d5b-2025-2,ON-MAIN-46f71d5b,ON-MAIN-46f71d5b,Separation Rapids,2025,50km,3107.8564748840945
population-46f71d5b-2030-1,ON-MAIN-46f71d5b,ON-MAIN-46f71d5b,Separation Rapids,2030,10km,0.0
population-46f71d5b-2030-2,ON-MAIN-46f71d5b,ON-MAIN-46f71d5b,Separation Rapids,2030,50km,3190.484795153568
population-f79436ec-2025-1,SK-MAIN-f79436ec,SK-MAIN-f79436ec,Jansen,2025,10km,127.44379167503234
population-f79436ec-2025-2,SK-MAIN-f79436ec,SK-MAIN-f79436ec,Jansen,2025,50km,19850.202472758356
population-f79436ec-2030-1,SK-MAIN-f79436ec,SK-MAIN-f79436ec,Jansen,2030,10km,132.4187653922403
population-f79436ec-2030-2,SK-MAIN-f79436ec,SK-MAIN-f79436ec,Jansen,2030,50km,20626.350131869098
population-2cc9bb06-2025-1,YT-MAIN-2cc9bb06,YT-MAIN-2cc9bb06,Kudz Ze Kayah,2025,10km,0.0
population-2cc9bb06-2025-2,YT-MAIN-2cc9bb06,YT-MAIN-2cc9bb06,Kudz Ze Kayah,2025,50km,34.43363785371184
population-2cc9bb06-2030-1,YT-MAIN-2cc9bb06,YT-MAIN-2cc9bb06,Kudz Ze Kayah,2030,10km,0.0
population-2cc9bb06-2030-2,YT-MAIN-2cc9bb06,YT-MAIN-2cc9bb06,Kudz Ze Kayah,2030,50km,37.14748336467892
population-5154702a-2025-1,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,2025,10km,0.0
population-5154702a-2025-2,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,2025,50km,0.0
population-5154702a-2030-1,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,2030,10km,0.0
population-5154702a-2030-2,NU-MAIN-5154702a,NU-MAIN-5154702a,Mary River,2030,50km,0.0
population-6e9be24e-2025-1,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),2025,10km,7.206448414479382
population-6e9be24e-2025-2,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),2025,50km,7690.325250434114
population-6e9be24e-2030-1,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),2030,10km,7.395950512087438
population-6e9be24e-2030-2,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),2030,50km,7923.477333245719
population-8434dce0-2025-1,AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,2025,10km,8722.845410353992
population-8434dce0-2025-2,AB-MAIN-8434dce0,AB-MAIN-8434dce0,Baymag,2025,50km,36506.83803156974
