main_id,cluster_id,tailing_id,tang_id,check_manually
,142,,QC-TANG-40043683,True
,142,,QC-TANG-955814f2,True
,255,,NL-TANG-7ef1ed69,False
,255,,NL-TANG-fe1736bd,False
,134,,NL-TANG-03ebf995,False
,134,,NL-TANG-afec755c,False
,134,,NL-TANG-fd83e679,False
,25,,NL-TANG-c5125af2,False
,25,,NL-TANG-3894ccaf,False
,25,,NL-TANG-1677e48c,False
,25,,NL-TANG-a306e0b0,False
,25,,NL-TANG-a5695ab6,False
,142,,QC-TANG-c312422f,True
,142,,QC-TANG-9087673e,True
,142,,QC-TANG-89faebce,True
,142,,QC-TANG-b64f5524,True
,142,,QC-TANG-122ae665,True
,142,,QC-TANG-43beefcf,True
,142,,QC-TANG-4c1ac32e,True
,120,,QC-TANG-0f6f66fe,False
,120,,QC-TANG-85490034,False
,120,,QC-TANG-638ec711,False
,256,,NL-TANG-61259790,False
,256,,NL-TANG-7e978a46,False
,256,,NL-TANG-132c9af1,False
,256,,NL-TANG-0c14cf47,False
,46,,NL-TANG-5526f5f4,False
,46,,NL-TANG-6c51d955,False
,46,,NL-TANG-ceeb3aaf,False
,45,,NL-TANG-9f630ac6,True
,46,,NL-TANG-7a186ab2,False
,46,,NL-TANG-02543734,False
,45,,NL-TANG-99cffd8f,True
,45,,NL-TANG-9c3e1c0c,True
,46,,NL-TANG-e5e9caf5,False
,45,,NL-TANG-0bddb43b,True
,45,,NL-TANG-510cf7a2,True
,45,,NL-TANG-0893ef47,True
,257,,NL-TANG-68406da4,False
,257,,NL-TANG-013b0faf,False
,257,,NL-TANG-b692b52c,False
,257,,NL-TANG-3f597dfc,False
,120,,QC-TANG-2103626c,False
,120,,QC-TANG-ac2d1756,False
,120,,QC-TANG-270dc019,False
,120,,QC-TANG-2d881c2d,False
,80,,QC-TANG-2358df5c,False
,258,,QC-TANG-fb831479,False
,258,,QC-TANG-c2d7a923,False
,19,,QC-TANG-6a228688,False
,19,,QC-TANG-a20607b3,False
,19,,QC-TANG-91b86f2f,False
,19,,QC-TANG-b2b8a4c0,False
,19,,QC-TANG-9fc1c099,False
,20,,QC-TANG-c1776dfb,True
,20,,QC-TANG-a3329692,True
,20,,QC-TANG-5372de3b,True
,20,,QC-TANG-25192d44,True
,20,,QC-TANG-7e00bea4,True
,20,,QC-TANG-31706b38,True
,20,,QC-TANG-fedc34b5,True
,20,,QC-TANG-a3346d42,True
,20,,QC-TANG-29dec624,True
,20,,QC-TANG-8629cfb7,True
,20,,QC-TANG-88ff554d,True
,20,,QC-TANG-490fa173,True
,20,,QC-TANG-b3aabdaa,True
,20,,NL-TANG-ec799193,True
,20,,QC-TANG-f4fd192e,True
,20,,QC-TANG-e5c428a1,True
,20,,NL-TANG-e8ab3d2c,True
,20,,NL-TANG-613ae0de,True
,20,,NL-TANG-b9ea1fd4,True
,20,,NL-TANG-95ecf8fe,True
,20,,NL-TANG-c9fe77b9,True
,20,,NL-TANG-6b3c97a7,True
,20,,NL-TANG-b76fdfa9,True
,20,,NL-TANG-d47999fe,True
,20,,NL-TANG-372c7593,True
,20,,NL-TANG-32e9d2e1,True
,20,,NL-TANG-638b9cfb,True
,20,,NL-TANG-5732370c,True
,257,,NL-TANG-2968d00d,False
,257,,NL-TANG-510edee1,False
,257,,NL-TANG-abe37845,False
,257,,NL-TANG-6e67933a,False
,257,,NL-TANG-2ea1c787,False
,257,,NL-TANG-a8f449aa,False
,96,,NL-TANG-e0db574b,False
,96,,NL-TANG-18d6b86a,False
,96,,NL-TANG-adfef0fb,False
,96,,NL-TANG-eea7116f,False
,20,,NL-TANG-f732dfff,True
,20,,NL-TANG-fe2f15fe,True
,20,,NL-TANG-03057b57,True
,20,,NL-TANG-5bc09db1,True
,90,,NL-TANG-2957c186,False
,90,,NL-TANG-639e381a,False
,90,,NL-TANG-e5b19dfd,False
,90,,NL-TANG-9344526a,False
,90,,NL-TANG-07e68d81,False
,90,,NL-TANG-ac24db62,False
,90,,NL-TANG-ee7ad81a,False
,90,,QC-TANG-a23df330,False
,90,,QC-TANG-35134c38,False
,90,,QC-TANG-271100bd,False
,90,,QC-TANG-3b6276b3,False
,90,,QC-TANG-c81e3799,False
,90,,QC-TANG-a9b6c035,False
,90,,QC-TANG-34187ec9,False
,90,,QC-TANG-af1f6981,False
,90,,QC-TANG-ae95cc4a,False
,90,,QC-TANG-57bdd6dd,False
,90,,QC-TANG-bbc71400,False
,90,,QC-TANG-c62e8eb0,False
,90,,QC-TANG-bd349f4c,False
,90,,NL-TANG-d3d24b9a,False
,90,,NL-TANG-af35d54a,False
,90,,NL-TANG-789f7aa8,False
,96,,NL-TANG-06a75dda,False
,96,,NL-TANG-3d910651,False
,96,,NL-TANG-3aa47dab,False
,96,,NL-TANG-09f18aa0,False
,96,,NL-TANG-509302a4,False
,96,,NL-TANG-a4177750,False
,96,,NL-TANG-d7c73619,False
,259,,QC-TANG-1be80397,False
,259,,QC-TANG-f46aac66,False
,260,,QC-TANG-f96813d0,False
,260,,QC-TANG-0e3760ba,False
,260,,QC-TANG-367040a5,False
,260,,QC-TANG-7e54a790,False
,260,,QC-TANG-ed96a969,False
,260,,QC-TANG-87cba326,False
,260,,QC-TANG-9f5b625a,False
,260,,QC-TANG-84091923,False
,260,,QC-TANG-954916dc,False
,260,,QC-TANG-461fbc14,False
,260,,QC-TANG-ef5c3dce,False
,260,,QC-TANG-7ca0bfd7,False
,260,,QC-TANG-7e2df72a,False
,260,,QC-TANG-fd78dded,False
,260,,QC-TANG-e6d0e18d,False
,93,,QC-TANG-4b1a6a22,False
,93,,QC-TANG-7ca6229a,False
,93,,QC-TANG-20506215,False
,77,,QC-TANG-cedf034a,True
,77,,QC-TANG-60de3571,True
,77,,QC-TANG-7b25bed1,True
,77,,QC-TANG-e06fddf1,True
,261,,QC-TANG-018ba311,False
,261,,QC-TANG-3fa622c8,False
,261,,QC-TANG-ca7abe3d,False
,93,,QC-TANG-b7edfcda,False
,93,,QC-TANG-6dc1622d,False
,93,,QC-TANG-d3e17358,False
,262,,QC-TANG-075d06e2,False
,263,,QC-TANG-4151dec5,False
,69,,QC-TANG-db428fa9,False
,69,,QC-TANG-aa6cd0a0,False
,69,,QC-TANG-3c6c6332,False
,69,,QC-TANG-0012379a,False
,69,,QC-TANG-14aa4b72,False
,69,,QC-TANG-f7f80fb6,False
,69,,QC-TANG-043b442b,False
,69,,QC-TANG-76a77560,False
,69,,QC-TANG-a1e5430c,False
,69,,QC-TANG-fe1356e5,False
,69,,QC-TANG-62ce8a0d,False
,69,,QC-TANG-b08a9b95,False
,264,,QC-TANG-d139b8b3,False
,75,,QC-TANG-de5a6bf9,False
,75,,QC-TANG-f7122c05,False
,75,,QC-TANG-2d156711,False
,75,,QC-TANG-255578d9,False
,75,,QC-TANG-1351f9cd,False
,75,,QC-TANG-04c91823,False
,75,,QC-TANG-f8a90192,False
