npv_id,main_id,name,latitude,longitude,biome_type,geometry
AB-MAIN-a67a8e37,AB-MAIN-a67a8e37,Vista,53.403506,-117.36642,Cold Evergreen Needleleaf Forest,POINT (-117.36642 53.403506)
AB-MAIN-ddfda037,AB-MAIN-ddfda037,Grande Cache,54.0333,-119.1667,Cold Evergreen Needleleaf Forest,POINT (-119.1667 54.0333)
AB-MAIN-eec2cd4c,AB-MAIN-eec2cd4c,Kearl,57.396911,-111.066731,Cold Evergreen Needleleaf Forest,POINT (-111.066731 57.396911)
AB-MAIN-7dabaf6e,AB-MAIN-7dabaf6e,Millennium and Steepbank,56.8719,-111.34,Cold Evergreen Needleleaf Forest,POINT (-111.34 56.8719)
AB-MAIN-70af0605,AB-MAIN-70af0605,Jackpine,57.2490361111111,-111.379855555556,Cold Evergreen Needleleaf Forest,POINT (-111.379855555556 57.2490361111111)
AB-MAIN-c42b8de9,AB-MAIN-c42b8de9,Aurora North and South,57.3134,-111.458,Cold Evergreen Needleleaf Forest,POINT (-111.458 57.3134)
AB-MAIN-5ce71d64,AB-MAIN-5ce71d64,Mildred Lake,57.0,-111.4667,Cold Evergreen Needleleaf Forest,POINT (-111.4667 57)
AB-MAIN-e4a2cc7b,AB-MAIN-e4a2cc7b,Muskeg River,57.2465,-111.512,Cold Evergreen Needleleaf Forest,POINT (-111.512 57.2465)
AB-MAIN-3f0e46be,AB-MAIN-3f0e46be,Fort Hills,57.3952,-111.572,Cold Evergreen Needleleaf Forest,POINT (-111.572 57.3952)
AB-MAIN-f7556a3a,AB-MAIN-f7556a3a,Horizon,57.3382333333333,-111.774947222222,Cold Evergreen Needleleaf Forest,POINT (-111.774947222222 57.3382333333333)
BC-MAIN-4724f4ba,BC-MAIN-4724f4ba,Elk,49.8538,-120.31487,Cold Evergreen Needleleaf Forest,POINT (-120.31487 49.8538)
BC-MAIN-aa76f6f2,BC-MAIN-aa76f6f2,New Afton,50.661,-120.514,Temperate Evergreen Needleleaf Open Woodland,POINT (-120.514 50.661)
BC-MAIN-599152a0,BC-MAIN-599152a0,Copper Mountain,49.331,-120.533,Cool Evergreen Needleleaf Forest,POINT (-120.533 49.331)
BC-MAIN-bf503b6b,BC-MAIN-bf503b6b,Highland Valley,50.4855,-121.0483,Cool Evergreen Needleleaf Forest,POINT (-121.0483 50.4855)
BC-MAIN-3f490561,BC-MAIN-3f490561,Mount Polley,52.544959,-121.633931,Cold Evergreen Needleleaf Forest,POINT (-121.633931 52.544959)
BC-MAIN-6b4800fe,BC-MAIN-6b4800fe,Gibraltar,52.528495,-122.28716,Cold Evergreen Needleleaf Forest,POINT (-122.28716 52.528495)
BC-MAIN-ed23117f,BC-MAIN-ed23117f,Mount Milligan,55.118,-124.031,Cold Evergreen Needleleaf Forest,POINT (-124.031 55.118)
BC-MAIN-23155c25,BC-MAIN-23155c25,Myra Falls,49.57,-125.59,Cool Evergreen Needleleaf Forest,POINT (-125.59 49.57)
BC-MAIN-8eb8be0d,BC-MAIN-8eb8be0d,Red Chris,57.7,-129.78333,Cold Evergreen Needleleaf Forest,POINT (-129.78333 57.7)
