row_id,main_id,name,year,buffer_size,total_population,source_id,geometry
population-52c01ae4-2025-1,QC-MAIN-52c01ae4,Baie-Comeau,2025,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-68.1491 49.2562)
population-52c01ae4-2025-2,QC-MAIN-52c01ae4,Baie-Comeau,2025,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-68.1491 49.2562)
population-52c01ae4-2030-1,QC-MAIN-52c01ae4,Baie-Comeau,2030,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-68.1491 49.2562)
population-52c01ae4-2030-2,QC-MAIN-52c01ae4,Baie-Comeau,2030,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-68.1491 49.2562)
population-eac5a52b-2025-1,QC-MAIN-eac5a52b,Deschambault,2025,10km,10253.559233054419,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.9467 46.6939)
population-eac5a52b-2025-2,QC-MAIN-eac5a52b,Deschambault,2025,50km,375107.2588208292,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.9467 46.6939)
population-eac5a52b-2030-1,QC-MAIN-eac5a52b,Deschambault,2030,10km,10479.212729837576,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.9467 46.6939)
population-eac5a52b-2030-2,QC-MAIN-eac5a52b,Deschambault,2030,50km,389851.46883062704,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.9467 46.6939)
population-81a288d0-2025-1,QC-MAIN-81a288d0,Elysis,2025,10km,113629.27977280482,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.17565 48.43214)
population-81a288d0-2025-2,QC-MAIN-81a288d0,Elysis,2025,50km,229053.19013165036,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.17565 48.43214)
population-81a288d0-2030-1,QC-MAIN-81a288d0,Elysis,2030,10km,118605.31734194356,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.17565 48.43214)
population-81a288d0-2030-2,QC-MAIN-81a288d0,Elysis,2030,50km,237825.63412818368,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-71.17565 48.43214)
population-c8966bdc-2025-1,QC-MAIN-c8966bdc,Bécancour,2025,10km,20103.986847990553,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-72.3852 46.381)
population-c8966bdc-2025-2,QC-MAIN-c8966bdc,Bécancour,2025,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-72.3852 46.381)
population-c8966bdc-2030-1,QC-MAIN-c8966bdc,Bécancour,2030,10km,20780.349039932593,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-72.3852 46.381)
population-c8966bdc-2030-2,QC-MAIN-c8966bdc,Bécancour,2030,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-72.3852 46.381)
population-eab8c362-2025-1,ON-MAIN-eab8c362,Algoma Steel,2025,10km,88844.19987684392,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.36664 46.52055)
population-eab8c362-2025-2,ON-MAIN-eab8c362,Algoma Steel,2025,50km,123460.14571194908,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.36664 46.52055)
population-eab8c362-2030-1,ON-MAIN-eab8c362,Algoma Steel,2030,10km,90532.71754565909,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.36664 46.52055)
population-eab8c362-2030-2,ON-MAIN-eab8c362,Algoma Steel,2030,50km,125020.33896960536,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.36664 46.52055)
population-8c7063b2-2025-1,QC-MAIN-8c7063b2,James Bay Lithium,2025,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-77.06667 52.23333)
population-8c7063b2-2025-2,QC-MAIN-8c7063b2,James Bay Lithium,2025,50km,0.03773942371481098,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-77.06667 52.23333)
population-8c7063b2-2030-1,QC-MAIN-8c7063b2,James Bay Lithium,2030,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-77.06667 52.23333)
population-8c7063b2-2030-2,QC-MAIN-8c7063b2,James Bay Lithium,2030,50km,0.03859819041099399,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-77.06667 52.23333)
population-3ef4f421-2025-1,BC-MAIN-3ef4f421,Avanti Kitsault,2025,10km,10.804271132219583,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-129.419 55.422)
population-3ef4f421-2025-2,BC-MAIN-3ef4f421,Avanti Kitsault,2025,50km,1724.6983902920038,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-129.419 55.422)
population-3ef4f421-2030-1,BC-MAIN-3ef4f421,Avanti Kitsault,2030,10km,11.244297055527568,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-129.419 55.422)
population-3ef4f421-2030-2,BC-MAIN-3ef4f421,Avanti Kitsault,2030,50km,1794.9706817050464,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-129.419 55.422)
population-9fed34a8-2025-1,AB-MAIN-9fed34a8,AltaSteel,2025,10km,498709.25384164636,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-113.387962 53.492783)
population-9fed34a8-2025-2,AB-MAIN-9fed34a8,AltaSteel,2025,50km,1587484.5311207103,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-113.387962 53.492783)
population-9fed34a8-2030-1,AB-MAIN-9fed34a8,AltaSteel,2030,10km,524562.204282393,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-113.387962 53.492783)
