Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
12767,SKBTB1H2202,Canadian Natural Resources Limited,Calgary,2500 855 2 Street Southwest,N/A,Alberta,53.0179,-109.878,12.45,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12767-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112767&GoCTemplateCulture=en-CA
"
12768,Narraway Gas MWB 10-08-062-10W6,Canadian Natural Resources Limited,Calgary,855 2nd Street Southwest,T2P 4J8,Alberta,54.3503,-119.459,44.19,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12768-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112768&GoCTemplateCulture=en-CA
"
12769,Progress Gas MWB 01-01-078-10W6,Canadian Natural Resources Limited,Calgary,2500 855 2 Street Southwest,N/A,Alberta,55.7251,-119.4,14.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12769-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112769&GoCTemplateCulture=en-CA
"
12771,Peavine 13-25-078-16W5,Baytex Energy Ltd,,,N/A,Alberta,55.79361,-116.35368,22.7,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12771-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112771&GoCTemplateCulture=en-CA
"
12772,Peavine 05-25-078-16W5,Baytex Energy Ltd,Calgary,2800 520 3rd,T2P 0R3,Alberta,55.79361,-116.35368,34.23,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12772-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112772&GoCTemplateCulture=en-CA
"
12773,Peavine Oil MWB 14-36-078-16W5,Baytex Energy Ltd,,,N/A,Alberta,55.80874,-116.34569,11.58,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12773-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112773&GoCTemplateCulture=en-CA
"
12774,ABCS0014441,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,54.67068,-119.21838,13.43,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12774-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112774&GoCTemplateCulture=en-CA
"
12775,BCBT0007778,Canadian Natural Resources Limited,Peace River,,N/A,British Columbia,56.23542,-122.09687,15.95,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12775-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112775&GoCTemplateCulture=en-CA
"
12776,ABBT0143321,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,54.6124,-118.211,18.3,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12776-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112776&GoCTemplateCulture=en-CA
"
12777,ABBT0137426,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,54.66339,-118.356,37.53,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12777-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112777&GoCTemplateCulture=en-CA
"
12778,ABGS0006487,Canadian Natural Resources Limited,Calgary,2100 855 2nd Street Southwest,T2P 4J8,Alberta,54.0629,-117.746,13.63,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12778-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112778&GoCTemplateCulture=en-CA
"
