main_id,facility_name,geometry,jung_priority_point,jung_priority_mean_50km,source_id
ON-MAIN-319e04a8,Onaping Depth,POINT (-81.38387799999998 46.63201899999998),33.443969025957294,33.935064935064936,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-a97821c0,Raglan,POINT (-73.674669 61.68717099999999),67.2840719650078,61.243589743589745,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-ed85ac94,Strathcona,POINT (-81.34269999999998 46.67339999999999),34.97562683153518,34.01234567901235,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-40ce0593,Sudbury,POINT (-80.7993 46.576299999999996),43.39898683680941,35.05,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-4724f4ba,Elk,POINT (-120.31486999999997 49.853799999999985),59.902234794589525,55.58227848101266,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-956d050a,Carmacks,POINT (-136.69999999999996 62.330000000000005),65.02660376589148,65.63636363636364,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-97ee890f,Seymour Lake,POINT (-88.44910000000002 50.409870000000005),24.295763072481023,23.026315789473685,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-27a90834,Makwa Mayville,POINT (-95.60953 50.62980000000002),23.022279641377057,21.151898734177216,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-fbe28fef,Kindersley Lithium,POINT (-109.19120556000001 51.73894139000001),65.06555051143253,65.7051282051282,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-b031959a,Turnagain,POINT (-128.86281999999997 58.47855999999998),39.20654128134561,43.164556962025316,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-b86f7d07,Casa Berardi,POINT (-79.231307 49.5719),13.041735641959564,14.4125,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-44857446,Keno Hill Silver District,POINT (-135.48329999999999 63.91669999999995),62.920076518772255,61.52564102564103,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-c3105f43,Rackla Gold,POINT (-134.41277999999994 64.19666999999994),57.4782543045238,59.278481012658226,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-fc6f1a44,Ivaco Rolling Mills,POINT (-74.704435 45.611899999999984),31.7312452638262,30.103896103896105,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-e2e67f8f,1901,POINT (-100.134 54.8557),23.254348003967465,19.620253164556964,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-599152a0,Copper Mountain,POINT (-120.53300000000002 49.33100000000002),48.98963924059159,38.5679012345679,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-be5b3dc8,Lalor Lake,POINT (-100.13333 54.866669999999985),22.873609344660412,19.78481012658228,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-da0b5c3d,New Britannia,POINT (-100.02400199999997 54.88634899999998),24.203841720130264,19.833333333333332,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-c0684566,Rail,POINT (-100.5916 54.74629999999998),27.203024383657343,18.746835443037973,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-0898e255,Stall Lake,POINT (-99.94509999999995 54.85692000000002),22.973763144667274,19.71794871794872,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-854abe09,Talbot,POINT (-99.63429999999998 54.113299999999995),25.89185384846668,21.329113924050635,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-1a82a1b7,Tower,POINT (-99.22839999999995 53.9623),23.36417150152527,21.073529411764707,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-b5b81ee3,Wim,POINT (-100.05247999999997 55.02135999999998),25.981868978800392,20.2375,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-02884fb5,Westwood-Doyon,POINT (-78.50199999999998 48.25599999999998),24.10940242793496,22.141025641025642,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-a3c56a83,Lac des Iles,POINT (-89.61049999999996 49.169099999999986),36.465927288660446,32.48717948717949,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-3f490561,Mount Polley,POINT (-121.63393100000002 52.54495899999999),33.58275995320218,40.25974025974026,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-586679b9,Crater Lake,POINT (-63.8991 55.35025000000002),35.287257897537074,33.8875,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-dd723db4,Carol Lake,POINT (-66.936774 53.03975500000001),26.90855250927946,23.55128205128205,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-7001a391,McCreedy West,POINT (-81.39893999999998 46.638059),33.14233695633108,34.0,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-9a34108c,Victoria,POINT (-81.38332999999999 46.41666999999999),34.96808512014548,30.625,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-6bd6cc80,Kingston Operation,POINT (-76.5121 44.261499999999984),35.502061206811405,33.0,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-a832fb0a,East Wekusko - Snow Lake,POINT (-99.77142999999998 54.78533999999999),23.07051279946351,19.233766233766232,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-12730593,Kutcho,POINT (-128.3873599999999 58.20995999999999),46.179395670399515,43.7,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-575c5e66,Ontario Spoke,POINT (-76.5 44.233334000000006),35.27360198291371,32.93421052631579,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-6b998583,Markham lithium reprocessing facility,POINT (-79.3415 43.833099999999995),55.43612259468308,46.355932203389834,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-0414a373,Lithion St-Bruno,POINT (-73.34999799999999 45.533333),33.14131219283988,34.0253164556962,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-35d0dc71,Boardwalk,POINT (-117.16342700000003 54.94679200000001),43.17946239624635,37.5125,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-a2c6775d,La Loutre,POINT (-74.99713999999999 46.03655999999999),23.981476548769805,22.9625,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-b1d981ca,Crean Hill,POINT (-81.36166999999999 46.42472),35.48522719616513,30.833333333333332,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-54b7e152,Shakespeare,POINT (-81.85944 46.33416999999999),32.82587719433525,28.0,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-aa793d35,Dumont Nickel,POINT (-78.44250000000001 48.64667000000001),25.25822125612879,23.0,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-649d2873,Niobec Converter,POINT (-71.158168 48.53173799999999),28.736913739746186,24.558441558441558,https://doi.org/10.5281/zenodo.5006332
