tech_attr_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,method,unit,value,comment,source,source_id
TA-ed23117f-2023-1,2023,Site-specific,Canada,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,CMP-fa032e20,mining,"Open-pit, concentrator","Copper, gold, silver",Copper,Crude ore,Head grade,Reported,%,0.18,,Data.xlsx,SRC_CenterraGoldInc_Data
TA-ed23117f-2023-2,2023,Site-specific,Canada,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,CMP-fa032e21,mining,"Open-pit, concentrator","Copper, gold, silver",Copper,Crude ore,Recovery rate,Reported,%,77.6,,Data.xlsx,SRC_CenterraGoldInc_Data
TA-ed23117f-2023-3,2023,Site-specific,Canada,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,CMP-fa032e22,mining,"Open-pit, concentrator","Copper, gold, silver",Gold,Crude ore,Head grade,Reported,g/t,0.36,,Data.xlsx,SRC_CenterraGoldInc_Data
TA-ed23117f-2023-4,2023,Site-specific,Canada,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,CMP-fa032e23,mining,"Open-pit, concentrator","Copper, gold, silver",Gold,Crude ore,Recovery rate,Reported,%,64.0,,Data.xlsx,SRC_CenterraGoldInc_Data
TA-089f3c60-2022-1,2022,Site-specific,Canada,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,Usable ore,Concentrate grade,Reported,%,0.662,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
TA-f9e41c2a-2023-1,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Gold,Crude ore,Head grade,Reported,g/t,6.76,,Data.xlsx,SRC_EldoradoGold_Data
TA-f9e41c2a-2023-2,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,CMP-64d60fd7,mining,"Underground, concentrator",Gold,Gold,Crude ore,Recovery rate,Reported,%,0.971,,Data.xlsx,SRC_EldoradoGold_Data
TA-4724f4ba-2024-1,2024,Site-specific,Canada,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,CMP-d726df1c,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,g/t,4.26,,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com,SRC_GoldMountainMiningCorp_gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt
TA-4724f4ba-2024-2,2024,Site-specific,Canada,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,CMP-d726df1c,mining,"Underground, concentrator","Gold, silver",Gold,Total extraction,Strip ratio,Reported,waste/ore,47.7,,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com,SRC_GoldMountainMiningCorp_gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt
TA-599152a0-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Copper,Crude ore,Head grade,Reported,%,0.35,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Copper,Crude ore,Recovery rate,Reported,%,79.7,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Copper,Usable ore,Concentrate grade,Reported,% Cu,23.1,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Gold,Crude ore,Head grade,Reported,g/t,0.07,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-5,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Gold,Crude ore,Recovery rate,Reported,%,55.9,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-6,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Ore,Total extraction,Strip ratio,Reported,waste/ore,3.82,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-7,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Silver,Crude ore,Head grade,Reported,g/t,1.36,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-599152a0-2023-8,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Silver,Crude ore,Recovery rate,Reported,%,73.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,Lalor Lake,MB-MAIN-be5b3dc8,,CMP-12afc634,mining,Concentrator,"Gold, zinc, copper, silver",Copper,Crude ore,Ore grade,Reported,%,0.86,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,Lalor Lake,MB-MAIN-be5b3dc8,,CMP-12afc634,mining,Concentrator,"Gold, zinc, copper, silver",Gold,Crude ore,Ore grade,Reported,g/t,4.74,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,Lalor Lake,MB-MAIN-be5b3dc8,,CMP-12afc634,mining,Concentrator,"Gold, zinc, copper, silver",Silver,Crude ore,Ore grade,Reported,g/t,24.51,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-be5b3dc8-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,Lalor Lake,MB-MAIN-be5b3dc8,,CMP-12afc634,mining,Concentrator,"Gold, zinc, copper, silver",Zinc,Crude ore,Ore grade,Reported,%,3.0,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Copper,Crude ore,Head grade,Reported,%,1.03,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Copper,Crude ore,Recovery rate,Reported,%,93.3,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Copper,Usable ore,Concentrate grade,Reported,% Cu,15.44,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Gold,Crude ore,Head grade,Reported,g/t,6.76,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-5,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Gold,Crude ore,Recovery rate,Reported,%,88.6,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-6,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Silver,Crude ore,Head grade,Reported,%,25.11,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-7,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Silver,Crude ore,Recovery rate,Reported,%,81.5,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-0898e255-2023-8,2023,Site-specific,Canada,Hudbay Minerals Inc,New Britannia,MB-MAIN-0898e255,,CMP-12afc634,mining,"Open-pit, concentrator","Gold, copper",Zinc,Crude ore,Head grade,Reported,%,0.84,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Copper,Usable ore,Concentrate grade,Reported,% Cu,20.11,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Copper,Crude ore,Head grade,Reported,%,0.74,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Copper,Crude ore,Recovery rate,Reported,%,90.4,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Gold,Crude ore,Head grade,Reported,g/t,3.45,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-5,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Gold,Crude ore,Recovery rate,Reported,%,64.8,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-6,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Silver,Crude ore,Head grade,Reported,g/t,24.19,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-7,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Silver,Crude ore,Recovery rate,Reported,%,61.4,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-8,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Zinc,Usable ore,Concentrate grade,Reported,% Zn,51.84,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-9,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Zinc,Crude ore,Head grade,Reported,%,4.36,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-da0b5c3d-2023-10,2023,Site-specific,Canada,Hudbay Minerals Inc,Stall Lake,MB-MAIN-da0b5c3d,,CMP-12afc634,mining,Underground,"Gold, zinc",Zinc,Crude ore,Recovery rate,Reported,%,82.2,,MDA25,SRC_HudbayMineralsInc_MDA25
TA-02884fb5-2023-1,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Head grade,Reported,g/t,3.03,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data
TA-02884fb5-2023-2,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Ore grade,Reported,g/t,3.19,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data
TA-02884fb5-2023-3,2023,Site-specific,Canada,IAMGOLD Corporation,Westwood-Doyon,QC-MAIN-02884fb5,,CMP-3d0a95b7,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Recovery rate,Reported,%,93.0,,operational_data.xlsx,SRC_IAMGOLDCorporation_operational_data
TA-a3c56a83-2023-1,2023,Site-specific,Canada,Impala Canada Ltd,Lac des Iles,ON-MAIN-a3c56a83,,CMP-967076a1,mining,"Open-pit, underground, concentrator","Platinum group metals, gold, nickel, copper, cobalt",PGM,Crude ore,Head grade,Reported,g/t,3.88,,FY2024,SRC_ImpalaCanadaLtd_FY2024
TA-3f490561-2023-1,2023,Site-specific,Canada,Imperial Metals Corporation,Mount Polley,BC-MAIN-3f490561,,CMP-0dfcd91e,mining,"Open-pit, concentrator","Gold, copper, silver",Copper,Crude ore,Ore grade,Reported,%,0.287,,2024-Q4-MDA,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-3f490561-2023-2,2023,Site-specific,Canada,Imperial Metals Corporation,Mount Polley,BC-MAIN-3f490561,,CMP-0dfcd91e,mining,"Open-pit, concentrator","Gold, copper, silver",Copper,Crude ore,Recovery rate,Reported,%,80.0,,2024-Q4-MDA,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-3f490561-2023-3,2023,Site-specific,Canada,Imperial Metals Corporation,Mount Polley,BC-MAIN-3f490561,,CMP-0dfcd91e,mining,"Open-pit, concentrator","Gold, copper, silver",Gold,Crude ore,Ore grade,Reported,g/t,0.311,,2024-Q4-MDA,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-3f490561-2023-4,2023,Site-specific,Canada,Imperial Metals Corporation,Mount Polley,BC-MAIN-3f490561,,CMP-0dfcd91e,mining,"Open-pit, concentrator","Gold, copper, silver",Gold,Crude ore,Recovery rate,Reported,%,70.4,,2024-Q4-MDA,SRC_ImperialMetalsCorporation_2024-Q4-MDA
TA-7001a391-2023-1,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Cobalt,Crude ore,Head grade,Reported,%,0.01,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-2,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Copper,Crude ore,Head grade,Reported,%,1.59,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-3,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Gold,Crude ore,Head grade,Reported,g/t,0.41,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-4,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Nickel,Crude ore,Head grade,Reported,%,0.23,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-5,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Palladium,Crude ore,Head grade,Reported,g/t,1.34,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-6,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Platinum,Crude ore,Head grade,Reported,g/t,1.03,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-7001a391-2023-7,2023,Site-specific,Canada,KGHM Polska Miedź S.A.,McCreedy West,ON-MAIN-7001a391,,CMP-5f083f16,mining,Underground,"Copper, nickel, platinum group metals, gold, silver, cobalt",Silver,Crude ore,Head grade,Reported,g/t,14.05,,https://magnamining.com/about/mccreedy-west-project/,SRC_KGHMPolskaMiedźS.A._mccreedy-west-project
TA-4e0734b5-2023-1,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Gold,Crude ore,Head grade,Reported,g/t,2.84,,SEC_2024.pdf,SRC_McEwenMiningInc_SEC_2024
TA-4e0734b5-2023-2,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Gold,Crude ore,Ore grade,Reported,g/t,3.08,,SEC_2024.pdf,SRC_McEwenMiningInc_SEC_2024
TA-aa76f6f2-2023-1,2023,Site-specific,Canada,New Gold Inc,New Afton,BC-MAIN-aa76f6f2,,CMP-d94be190,mining,"Open-pit, underground, concentrator","Gold, copper, silver",Copper,Crude ore,Ore grade,Reported,%,0.77,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-2,2023,Site-specific,Canada,New Gold Inc,New Afton,BC-MAIN-aa76f6f2,,CMP-d94be190,mining,"Open-pit, underground, concentrator","Gold, copper, silver",Copper,Crude ore,Recovery rate,Reported,%,91.0,,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-3,2023,Site-specific,Canada,New Gold Inc,New Afton,BC-MAIN-aa76f6f2,,CMP-d94be190,mining,"Open-pit, underground, concentrator","Gold, copper, silver",Gold,Crude ore,Ore grade,Reported,g/t,0.72,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-aa76f6f2-2023-4,2023,Site-specific,Canada,New Gold Inc,New Afton,BC-MAIN-aa76f6f2,,CMP-d94be190,mining,"Open-pit, underground, concentrator","Gold, copper, silver",Gold,Crude ore,Recovery rate,Reported,%,90.0,,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-0aadf28f-2023-1,2023,Site-specific,Canada,New Gold Inc,Rainy River,ON-MAIN-0aadf28f,,CMP-d94be190,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,g/t,0.99,Assumed ore grade,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-0aadf28f-2023-2,2023,Site-specific,Canada,New Gold Inc,Rainy River,ON-MAIN-0aadf28f,,CMP-d94be190,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Recovery rate,Reported,%,91.0,,New_gold_production.xlsx,SRC_NewGoldInc_New_gold_production
TA-fefeaee4-2023-1,2023,Site-specific,Canada,Newmont Corporation,Brucejack,ON-MAIN-fefeaee4,,CMP-4a434d72,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Mill ore grade,Reported,g/t,5.685,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-fefeaee4-2023-2,2023,Site-specific,Canada,Newmont Corporation,Brucejack,ON-MAIN-fefeaee4,,CMP-4a434d72,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Mill recovery rate,Reported,%,96.0,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-538513cd-2023-1,2023,Site-specific,Canada,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill ore grade,Reported,g/t,4.785,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-538513cd-2023-2,2023,Site-specific,Canada,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill recovery rate,Reported,%,91.0,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-8eb8be0d-2023-1,2023,Site-specific,Canada,Newmont Corporation,Musselwhite,BC-MAIN-8eb8be0d,,CMP-4a434d72,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill ore grade,Reported,g/t,5.701,,Operating_statistics_2024,SRC_NewmontCorporation_Operating_statistics_2024
TA-8eb8be0d-2023-2,2023,Site-specific,Canada,Newmont Corporation,Musselwhite,BC-MAIN-8eb8be0d,,CMP-4a434d72,mining,Concentrator,"Gold, silver",Ore,Crude ore,Mill recovery rate,Reported,%,95.7,,Operating_statistics_2025,SRC_NewmontCorporation_Operating_statistics_2025
TA-GRP-0d911886-2023-1,2023,Facility-group,Canada,Newmont Corporation,Porcupine,,GRP-0d911886,CMP-4a434d72,mining,x,Gold,Gold,Crude ore,Mill ore grade,Reported,g/t,3.015,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-GRP-0d911886-2023-2,2023,Facility-group,Canada,Newmont Corporation,Porcupine,,GRP-0d911886,CMP-4a434d72,mining,x,Gold,Gold,Crude ore,Mill recovery rate,Reported,%,91.4,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-857b7b89-2023-1,2023,Site-specific,Canada,Newmont Corporation,Red Chris,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Open-pit, concentrator","Gold, copper, silver",Copper,Crude ore,Mill ore grade,Reported,%,0.4,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-857b7b89-2023-2,2023,Site-specific,Canada,Newmont Corporation,Red Chris,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Open-pit, concentrator","Gold, copper, silver",Copper,Crude ore,Mill recovery rate,Reported,%,81.2,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-857b7b89-2023-3,2023,Site-specific,Canada,Newmont Corporation,Red Chris,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Open-pit, concentrator","Gold, copper, silver",Gold,Crude ore,Mill ore grade,Reported,g/t,0.276,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-857b7b89-2023-4,2023,Site-specific,Canada,Newmont Corporation,Red Chris,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Open-pit, concentrator","Gold, copper, silver",Gold,Crude ore,Mill recovery rate,Reported,%,54.2,,Operating_statistics_2023,SRC_NewmontCorporation_Operating_statistics_2023
TA-GRP-147b3123-2023-1,2023,Facility-group,Canada,Pan American Silver Corp.,Timmins Operation,,GRP-147b3123,CMP-48a36546,x,x,Gold,Gold,Crude ore,Ore grade,Reported,g/t,2.7,Assumed ore grade,Financial_results,SRC_PanAmericanSilverCorp._Financial_results
