technosphere_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,flow_type,subflow_type,unit,value,comment,source,source_id
TECH-e7e6a960-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Energy,Diesel,GJ,3947008.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-e7e6a960-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Energy,Electricity consumption,kWh,830958937.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-e7e6a960-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Energy,Explosives,GJ,65074.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-e7e6a960-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Energy,Light Fuel & Gasoline,GJ,71904.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-e7e6a960-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Energy,Propane,GJ,182468.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-9de9bb0d-2023-1,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Diesel,kl,2829.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-9de9bb0d-2023-2,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Electricity consumption|Generated on-site,MWh,34190.619999999995,Given in MW in the Excel file but does not make sense,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-9de9bb0d-2023-3,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Electricity consumption|Grid electricity,MWh,38555.380000000005,Given in MW in the Excel file but does not make sense,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-9de9bb0d-2023-4,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Explosives,t,1211.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-9de9bb0d-2023-5,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Gasoline,kl,369.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-9de9bb0d-2023-6,2023,Site-specific,Wesdome Gold Mines Ltd.,Eagle River,QC-MAIN-9de9bb0d,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Energy,Propane,kl,2528.0,,ESG_data_2023.xlsx,SRC_WesdomeGoldMinesLtd._ESG_data_2023
TECH-538513cd-2023-1,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Aviation fuel,GJ,21662.09888,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-2,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Cement,t,27374.0,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-3,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Diesel,GJ,385327.7974,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-4,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Electricity consumption,GJ,892229.95044,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-5,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Electricity consumption|Generated on-site,GJ,3531.1068,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-6,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Gasoline,GJ,10018.1179,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-7,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Grinding media,t,3039.9,"Explosives, treated as energy consumption",Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-8,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Lime,t,2229.0,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-9,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Lubricants,kl,380.687,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-10,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Nitric acid (HNO3),l,26575.0,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-11,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Energy,Propane,GJ,142393.17415,,2023-Performance-data.xlsx,SRC_NewmontCorporation_2023-Performance-data
TECH-538513cd-2023-12,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Sodium cyanide (NaCN),t,838.8,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-13,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Sulfuric acid (H2SO4),l,73.96,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
TECH-538513cd-2023-14,2023,Site-specific,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Material use,Tires,t,241.250566996281,,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx,SRC_NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked
