main_id,facility_name,longitude,latitude,geometry,peatland_presence,source_id
ON-MAIN-46f71d5b,Separation Rapids,-94.58258,50.266,POINT (-94.58258 50.266),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NU-MAIN-5154702a,Mary River,-78.556869,71.340446,POINT (-78.556869 71.340446),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-6e9be24e,Hemlo (Williams),-85.91598,48.695726,POINT (-85.91598 48.695726),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-8434dce0,Baymag,-115.210061,51.060022,POINT (-115.210061 51.060022),No data,https://greifswaldmoor.de/global-peatland-database-en.html
YT-MAIN-2cc9bb06,Kudz Ze Kayah,-130.59894,61.47108,POINT (-130.59894 61.47108),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-895cb178,Buchans River,-56.855965,48.829018,POINT (-56.855965 48.829018),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
NT-MAIN-6c1d6ee6,Ekati,-110.618,64.715,POINT (-110.618 64.715),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NB-MAIN-0c5b40d8,Nash Creek,-66.09771,47.88939,POINT (-66.09771 47.88939),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-484e4fa3,Blind River,-83.017246,46.180896,POINT (-83.017246 46.180896),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-91cf5448,Cigar Lake,-104.54123,58.06819,POINT (-104.54123 58.06819),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-bb89158f,Key Lake,-105.647,57.207,POINT (-105.647 57.207),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-d3c471e8,McArthur River,-105.053,57.7637,POINT (-105.053 57.7637),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-237587f6,Port Hope,-78.2943,43.9429,POINT (-78.2943 43.9429),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-4c5c1179,Crawford,-81.37309,48.83972,POINT (-81.37309 48.83972),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
NB-MAIN-8e04eb21,Murray Brook,-66.43167,47.52528,POINT (-66.43167 47.52528),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-37e9571e,Thierry,-90.34694,51.49667,POINT (-90.34694 51.49667),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
NB-MAIN-3e7d42ac,Woodstock,-67.64,46.18,POINT (-67.64 46.18),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NU-MAIN-eae1621e,Ferguson Lake,-96.83306,62.87306,POINT (-96.83306 62.87306),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-5ce331b8,Nunavik Nickel,-74.1375,61.420856,POINT (-74.1375 61.420856),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-eba3e309,Golden Crown,-118.59,49.09,POINT (-118.59 49.09),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-e34feb4d,Kemess,-126.77117,57.05037,POINT (-126.77117 57.05037),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-ed23117f,Mount Milligan,-124.031,55.118,POINT (-124.031 55.118),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-089f3c60,Bloom Lake,-67.28,52.84,POINT (-67.28 52.84),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NL-MAIN-251d6364,Beaver Brook,-55.196,48.715909,POINT (-55.196 48.715909),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-be399420,Thunder Bay North,-88.931,48.79,POINT (-88.931 48.79),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-3330383b,Eldor (Ashram),-68.40417,56.94583,POINT (-68.40417 56.94583),No data,https://greifswaldmoor.de/global-peatland-database-en.html
MB-MAIN-6fca9d6d,Lynn Lake,-101.03486,56.85217,POINT (-101.03486 56.85217),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-d4e2812a,Rose,-76.172,52.022485,POINT (-76.172 52.022485),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-9a0307f6,SBH Black Shale,-111.90375,57.68711,POINT (-111.90375 57.68711),peat in soil mosaic,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-715d4318,Horizon,-73.450825,45.57462,POINT (-73.450825 45.57462),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NT-MAIN-94e652a5,Gahcho Kué,-109.21194,63.44528,POINT (-109.21194 63.44528),No data,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-382acb18,Wicheeda,-122.09912,54.53141,POINT (-122.09912 54.53141),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-4aef3cb2,Waterbury,-104.03032,58.3478,POINT (-104.03032 58.3478),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-95ec2625,Wheeler River,-105.38137,57.50888,POINT (-105.38137 57.50888),No data,https://greifswaldmoor.de/global-peatland-database-en.html
