row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodity,reserves_resources,reserves_resources_type,method,ore,ore_unit,grade,grade_unit,metal_content,metal_content_unit,norm,recovery_rate,comment,source,source_id
RES-730aefe3-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,"Gold, silver",Resources,Indicated,reported,3144,kt,7.05,g/t,712.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-730aefe3-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,"Gold, silver",Resources,Inferred,reported,5524,kt,7.44,g/t,1322.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-GRP-0a2c0d69-2024-1,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Reserves,Proven,reported,3355,kt,1.86,g/t,200.0,koz,,90.7,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-GRP-0a2c0d69-2024-2,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Reserves,Probable,reported,11516,kt,3.8,g/t,1408.0,koz,,90.7,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-GRP-0a2c0d69-2024-3,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Resources,Indicated,reported,9915,kt,4.01,g/t,1277.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-GRP-0a2c0d69-2024-4,2024,Facility-group,Agnico Eagle Mines Limited,Meadowbank,,GRP-0a2c0d69,mining,"Open-pit, underground, concentrator",Gold,Resources,Inferred,reported,3960,kt,4.65,g/t,592.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator",Gold,Reserves,Proven,reported,1990,kt,6.37,g/t,407.0,koz,,96.0,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator",Gold,Reserves,Probable ,reported,17798,kt,5.17,g/t,2958.0,koz,,96.0,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator",Gold,Resources,Measured,reported,525,kt,4.53,g/t,76.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator",Gold,Resources,Indicated,reported,13416,kt,3.8,g/t,1638.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-aeafbb59-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator",Gold,Resources,Inferred,reported,11696,kt,5.92,g/t,2225.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-7607a50e-2024-1,2024,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,mining,"Underground, concentrator",Gold,Reserves,Proven & Probable,reported,6232,kt,11.4,g/t,2285.0,koz,,,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
RES-7607a50e-2024-2,2024,Site-specific,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,mining,"Underground, concentrator",Gold,Resources,Measured & Indicated,reported,2113,kt,8.76,g/t,601.0,koz,,,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
RES-687b8c8d-2024-1,2024,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,mining,"Underground, concentrator",Gold,Reserves,Proven & Probable,reported,41756,kt,2.26,g/t,3030.0,koz,,,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
RES-687b8c8d-2024-2,2024,Site-specific,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,mining,"Underground, concentrator",Gold,Resources,Measured & Indicated,reported,12825,kt,2.87,g/t,1186.0,koz,,,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
RES-UNKNOWN-2024-1,2024,Facility-group,ArcelorMittal,AMCC,,,mining,,Iron,Reserves,Proven,reported,1580,Mt,29.1,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,SRC_ArcelorMittal_4q24-analyst-model-with-factbook-app
RES-UNKNOWN-2024-2,2024,Facility-group,ArcelorMittal,AMCC,,,mining,,Iron,Reserves,Probable,reported,155,Mt,28.8,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,SRC_ArcelorMittal_4q24-analyst-model-with-factbook-app
RES-UNKNOWN-2024-3,2024,Facility-group,ArcelorMittal,AMCC,,,mining,,Iron,Resources,Measured,reported,1582,Mt,27.1,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,SRC_ArcelorMittal_4q24-analyst-model-with-factbook-app
RES-UNKNOWN-2024-4,2024,Facility-group,ArcelorMittal,AMCC,,,mining,,Iron,Resources,Indicated,reported,1598,Mt,28.9,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,SRC_ArcelorMittal_4q24-analyst-model-with-factbook-app
RES-UNKNOWN-2024-5,2024,Facility-group,ArcelorMittal,AMCC,,,mining,,Iron,Resources,Inferred,reported,1642,Mt,27.7,% Fe,,,,,,4q24-analyst-model-with-factbook-app.xlsx,SRC_ArcelorMittal_4q24-analyst-model-with-factbook-app
RES-5154702a-2023-1,2023,Site-specific,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,,mining,Open-pit,Iron,Reserves,Proven+Probable,reported,663000,Mt,,,,,,,Reported by Arcelor Mittal,4q24-analyst-model-with-factbook-app.xlsx,SRC_BaffinlandIronMinesCorporation_4q24-analyst-model-with-factbook-app
RES-5154702a-2023-2,2023,Site-specific,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,,mining,Open-pit,Iron,Resources,Inferred+Indicated+Measured,reported,1004000,Mt,,,,,,,Reported by Arcelor Mittal,4q24-analyst-model-with-factbook-app.xlsx,SRC_BaffinlandIronMinesCorporation_4q24-analyst-model-with-factbook-app
RES-6e9be24e-2023-1,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Gold,Reserves,Proven,reported,0.29,Mt,3.84,g/t,0.036,Moz,,,,Reserves_2024,SRC_BarrickGoldCorporation_Reserves_2024
RES-6e9be24e-2023-2,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Gold,Reserves,Probable,reported,31,Mt,1.6,g/t,1.6,Moz,,,,Reserves_2024.pdf,SRC_BarrickGoldCorporation_Reserves_2024
RES-6e9be24e-2023-3,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Gold,Resources,Measured,reported,3.9,Mt,4.37,g/t,0.55,Moz,,,,Reserves_2024.pdf,SRC_BarrickGoldCorporation_Reserves_2024
RES-6e9be24e-2023-4,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Gold,Resources,Indicated,reported,60,Mt,1.49,g/t,2.9,Moz,,,,Reserves_2024.pdf,SRC_BarrickGoldCorporation_Reserves_2024
RES-6e9be24e-2023-5,2023,Site-specific,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Gold,Resources,Inferred,reported,8.5,Mt,2.3,g/t,0.62,Moz,,,,Reserves_2024.pdf,SRC_BarrickGoldCorporation_Reserves_2024
RES-6c1d6ee6-2024-1,2024,Site-specific,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,mining,"Underground, plant",Diamonds,Reserves,Probable,reported,,Mt,,c/t,,Mct,,,,2024-Annual-Mineral-Resouces-and-Ore-Reserves-.pdf,SRC_BurgundyDiamondMines_2024-Annual-Mineral-Resouces-and-Ore-Reserves-
RES-91cf5448-2024-1,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,Uranium,Reserves,Proven,reported,322,kt,16.68,% U3O8,118.4,Mlbs,,98.7,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-91cf5448-2024-2,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,Uranium,Reserves,Probable,reported,229.4,kt,14.73,% U3O8,74.5,Mlbs,,98.7,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-91cf5448-2024-3,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,Uranium,Resources,Measured,reported,75.5,kt,4.88,% U3O8,8.1,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-91cf5448-2024-4,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,Uranium,Resources,Indicated,reported,141.3,kt,4.95,% U3O8,15.4,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-91cf5448-2024-5,2024,Site-specific,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,Uranium,Resources,Inferred,reported,163.4,kt,5.55,% U3O8,20.0,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-d3c471e8-2024-1,2024,Site-specific,Cameco Corporation,Key Lake,SK-MAIN-d3c471e8,,mining,Concentrator,Uranium,Reserves,Proven,reported,61.1,kt,0.52,% U3O8,0.7,Mlbs,,95.0,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-bb89158f-2024-1,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,,mining,Underground,Uranium,Reserves,Proven,reported,1970.3,kt,6.81,% U3O8,295.8,Mlbs,,99.2,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-bb89158f-2024-2,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,,mining,Underground,Uranium,Reserves,Probable,reported,520.4,kt,5.56,% U3O8,63.7,Mlbs,,99.2,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-bb89158f-2024-3,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,,mining,Underground,Uranium,Resources,Measured,reported,71.8,kt,2.28,% U3O8,3.6,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-bb89158f-2024-4,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,,mining,Underground,Uranium,Resources,Indicated,reported,60.3,kt,2.31,% U3O8,3.1,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-bb89158f-2024-5,2024,Site-specific,Cameco Corporation,McArthur River,SK-MAIN-bb89158f,,mining,Underground,Uranium,Resources,Inferred,reported,36.4,kt,2.95,% U3O8,2.4,Mlbs,,,,Reserves_2024,SRC_CamecoCorporation_Reserves_2024
RES-ed23117f-2024-1,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Gold,Reserves,Proven,reported,187961,kt,0.34,g/t,2056.0,oz,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-2,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Gold,Reserves,Probable,reported,76551,kt,0.31,g/t,770.0,oz,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-3,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Copper,Reserves,Proven,reported,-,kt,0.19,%,808.0,Mlbs,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-4,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Copper,Reserves,Probable,reported,-,kt,0.2,%,342.0,Mlbs,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-5,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Other metals,Reserves,Proven,reported,187961,kt,,,,,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-6,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Other metals,Reserves,Probable,reported,76551,kt,,,,,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-7,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Gold,Resources,Measured,reported,91827,kt,0.25,g/t,743.0,koz,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-8,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Gold,Resources,Indicated,reported,92144,kt,0.28,g/t,824.0,koz,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-9,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Gold,Resources,Inferred,reported,27924,kt,0.44,g/t,395.0,koz,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-10,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Other metals,Resources,Measured,reported,91827,kt,,,,,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-11,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Other metals,Resources,Indicated,reported,92144,kt,,,,,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-12,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Other metals,Resources,Inferred,reported,27924,kt,,,,,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-13,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Copper,Resources,Measured,reported,-,kt,0.19,%,384.0,Mlbs,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-14,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Copper,Resources,Indicated,reported,-,kt,0.17,%,348.0,Mlbs,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-ed23117f-2024-15,2024,Site-specific,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Copper,Resources,Inferred,reported,-,kt,0.12,%,74.0,Mlbs,,,,Reserves_2024.pdf,SRC_CenterraGoldInc_Reserves_2024
RES-089f3c60-2023-1,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Iron,Resources,Measured,reported,186.7,Mt,30.4,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-2,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Calcium oxide,Resources,Measured,reported,186.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-3,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Magnesium oxide,Resources,Measured,reported,186.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-4,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Aluminum oxide,Resources,Measured,reported,186.7,Mt,0.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-5,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Iron,Resources,Indicated,reported,1065.5,Mt,28.4,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-6,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Calcium oxide,Resources,Indicated,reported,1065.5,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-7,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Magnesium oxide,Resources,Indicated,reported,1065.5,Mt,1.2,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-8,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Aluminum oxide,Resources,Indicated,reported,1065.5,Mt,0.5,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-9,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Iron,Resources,Inferred,reported,246.3,Mt,28.7,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-10,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Calcium oxide,Resources,Inferred,reported,246.3,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-11,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Magnesium oxide,Resources,Inferred,reported,246.3,Mt,1.2,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-12,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Aluminum oxide,Resources,Inferred,reported,246.3,Mt,0.5,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-13,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Iron,Reserves,Proven,reported,183.7,Mt,30,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
RES-089f3c60-2023-14,2023,Site-specific,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Calcium oxide,Reserves,Proven,reported,183.7,Mt,1.3,%,,,,,,TR_Bloom_Lake_2023.pdf,SRC_ChampionIronLtd_TR_Bloom_Lake_2023
