row_id,main_id,name,year,buffer_size,total_population,geometry,source_id
population-084bd95c-2030-1,QC-MAIN-084bd95c,Mont-Wright,2030,10km,0.0,POINT (-67.330058 52.757053),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-084bd95c-2030-2,QC-MAIN-084bd95c,Mont-Wright,2030,50km,13136.202551873721,POINT (-67.330058 52.757053),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1eee4ace-2025-1,QC-MAIN-1eee4ace,Contrecœur East,2025,10km,20686.72554130921,POINT (-73.249081 45.837723),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1eee4ace-2025-2,QC-MAIN-1eee4ace,Contrecœur East,2025,50km,2418287.322966183,POINT (-73.249081 45.837723),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1eee4ace-2030-1,QC-MAIN-1eee4ace,Contrecœur East,2030,10km,21815.713711209766,POINT (-73.249081 45.837723),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1eee4ace-2030-2,QC-MAIN-1eee4ace,Contrecœur East,2030,50km,2542139.8695108118,POINT (-73.249081 45.837723),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-844dcc47-2025-1,QC-MAIN-844dcc47,Contrecœur West,2025,10km,23152.453500922304,POINT (-73.263268 45.819938),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-844dcc47-2025-2,QC-MAIN-844dcc47,Contrecœur West,2025,50km,2993006.280913758,POINT (-73.263268 45.819938),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-844dcc47-2030-1,QC-MAIN-844dcc47,Contrecœur West,2030,10km,24439.726735101067,POINT (-73.263268 45.819938),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-844dcc47-2030-2,QC-MAIN-844dcc47,Contrecœur West,2030,50km,3128592.425654672,POINT (-73.263268 45.819938),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e25eed27-2025-1,QC-MAIN-e25eed27,Port-Cartier,2025,10km,0.0,POINT (-66.797531 50.03213),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e25eed27-2025-2,QC-MAIN-e25eed27,Port-Cartier,2025,50km,0.0,POINT (-66.797531 50.03213),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e25eed27-2030-1,QC-MAIN-e25eed27,Port-Cartier,2030,10km,0.0,POINT (-66.797531 50.03213),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e25eed27-2030-2,QC-MAIN-e25eed27,Port-Cartier,2030,50km,0.0,POINT (-66.797531 50.03213),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
