archetype_id,TR_available,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_method,mining_method_mdo,mining_submethod,commodities_nrcan,deposit_mdo,ore_type,processing_method,source,source_id,deposit_cmmi
ARCH-a97821c0-1,,Glencore Canada Corporation,Kidd Creek,QC-MAIN-a97821c0,,mining,Underground,Longhole open stoping,Underground – Stoping – Long-Hole Stoping,"Copper, zinc, silver, selenium, indium",VMS,Sulfide,,https://miningdataonline.com/property/960/Ming-Mine.aspx,https://miningdataonline.com/property/960/Ming-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Volcanic basin hydrothermal;Volcanogenic massive sulfide (VMS);Bimodal-mafic VMS
ARCH-206041d1-1,,Glencore Canada Corporation,Fraser,ON-MAIN-206041d1,GRP-de097f20,mining,Underground,Cut & Fill;Blast Hole Stoping;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, cobalt, silver","Veing / narrow vein, Contact-metasomatic, Footwall hosted",Sulfide,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-ed85ac94-1,,Glencore Canada Corporation,Strathcona,ON-MAIN-ed85ac94,GRP-de097f20,mining,Concentrator,Cut & Fill;Blast Hole Stoping;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Veing / narrow vein, Contact-metasomatic, Footwall hosted",Oxide or Sulfide,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,"Magmatic hydrothermal;Epithermal;IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn"
ARCH-f8313ebd-1,,Glencore Canada Corporation,Raglan,ON-MAIN-f8313ebd,,mining,Concentrator,Cut & Fill;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, platinum group metals, copper, cobalt, gold, silver","Magmatic, Footwall hosted",Sulfide,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Komatiite;Komatiite Ni-Cu-PGE
ARCH-GRP-1437e854-1,,Glencore Canada Corporation,Sudbury INO,,GRP-1437e854,mining and manufacturing,"Underground, concentrator",Cut & Fill;Blast Hole Stoping;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, cobalt, silver","Vein / narrow vein, Contact-metasomatic, Footwall hosted",Sulfide,,https://miningdataonline.com/property/68/Raglan-Mine.aspx,https://miningdataonline.com/property/68/Raglan-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-4724f4ba-1,,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,mining,"Underground, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Gold, silver","Intrusion related, Vein / narrow vein",,,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-b86f7d07-1,Yes,Hecla Mining Company,Keno Hill Silver District,QC-MAIN-b86f7d07,,mining,"Open-pit, underground, concentrator",Mechanized Cut & Fill,Underground – Stoping – Cut-and-Fill Stoping,"Silver, zinc, lead","Hydrothermal, Vein / narrow vein",Sulfide,,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx,https://miningdataonline.com/property/3134/Elk-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic hydrothermal;Vein;Vein polymetallic
ARCH-44857446-1,Yes,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,mining,"Underground, concentrator",Truck & Shovel / Loader;Longhole stoping;Transverse stoping;Longitudinal stoping,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Gold, silver","Breccia pipe / Stockwork, Vein / narrow vein, Banded iron formation hosted",Sulfide,,https://miningdataonline.com/property/4563/Keno-Hill-Operation.aspx,https://miningdataonline.com/property/4563/Keno-Hill-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-599152a0-1,Yes,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,mining,Concentrator,"Open pit mining with blasting, loading, and hauling using shovels and 220-tonne haul trucks​",,"Copper, gold, silver","Alkalic porphyry copper–gold deposit (silica saturated), typical of BC's Cordillera deposits​",Sulfide,,https://miningdataonline.com/property/24/Casa-Berardi-Mine.aspx,https://miningdataonline.com/property/24/Casa-Berardi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-GRP-a13779f8-1,Yes,Hudbay Minerals Inc,Snow Lake,,GRP-a13779f8,mining,"Open-pit, underground, concentrator",Lalor: Cut and fill & Longhole open stoping;1901: Post-Pillar Mechanized Cut & Fill (PPMCAF) and Inclined Room & Pillar;WIM/3 Zone: Longhole retreat​,,"Gold, zinc, copper, silver","Volcanogenic Massive Sulphide (VMS) — Cu-Zn and Zn-Cu rich, and structurally controlled lode-gold vein-type for New Britannia and other gold zones",Sulfide,,https://miningdataonline.com/property/1/copper-mountain-mine.aspx,https://miningdataonline.com/property/1/copper-mountain-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
