main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owners,operators,operation_periods,company_URL,facility_URL,MDO_URL,source_id
MB-MAIN-0898e255,Stall Lake,GRP-a13779f8,Snow Lake,CMP-12afc634,Hudbay Minerals Inc,Snow Lake,Manitoba,active_facility,,,mining,Concentrator,Base metals and precious metals,"Gold, zinc",Hudbay Minerals Inc (100%),,,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/563/Manitoba-Snow-Lake-Operation.aspx,
MB-MAIN-0d5c2cae,Selkirk Division,,,CMP-a70130b4,Gerdau,,Manitoba,active_facility,,,manufacturing,,,,,,,https://www2.gerdau.com/,https://www2.gerdau.com/sites/gln_gerdau/files/downloadable_files/epd_gerdau_whitby_rebar.pdf,-,
MB-MAIN-1a82a1b7,Tower,,,CMP-12afc634,Hudbay Minerals Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, zinc, copper, silver",,,,https://hudbayminerals.com/canada/default.aspx,-,,
MB-MAIN-27a90834,Makwa Mayville,,,CMP-0b224204,Grid Metals Corp,,Manitoba,project_facility,Active,Advanced project,project,,,"Nickel, copper, gold, platinum, palladium, cobalt",,,,,,,
MB-MAIN-5d21dbd5,Monument Bay,,,CMP-6265c407,Agnico Eagle Mines Limited,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, tungsten",,,,https://agnicoeagle.com/Home/default.aspx,https://www.agnicoeagle.com/English/operations/operations/laronde/default.aspx,https://www.agnicoeagle.com/English/exploration/exploration-projects/Upper-Beaver/default.aspx,
MB-MAIN-6fca9d6d,Lynn Lake,,,CMP-3a4ccc7f,Alamos Gold Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Nickel, copper, cobalt",,,,https://corazon.com.au/,https://corazon.com.au/our-projects/lynn-lake-project/,https://miningdataonline.com/property/3240/Lynn-Lake-Project.aspx,
MB-MAIN-854abe09,Talbot,,,CMP-12afc634,Hudbay Minerals Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, zinc, copper, silver",,,,https://hudbayminerals.com/canada/default.aspx,-,,
MB-MAIN-915d9faa,Tanco,,,CMP-70e504c2,Sinomine Resource Grp Co. Ltd,Lac-du-Bonnet,Manitoba,active_facility,,,mining,"Underground, concentrator, plant",Base metals,"Cesium, lithium",Sinomine Resource Group Co Ltd (100%),Tantalum Mining Corporation of Canada Ltd,,https://tancomine.com/,https://tancomine.com/,https://miningdataonline.com/property/977/Tanco-Bernic-Lake-Mine.aspx,
MB-MAIN-a832fb0a,East Wekusko - Snow Lake,,,CMP-4fab35da,Kinross Gold Corporation,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, silver, copper, zinc",,,,,,,
MB-MAIN-b4ca1426,Manitoba Mill,,,CMP-a70130b4,Gerdau,,Manitoba,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Gerdau SA (98.2%),Gerdau,,https://www2.gerdau.com/,https://www.gem.wiki/Gerdau_Whitby_Steel_Mill,https://www.gem.wiki/Gerdau_Whitby_Steel_Mill,
MB-MAIN-b5b81ee3,Wim,,,CMP-12afc634,Hudbay Minerals Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, zinc, copper, silver",,,,https://hudbayminerals.com/canada/default.aspx,-,,
MB-MAIN-be5b3dc8,Lalor Lake,GRP-a13779f8,Snow Lake,CMP-12afc634,Hudbay Minerals Inc,Snow Lake,Manitoba,active_facility,,,mining,Underground,Base metals and precious metals,"Gold, zinc, copper, silver",Hudbay Minerals Inc (100%),,2013–open,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/563/Manitoba-Snow-Lake-Operation.aspx,
MB-MAIN-c0684566,Rail,,,CMP-12afc634,Hudbay Minerals Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Copper, gold, zinc, silver",,,,https://hudbayminerals.com/canada/default.aspx,-,,
MB-MAIN-da0b5c3d,New Britannia,GRP-a13779f8,Snow Lake,CMP-12afc634,Hudbay Minerals Inc,Snow Lake,Manitoba,active_facility,,,mining,Concentrator,Base metals and precious metals,"Gold, copper",Hudbay Minerals Inc (100%),,,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/563/Manitoba-Snow-Lake-Operation.aspx,
MB-MAIN-e0a6250e,Thompson (T-1 and T-3),,,CMP-9617aef4,Vale,Thompson,Manitoba,active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,"Nickel, cobalt, copper, platinum group metals, gold, silver",,,,https://vale.com/canada,https://vale.com/port-colborne,-,
MB-MAIN-e2e67f8f,1901,,,CMP-12afc634,Hudbay Minerals Inc,,Manitoba,project_facility,Active,Advanced project,project,,,"Gold, zinc, copper, silver",,,,https://hudbayminerals.com/canada/default.aspx,-,https://miningdataonline.com/property/563/Manitoba-Snow-Lake-Operation.aspx,
MB-MAIN-f7fde5b4,Minago,,,CMP-56a7f77c,Flying Nickel Mining Corp,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,,,,,,,
NB-MAIN-0c5b40d8,Nash Creek,,,CMP-336d5ebc,-,,New Brunswick,project_facility,Active,Advanced project,project,,,"Zinc, lead, silver",,,,,,,
NB-MAIN-3e7d42ac,Woodstock,,,CMP-336d5ebc,-,,New Brunswick,project_facility,Active,Advanced project,project,,,"Manganese, iron ore",,,,,,,
