DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,geometry
Makwa,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,50.4669999998,-95.433,Canada,,POINT (-95.4330000000499 50.466999999750215)
Nunavik,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.574,-73.2599999999,Canada,,POINT (-73.25999999990006 61.57400000000007)
Raglan,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,61.5930000002,-74.2910000002,Canada,,POINT (-74.29100000024977 61.593000000249845)
Shakespeare,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit,46.3500000001,-81.8330000002,Canada,,POINT (-81.8330000002498 46.35000000009995)
Sudbury Complex,Cobalt; Platinum-Group Elements,Magmatic Ni-Cu(-Co-PGE) sulfide; Sudbury,46.6329999998,-81.3830000002,Canada,,POINT (-81.38300000024975 46.63299999975027)
Thompson,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,53.7609999998,-98.8140000002,Canada,,POINT (-98.81400000019983 53.760999999750254)
Turnagain,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,58.4760000004,-128.828,Canada,,POINT (-128.82800000039964 58.47600000039978)
Voisey's Bay,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,45.4989999998,-73.57,Canada,,POINT (-73.56999999999994 45.498999999750254)
Wellgreen,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,60.7500000001,-139.502,Canada,,POINT (-139.50200000039968 60.75000000009999)
NICO,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,63.5480000003,-116.751,Canada,,POINT (-116.75099999975015 63.54800000029985)
Werner Lake,Cobalt,Metasedimentary-rock-hosted Co-Cu-Au,50.4690000002,-94.9709999998,Canada,,POINT (-94.97099999975018 50.46900000024988)
Chu Chu,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,51.3809999997,-120.062,Canada,,POINT (-120.06200000039968 51.38099999965033)
Soucy No. 1,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,58.3200000001,-69.8700000002,Canada,,POINT (-69.87000000019981 58.32000000009998)
Windy Craggy,Cobalt,Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide,59.7329999997,-137.733,Canada,,POINT (-137.7330000000499 59.7329999996503)
Cobalt-Gowganda,Cobalt,Polymetallic (Ag-Ni-Co-As-Bi),47.3959999997,-79.6859999999,Canada,,POINT (-79.68599999990005 47.39599999970028)
Fission (Richardson) mine,Fluorite,Carbonatite-Related F,45.0599999998,-78.1900000003,Canada,,POINT (-78.19000000029973 45.0599999998002)
St. Lawrence district,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,46.9159000002,-55.4072,Canada,,POINT (-55.40719999997998 46.915900000184934)
Betts Cove,Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",49.8833329996,-55.6333329996,Canada,,POINT (-55.633332999618176 49.88333299961829)
Britannia,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.6099999997,-123.141667,Canada,,POINT (-123.14166699993206 49.60999999970028)
Buchans,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.8249999997,-56.8583000001,Canada,,POINT (-56.85830000014482 48.824999999650345)
Caribou,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.5613300004,-66.29644,Canada,,POINT (-66.29644000000593 47.56133000037926)
Chester,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.1166300002,-66.2325499999,Canada,,POINT (-66.23254999988256 47.11663000017444)
Cirque,Gallium,Ga in Clastic-dominated Pb-Zn,57.509722222,-125.16,Canada,,POINT (-125.15999999960025 57.509722222003006)
Detour,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.8000000004,-78.9429800004,Canada,,POINT (-78.94298000042664 49.800000000399734)
Dy,Gallium,Ga in Clastic-dominated Pb-Zn,62.2300000002,-133.14,Canada,,POINT (-133.1400000001998 62.23000000019988)
East Sullivan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.3180900004,-79.2013999997,Canada,,POINT (-79.20139999971019 48.318090000353266)
Eclipse,Gallium,Ga in Mississippi Valley-type,75.5694444445,-96.1938888892,Canada,,POINT (-96.19388888916086 75.56944444450556)
Faro,Gallium,Ga in Clastic-dominated Pb-Zn,62.3566666667,-133.366944445,Canada,,POINT (-133.3669444446304 62.35666666673336)
Flin Flon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",54.7500000004,-102.0,Canada,,POINT (-102.0000000001998 54.75000000039978)
Fox,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.63537,-101.65235,Canada,,POINT (-101.65234999955283 56.635370000025546)
Gayna River,Gallium,Ga in Mississippi Valley-type,64.9333333338,-130.683333333,Canada,,POINT (-130.68333333346652 64.93333333376637)
Gays River,Gallium,Ga in Mississippi Valley-type,45.0286111108,-63.3388888888,Canada,,POINT (-63.33888888881114 45.028611110814154)
Giant,Gallium,Ga in Mississippi Valley-type,49.1666669996,-121.033333,Canada,,POINT (-121.03333300021774 49.166666999582446)
Grand-Calumet,Gallium,Ga in Clastic-dominated Pb-Zn,45.7005555558,-76.6777777778,Canada,,POINT (-76.67777777782214 45.700555555794324)
Grum,Gallium,Ga in Clastic-dominated Pb-Zn,62.2692600003,-133.224426,Canada,,POINT (-133.22442600035959 62.269260000348766)
H.B.,Gallium,Ga in Clastic-dominated Pb-Zn,49.1522219998,-117.198611,Canada,,POINT (-117.19861100019745 49.152221999845494)
Heath Steele B-1,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.2832599996,-66.0825700002,Canada,,POINT (-66.0825700002053 47.28325999964932)
Horne-Quemont,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.2499900003,-79.0164000003,Canada,,POINT (-79.01640000025975 48.2499900003383)
Howard's Pass,Gallium,Ga in Clastic-dominated Pb-Zn,62.5644444441,-129.527222222,Canada,,POINT (-129.52722222212782 62.56444444405588)
Jersey,Gallium,Ga in Clastic-dominated Pb-Zn,50.4898300004,-120.98126,Canada,,POINT (-120.9812600000489 50.48983000035429)
Kidd Creek,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.6900000001,-81.3666669998,Canada,,POINT (-81.36666699978218 48.690000000099985)
Kutcho Creek,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",58.1999999998,-128.366667,Canada,,POINT (-128.36666700028178 58.199999999800184)
Lake Monte,Gallium,Ga in Mississippi Valley-type,50.5171999999,-119.7999,Canada,,POINT (-119.7998999995853 50.51719999988012)
Monarch-Kicking Horse,Gallium,Ga in Mississippi Valley-type,51.4238888893,-116.447222222,Canada,,POINT (-116.44722222182804 51.423888889260866)
Myra Falls,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.5755560004,-125.595833,Canada,,POINT (-125.59583300009285 49.575556000409165)
Nancy Island,Gallium,Ga in Mississippi Valley-type,51.7999999002,-123.5499999,Canada,,POINT (-123.54999989957565 51.799999900175294)
Nanisivik,Gallium,Ga in Mississippi Valley-type,73.0616666664,-84.5083333331,Canada,,POINT (-84.50833333311681 73.06166666638359)
New Brunswick No. 12,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.478889,-65.8922219996,Canada,,POINT (-65.89222199964553 47.47888900002738)
Newfoundland Zinc,Gallium,Ga in Mississippi Valley-type,50.2799999998,-57.4699999998,Canada,,POINT (-57.46999999980011 50.279999999800225)
Pine Point,Gallium,Ga in Mississippi Valley-type,60.8322222224,-114.448888889,Canada,,POINT (-114.44888888901096 60.83222222237771)
Polaris,Gallium,Ga in Mississippi Valley-type,75.3877777777,-96.9311111114,Canada,,POINT (-96.93111111138865 75.3877777777223)
Reeves-MacDonald,Gallium,Ga in Clastic-dominated Pb-Zn,49.0302777777,-117.344166666,Canada,,POINT (-117.34416666635855 49.030277777697336)
Robb Lake,Gallium,Ga in Mississippi Valley-type,56.93,-123.713055555,Canada,,POINT (-123.71305555526965 56.930000000000064)
Ruby Lake,Gallium,Ga in Mississippi Valley-type,54.0999019891,-122.986344391,Canada,,POINT (-122.98634439058111 54.099901989085595)
Ruttan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.4750700002,-99.6377799998,Canada,,POINT (-99.63777999984706 56.47507000018044)
Silver Basin,Gallium,Ga in Mississippi Valley-type,63.9625,-135.1616667,Canada,,POINT (-135.1616667003579 63.96249999997508)
Sullivan,Gallium,Ga in Clastic-dominated Pb-Zn,49.7083333336,-116.005555556,Canada,,POINT (-116.00555555574425 49.70833333361651)
Swim,Gallium,Ga in Clastic-dominated Pb-Zn,62.2099999997,-133.03,Canada,,POINT (-133.02999999970018 62.2099999997003)
Vangorda,Gallium,Ga in Clastic-dominated Pb-Zn,62.2499999998,-133.18,Canada,,POINT (-133.18000000029974 62.249999999800195)
Walton,Gallium,Ga in Clastic-dominated Pb-Zn,45.2055555553,-64.0416666666,Canada,,POINT (-64.04166666658335 45.20555555534463)
Bisset Creek,Graphite,Crystalline Graphite,46.2311899998,-78.0666700002,Canada,,POINT (-78.06667000022031 46.231189999818696)
Coronation,Graphite,Crystalline Graphite,45.2892500002,-77.9416699996,Canada,,POINT (-77.94166999957076 45.289250000187394)
Graphite Lake-Ryerson-Todd area,Graphite,Crystalline Graphite,45.7297999997,-79.0777799997,Canada,,POINT (-79.07777999974718 45.72979999967032)
Kirkham-Portland-Timmins area,Graphite,Crystalline Graphite,44.5575799998,-76.57444,Canada,,POINT (-76.57444000000595 44.557579999817165)
Tagliamonte,Graphite,Crystalline Graphite,46.2311600002,-78.0666999998,Canada,,POINT (-78.06669999980511 46.2311600002339)
Graphex-Graphico-Orwell mines,Graphite,Crystalline Graphite,46.1431399998,-75.55472,Canada,,POINT (-75.55472000002794 46.14313999981118)
North American Mine,Graphite,Crystalline Graphite,45.5166499998,-75.54959,Canada,,POINT (-75.54958999997848 45.51664999979772)
St-Amime-Lac Des Iles,Graphite,Crystalline Graphite,46.2478599996,-75.5332999997,Canada,,POINT (-75.5332999996952 46.24785999963933)
Lac Knife,Graphite,Crystalline Graphite,52.5500000003,-61.1832999996,Canada,,POINT (-61.18329999959525 52.550000000299804)
Pollon Lake area,Graphite,Crystalline Graphite,56.38136,-103.125,Canada,,POINT (-103.12499999975017 56.381359999964104)
Little Nahanni,Lithium,Pegmatite,62.1999999999,-128.833,Canada,NWT,POINT (-128.83299999985007 62.199999999900115)
Favourable Lake,Lithium,Pegmatite,52.5983289996,-93.3787850004,Canada,Ontario,POINT (-93.3787850004274 52.598328999583714)
Whabouchi,Lithium,Pegmatite,51.6832520004,-75.8458299996,Canada,Quebec,POINT (-75.84582999955478 51.68325200037958)
Root,Lithium,Pegmatite,50.8000000002,-91.7000000001,Canada,Ontario,POINT (-91.70000000009986 50.80000000019993)
Greer,Lithium,Pegmatite,50.3439999996,-95.3169999999,Canada,Manitoba,POINT (-95.31699999985005 50.34399999960033)
Big Whopper,Lithium,Pegmatite,50.2500000004,-94.0599999997,Canada,Ontario,POINT (-94.05999999970021 50.25000000039978)
Gullwing Lake,Lithium,Pegmatite,49.8633299999,-92.5311099996,Canada,,POINT (-92.53110999962672 49.863329999879625)
Mavis,Lithium,Pegmatite,49.8213769996,-92.6563289996,Canada,Ontario,POINT (-92.65632899958365 49.82137699964886)
Lacorne,Lithium,Pegmatite,48.4108299999,-77.8081699999,Canada,Quebec,POINT (-77.8081699999455 48.41082999990465)
Brazil Lake,Lithium,Pegmatite,44.0091699996,-65.9966700004,Canada,Nova Scotia,POINT (-65.99667000042012 44.00916999959588)
Blue River,Niobium and Tantalum,Carbonatite,52.3166666668,-119.166666667,Canada,,POINT (-119.16666666703304 52.31666666683327)
Tanco,Niobium and Tantalum; Beryllium; Lithium,Be Type Rare-Metal Pegmatite; Li-Cs-Ta type pegmatite,50.4333333331,-95.4499999998,Canada,Manitoba,POINT (-95.44999999980013 50.43333333306691)
Niobec,Niobium and Tantalum,Carbonatite,48.5333333333,-71.1499999998,Canada,,POINT (-71.14999999980012 48.533333333266796)
Crevier,Niobium and Tantalum,Carbonatite,49.5000000001,-72.816666667,Canada,,POINT (-72.81666666703302 49.50000000009999)
Oka,Niobium and Tantalum,Carbonatite,45.504166667,-74.0222222221,Canada,,POINT (-74.02222222207786 45.504166666958156)
Wellgreen Intrusion,Platinum-Group Elements,Conduit,61.466,-139.521,Canada,,POINT (-139.52099999975013 61.466000000000065)
Bird River (Page Zone and Ore Fault Zone),Platinum-Group Elements,Contact,50.4819999999,-95.5069999997,Canada,,POINT (-95.50699999965025 50.481999999900154)
Great Lakes Nickel,Platinum-Group Elements,Contact,48.0790000003,-89.6249999998,Canada,,POINT (-89.62499999975017 48.079000000349765)
Lac des Iles,Platinum-Group Elements,Atypical; pipe-like ore bodies,49.1669999997,-89.6170000004,Canada,,POINT (-89.61700000044965 49.16699999965033)
Thunder Bay North Project,Platinum-Group Elements,Contact,48.7539999999,-88.9009999997,Canada,,POINT (-88.90099999965025 48.753999999900145)
Geordie Lake,Platinum-Group Elements,Contact,48.8179999997,-86.4850000004,Canada,,POINT (-86.48500000044965 48.817999999700305)
Marathon,Platinum-Group Elements,Contact,48.7929999998,-86.3159999996,Canada,,POINT (-86.31599999960025 48.792999999750236)
Eagle's Nest,Platinum-Group Elements,Conduit,52.7370000002,-86.3059999998,Canada,,POINT (-86.30599999980012 52.73700000024985)
River Valley,Platinum-Group Elements,Contact,46.6909999999,-80.259,Canada,,POINT (-80.25900000004992 46.69099999985019)
Ivakkak,Platinum-Group Elements,Komatiitic,61.4429999997,-77.1659999999,Canada,,POINT (-77.16599999990001 61.44299999965034)
Mequillon,Platinum-Group Elements,Komatiitic,61.5140000003,-73.7529999999,Canada,,POINT (-73.75299999985009 61.5140000002998)
Expo,Platinum-Group Elements,Komatiitic,61.5570000002,-73.4490000003,Canada,,POINT (-73.44900000034971 61.55700000024984)
Mesamax,Platinum-Group Elements,Komatiitic,61.5750000002,-73.257,Canada,,POINT (-73.25700000004991 61.57500000024987)
Eldor property,Rare-Earth Elements,Carbonatite,56.6000000003,-68.4167000002,Canada,Quebec,POINT (-68.4167000002048 56.600000000299815)
Lavergne-Springer property,Rare-Earth Elements,Carbonatite,46.4499999999,-79.9500000002,Canada,Ontario,POINT (-79.9500000001998 46.449999999900115)
Montviel project,Rare-Earth Elements,Carbonatite,49.8290000004,-76.5555999999,Canada,Quebec,POINT (-76.55559999994 49.829000000449696)
Clay-Howells project,Rare-Earth Elements,Peralkaline igneous,49.7399999998,-82.0759999998,Canada,Ontario,POINT (-82.0759999998001 49.739999999800204)
Foxtrot project,Rare-Earth Elements,Peralkaline igneous,52.3992999998,-55.8233999998,Canada,Labrador,POINT (-55.82339999981008 52.39929999979523)
Hoidas Lake deposit,Rare-Earth Elements,Peralkaline igneous,59.8000000002,-107.724,Canada,Saskatchewan,POINT (-107.7240000001998 59.80000000019993)
Kipawa,Rare-Earth Elements,Peralkaline igneous,46.8000000001,-78.5000000004,Canada,Quebec,POINT (-78.50000000039967 46.8000000001)
Two Tom,Rare-Earth Elements,Peralkaline igneous,54.2060000003,-62.1300000002,Canada,Labrador,POINT (-62.1300000001998 54.20600000029981)
Eco Ridge mine,Rare-Earth Elements,Polymetallic,46.3849999999,-82.5359999996,Canada,Ontario,POINT (-82.53599999960028 46.38499999985015)
Mount Pleasant,Tin,Hydrothermal,45.4333333332,-66.8166666664,Canada,New Brunswick Province,POINT (-66.81666666643349 45.43333333316684)
East Kemptville,Tin,Hydrothermal,44.1000000001,-65.683333333,Canada,Nova Scotia Province,POINT (-65.68333333296692 44.10000000009995)
Lac la Blache,Titanium,Magmatic deposits in igneous and related rocks,50.0666669996,-69.6333330004,Canada,,POINT (-69.63333300041762 50.066666999582424)
Lac du Pin Rouge,Titanium,Magmatic deposits in igneous and related rocks,48.966667,-74.0500000003,Canada,,POINT (-74.05000000029975 48.966666999982124)
St. Urbain complex,Titanium,Magmatic deposits in igneous and related rocks,47.5333329998,-70.5500000001,Canada,,POINT (-70.55000000009989 47.53333299981813)
Bad Vermillion Lake,Titanium,Magmatic deposits in igneous and related rocks,48.6999999999,-92.783333,Canada,,POINT (-92.78333300001788 48.699999999900115)
Suncor,Titanium,Sedimentary related,56.9450000001,-111.355,Canada,,POINT (-111.35499999985007 56.945000000149946)
Syncrude,Titanium,Sedimentary related,57.0333329997,-111.616667,Canada,,POINT (-111.61666699958232 57.0333329997182)
Sept Îles,Vanadium,Vanadiferous Titanomagnetite,50.341111111,-66.5058333329,Canada,,POINT (-66.5058333329419 50.34111111098906)
Lac Doré,Vanadium,Vanadiferous Titanomagnetite,49.7603916667,-77.6243111107,Canada,,POINT (-77.62431111066917 49.760391666742066)
Lac St. Jean,Vanadium,Vanadiferous Titanomagnetite,49.3333020002,-71.4994129999,Canada,,POINT (-71.49941299990996 49.33330200018719)
La Blache,Vanadium,Vanadiferous Titanomagnetite,50.0583333329,-69.6338888885,Canada,,POINT (-69.6338888884614 50.058333332917016)
Lake Michikamau,Vanadium,Vanadiferous Titanomagnetite,54.1197222223,-63.9813888888,Canada,,POINT (-63.98138888878617 54.119722222302755)
Ring of Fire,Vanadium,Vanadiferous Titanomagnetite,52.7999999998,-86.4999999997,Canada,,POINT (-86.49999999970021 52.79999999980021)
Banks Island,Vanadium,Vanadiferous Titanomagnetite,53.466111111,-130.130555555,Canada,,POINT (-130.13055555539455 53.46611111103897)
Porcher Island,Vanadium,Vanadiferous Titanomagnetite,53.9997500003,-130.25167,Canada,,POINT (-130.25167000007042 53.99975000026234)
Athabasca oil sands,Zirconium and Hafnium,Oil sands,57.0325870004,-111.616112,Canada,Alberta,POINT (-111.61611200006871 57.03258700038981)
Mount Milligan,Tellurium,Te in Porphyry Cu,55.12454,-124.02931,Canada,,POINT (-124.02931000025626 55.12454000002106)
Hedley,Tellurium,Skarn,49.3708549999,-120.047569,Canada,,POINT (-120.047569000409 49.37085499985841)
Red Lake,Tellurium,Te in Orogenic Au,51.0615269998,-93.7439209999,Canada,,POINT (-93.7439209998542 51.061526999771274)
Deer Horn,Tellurium,Te in Epithermal Au-Ag,53.3620072026,-127.289114756,Canada,,POINT (-127.28911475614103 53.362007202570396)
Magpie Mountain,Titanium; Vanadium,Layered mafic intrusion; Vanadiferous Titanomagnetite,51.3800000003,-64.0700000001,Canada,,POINT (-64.07000000009987 51.380000000299844)
Strange Lake,Beryllium; Niobium and Tantalum; Rare-Earth Elements,Peralkaline intrusion Be,56.3,-64.12,Canada,Quebec/Labrador,POINT (-64.11999999999995 56.30000000000007)
Thor Lake,Beryllium; Niobium and Tantalum; Rare-Earth Elements,Peralkaline intrusion Be,62.1099999999,-112.6,Canada,,POINT (-112.59999999970017 62.10999999990014)
Lac Tio,Titanium; Vanadium,Massif anorthosite; Vanadiferous Titanomagnetite,50.5560000004,-63.4139999999,Canada,,POINT (-63.41399999990006 50.55600000039976)
Nick,Vanadium,Shale-Hosted V,68.6499999996,-135.25,Canada,,POINT (-135.25000000029974 68.64999999960037)
Broken Hammer,Platinum-Group Elements,Offset type,46.7699999998,-81.04,Canada,,POINT (-81.03999999999996 46.76999999980018)
Parkin,Platinum-Group Elements,Offset type,46.8300000004,-80.8500000002,Canada,,POINT (-80.85000000019983 46.830000000399764)
Hellroaring Creek,Beryllium,Deposit type unclassified,49.575,-116.172222222,Canada,British Columbia,POINT (-116.17222222237763 49.57499999995008)
Ajax West,Rhenium,Porphyry Cu,50.6141666674,-120.530833333,Canada,,POINT (-120.53083333289197 50.61416666735789)
Berg,Rhenium,Porphyry Cu-Mo,53.8036111113,-127.435,Canada,,POINT (-127.43499999955031 53.80361111126382)
Bethlehem,Rhenium,Porphyry Cu-Mo,50.4941666671,-120.996666667,Canada,,POINT (-120.99666666733282 50.494166667058096)
Brenda,Rhenium,Porphyry Cu-Mo,49.8777777776,-120.005555556,Canada,,POINT (-120.00555555584418 49.877777777622384)
Bronson Slope,Rhenium,Porphyry Cu-Au,56.6666666671,-131.0925,Canada,,POINT (-131.09249999997496 56.66666666713303)
Casino,Rhenium,Porphyry Cu,62.736111111,-138.829166667,Canada,,POINT (-138.82916666730785 62.73611111103901)
Gibraltar,Rhenium,Porphyry Cu,52.518055556,-122.2875,Canada,,POINT (-122.28750000012485 52.518055556019135)
Granisle (or Bell),Rhenium,Porphyry Cu,54.9463888892,-126.156666667,Canada,,POINT (-126.15666666673326 54.94638888923589)
Highmont West Pit,Rhenium,Porphyry Cu-Mo,50.4327777778,-120.920555556,Canada,,POINT (-120.9205555559941 50.43277777777229)
Hushamu,Rhenium,Porphyry Cu-Au,50.6752777776,-127.858055556,Canada,,POINT (-127.85805555561939 50.67527777764735)
Ingerbelle (or Similco),Rhenium,Porphyry Cu-Au,49.3393999999,-120.5561,Canada,,POINT (-120.5560999998151 49.33939999991014)
Island Copper,Rhenium,Porphyry Cu,50.5999999997,-127.477777778,Canada,,POINT (-127.47777777792209 50.59999999970029)
Kemess South,Rhenium,Cu-Au,57.0058333332,-126.750833333,Canada,,POINT (-126.75083333269214 57.00583333324181)
Lomex,Rhenium,Porphyry Cu-Mo,50.4502777781,-121.043055556,Canada,,POINT (-121.04305555556942 50.45027777809702)
Maggie,Rhenium,Porphyry Cu-Mo,50.9238888894,-121.421111111,Canada,,POINT (-121.4211111111888 50.923888889360796)
Mitchell  (Sulphurets),Rhenium,Porphyry Cu-Au,56.5044444438,-130.262777778,Canada,,POINT (-130.26277777757235 56.50444444375614)
OK,Rhenium,Porphyry Cu,50.0466666672,-124.645,Canada,,POINT (-124.6449999995503 50.046666667232955)
Schaft Creek,Rhenium,Porphyry Cu,57.3641666674,-130.990277778,Canada,,POINT (-130.99027777809692 57.36416666735789)
Snowfields,Rhenium,Porphyry Cu-Au,56.4829999999,-130.2,Canada,,POINT (-130.19999999960027 56.482999999850165)
Valley Copper,Rhenium,Porphyry Cu-Au,50.4855555559,-121.048333333,Canada,,POINT (-121.04833333311677 50.48555555594419)
Boss Mountain,Rhenium,Porphyry Mo,52.0966699996,-120.9075,Canada,,POINT (-120.90749999982512 52.096669999620815)
Carmi,Rhenium,Porphyry Mo,49.5180600002,-119.1678,Canada,,POINT (-119.16779999987006 49.51806000016893)
Endako,Rhenium,Porphyry Mo,54.0361099998,-125.11,Canada,,POINT (-125.10999999970022 54.03610999977673)
Glacier Gulch (Davidson),Rhenium,Porphyry Mo,54.8166700001,-127.3,Canada,,POINT (-127.29999999999995 54.81667000012044)
Kitsault (Lime Creek),Rhenium,Porphyry Mo,55.42194,-129.4194,Canada,,POINT (-129.41940000010987 55.42194000003104)
Lucky Ship,Rhenium,Porphyry Mo,54.0244400003,-127.4781,Canada,,POINT (-127.47809999961527 54.024440000305844)
Mount Haskin,Rhenium,Porphyry Mo,59.3166700001,-129.4583,Canada,,POINT (-129.4582999998451 59.31667000012044)
Nithi Mountain,Rhenium,Porphyry Mo,53.96667,-124.8333,Canada,,POINT (-124.83330000009488 53.96667000002054)
Red Bird,Rhenium,Porphyry Mo,53.2991700001,-127.0103,Canada,,POINT (-127.01029999984507 53.2991700000955)
Red Mountain,Rhenium,Porphyry Mo,60.9891700002,-133.7494,Canada,,POINT (-133.74939999991005 60.98917000019543)
Storie Moly,Rhenium,Porphyry Mo,59.2469399996,-129.8683,Canada,,POINT (-129.86829999974515 59.24693999958134)
Trout Lake (Max),Rhenium,Porphyry Mo,50.6363899997,-117.6028,Canada,,POINT (-117.60280000011988 50.63638999969879)
