main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-b5c425d8-1,,,
QC-MAIN-7a5eacde-1,,,
QC-MAIN-f7b40585-1,,,
AB-MAIN-b8d91ef4-1,,,
AB-MAIN-7a44e145-1,,,
SK-MAIN-82b85062-1,,,
SK-MAIN-4690f3c8-1,,,
AB-MAIN-26c965c2-1,,,
QC-MAIN-8f616fcc-1,,,
ON-MAIN-a70df1a9-1,ZZ-IND-5a0bd913-1,9515.66,9265.05
ON-MAIN-a70df1a9-1,ZZ-IND-cfd80dca-1,8409.09,6439.97
QC-MAIN-66812dba-1,,,
QC-MAIN-f66d0226-1,,,
ON-MAIN-4abc69ca-1,,,
ON-MAIN-313f0146-1,,,
QC-MAIN-22c0a46a-1,,,
QC-MAIN-d8c75070-1,,,
ON-MAIN-d06125fd-1,,,
QC-MAIN-2e5da440-1,ZZ-IND-ac711172-1,994.3,289.88
ON-MAIN-5c6e6c7a-1,,,
QC-MAIN-1d4869bb-1,,,
QC-MAIN-d1b8233a-1,,,
BC-MAIN-bb484112-1,,,
BC-MAIN-6f23468f-1,,,
NL-MAIN-9ccf36c0-1,,,
QC-MAIN-2e5da440-2,ZZ-IND-ac711172-1,994.3,289.88
NB-MAIN-14ab93ca-1,,,
NB-MAIN-80b89ec9-1,ZZ-IND-c891712c-1,9070.67,8806.73
BC-MAIN-6b348f3c-1,,,
BC-MAIN-3173491b-1,,,
BC-MAIN-74f5551c-1,,,
BC-MAIN-161ec4d9-1,,,
MB-MAIN-90232f90-1,,,
BC-MAIN-16e89d42-1,ZZ-IND-90d6b458-1,6942.86,6896.88
BC-MAIN-afea17a6-1,,,
QC-MAIN-52b0862b-1,,,
MB-MAIN-b7374552-1,,,
QC-MAIN-62ba823d-1,,,
ON-MAIN-d8a52df2-1,,,
ON-MAIN-07bc135f-1,,,
MB-MAIN-17adc4a4-1,,,
ON-MAIN-8de2b54e-1,ZZ-IND-262edb0c-1,15115.15,7239.94
ON-MAIN-21de8cef-1,,,
ON-MAIN-92254f18-1,ZZ-IND-262edb0c-1,15608.72,7843.56
ON-MAIN-cef2ae42-1,,,
MB-MAIN-72954693-1,,,
NU-MAIN-4da97af6-1,ZZ-IND-d500c53b-1,129124.26,104.33
ON-MAIN-771f682a-1,,,
YT-MAIN-62f18e31-1,ZZ-IND-b94156d7-1,24033.25,2976.53
ON-MAIN-71c22461-1,,,
BC-MAIN-cfe1a12c-1,,,
ON-MAIN-9a1b3df8-1,,,
QC-MAIN-0f1f6d46-1,,,
ON-MAIN-c0dbe3d0-1,,,
ON-MAIN-260dc878-1,,,
ON-MAIN-13e61769-1,,,
ON-MAIN-f039002e-1,,,
SK-MAIN-ee0fab1a-1,,,
SK-MAIN-fa964b40-1,,,
NB-MAIN-b72cbf1c-1,,,
