main_id,wpda_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-0d3e2477-1,QC-WPDA-d48bbff4-1,9853.86,9783.37
QC-MAIN-0d3e2477-1,QC-WPDA-2e97e2e8-1,7872.55,7714.09
QC-MAIN-0d3e2477-1,QC-WPDA-f3bebee6-1,22299.45,6950.29
QC-MAIN-0d3e2477-1,QC-WPDA-e02357f3-1,4625.45,4502.41
QC-MAIN-a80a23b5-1,ZZ-WPDA-87b8e6fb-1,8670.19,6917.93
QC-MAIN-a80a23b5-1,ZZ-WPDA-969b1a1c-1,4716.78,2716.08
QC-MAIN-a80a23b5-1,ZZ-WPDA-4c21b460-1,7323.83,5178.87
QC-MAIN-a80a23b5-1,QC-WPDA-45afedd8-1,5448.17,4852.12
QC-MAIN-a80a23b5-1,QC-WPDA-1ad27e92-1,6491.37,6366.03
QC-MAIN-a80a23b5-1,QC-WPDA-f44c4d5a-1,8439.89,8288.4
AB-MAIN-d0340ea2-1,AB-WPDA-6f438b64-1,60176.43,2153.25
AB-MAIN-d0340ea2-1,AB-WPDA-e85ebfa3-1,8856.96,333.45
AB-MAIN-d0340ea2-1,AB-WPDA-52701c5a-1,5880.86,1.85
AB-MAIN-d0340ea2-1,AB-WPDA-6df21313-1,5117.91,1407.74
AB-MAIN-d0340ea2-1,AB-WPDA-71efe7f2-1,8636.82,7600.36
QC-MAIN-1cdc4109-1,QC-WPDA-5008c07c-1,10306.2,7791.21
QC-MAIN-1cdc4109-1,ZZ-WPDA-66f1a5de-1,5814.03,3673.12
QC-MAIN-1cdc4109-1,ZZ-WPDA-ffc09a1f-1,4041.61,2938.51
QC-MAIN-1cdc4109-1,ZZ-WPDA-c94aaba0-1,5060.02,3840.39
QC-MAIN-1cdc4109-1,ZZ-WPDA-c7e86bad-1,10230.74,6687.93
QC-MAIN-1cdc4109-1,ZZ-WPDA-fd01bca2-1,10146.27,6498.53
QC-MAIN-1cdc4109-1,QC-WPDA-cb3032d7-1,10312.0,9634.61
QC-MAIN-1cdc4109-1,QC-WPDA-92fd0d01-1,10464.74,9796.86
QC-MAIN-e6f9d1aa-1,QC-WPDA-5008c07c-1,9162.82,6639.12
QC-MAIN-e6f9d1aa-1,ZZ-WPDA-66f1a5de-1,6973.32,4934.69
QC-MAIN-e6f9d1aa-1,ZZ-WPDA-ffc09a1f-1,3860.79,3099.02
