main_id,tang_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-03247f98-1,QC-TANG-76613dc6-1,3766.21,3115.94
QC-MAIN-03247f98-1,QC-TANG-9ad7489b-1,4908.11,4660.47
ON-MAIN-5a030c69-1,ON-TANG-1b0e6ba3-1,5167.43,4821.37
ON-MAIN-5a030c69-1,ON-TANG-17f14013-1,10598.41,9873.29
ON-MAIN-5a030c69-1,ON-TANG-7e9a67cb-1,5335.21,5030.42
ON-MAIN-5a030c69-1,ON-TANG-4721687c-1,8376.2,7004.58
ON-MAIN-5a030c69-1,ON-TANG-d66341ab-1,4588.91,4358.41
ON-MAIN-5a030c69-1,ON-TANG-0d1ac9de-1,3827.75,3457.06
ON-MAIN-5a030c69-1,ON-TANG-fbdcadde-1,4344.5,4143.28
ON-MAIN-5a030c69-1,ON-TANG-f16c319f-1,4904.59,4577.92
ON-MAIN-5a030c69-1,ON-TANG-d4bd5fb7-1,5172.11,4944.83
ON-MAIN-5a030c69-1,ON-TANG-4c7bfea1-1,2305.4,1712.45
ON-MAIN-5a030c69-1,ON-TANG-6a666aa4-1,4066.5,3730.99
ON-MAIN-5a030c69-1,ON-TANG-17a0566f-1,5800.35,4872.72
ON-MAIN-5a030c69-1,ON-TANG-d105040a-1,9912.2,9719.58
ON-MAIN-5a030c69-1,ON-TANG-27cf5b82-1,9962.53,9829.38
ON-MAIN-5a030c69-1,ON-TANG-abee3fc4-1,4512.28,4081.32
ON-MAIN-5a030c69-1,ON-TANG-94c5eab5-1,5253.78,4873.54
ON-MAIN-5a030c69-1,ON-TANG-eac15156-1,170.56,244.97
ON-MAIN-5a030c69-1,ON-TANG-55a590da-1,4818.46,4117.78
ON-MAIN-5a030c69-1,ON-TANG-55cfc309-1,3688.28,2621.53
ON-MAIN-5a030c69-1,ON-TANG-1aca67fd-1,6075.32,5164.37
ON-MAIN-5a030c69-1,ON-TANG-ea1aff1d-1,6701.17,5805.18
ON-MAIN-5a030c69-1,ON-TANG-314e29e4-1,7221.97,6881.58
ON-MAIN-5a030c69-1,ON-TANG-c277ad81-1,5920.91,3170.26
ON-MAIN-5a030c69-1,ON-TANG-7d76ec90-1,11249.42,9479.43
ON-MAIN-a86e1632-1,ON-TANG-3b1598bd-1,5868.61,5721.17
ON-MAIN-a86e1632-1,ON-TANG-0ec2c570-1,5491.29,5207.68
ON-MAIN-a86e1632-1,ON-TANG-cc67dca5-1,5123.82,4748.0
ON-MAIN-a86e1632-1,ON-TANG-11d82af3-1,3664.28,2292.71
ON-MAIN-a86e1632-1,ON-TANG-fc21ad1c-1,3524.81,2498.7
ON-MAIN-a86e1632-1,ON-TANG-da567ee9-1,1304.23,930.81
ON-MAIN-a86e1632-1,ON-TANG-70138815-1,2019.59,1176.12
ON-MAIN-a86e1632-1,ON-TANG-72fa2437-1,6461.76,5415.26
ON-MAIN-a86e1632-1,ON-TANG-eb138573-1,2317.54,149.1
ON-MAIN-ec0e3472-1,ON-TANG-8e35c50a-1,8227.49,7576.31
ON-MAIN-ec0e3472-1,ON-TANG-41f18a79-1,6981.33,6805.66
ON-MAIN-ec0e3472-1,ON-TANG-5e031622-1,6421.78,6281.01
ON-MAIN-ec0e3472-1,ON-TANG-1b0e6ba3-1,7315.36,6900.93
ON-MAIN-ec0e3472-1,ON-TANG-b69752dc-1,6081.99,5911.98
ON-MAIN-ec0e3472-1,ON-TANG-17f14013-1,5505.05,4889.9
ON-MAIN-ec0e3472-1,ON-TANG-7e9a67cb-1,3829.74,3422.71
ON-MAIN-ec0e3472-1,ON-TANG-4721687c-1,3537.84,2071.12
ON-MAIN-ec0e3472-1,ON-TANG-d66341ab-1,4039.16,3759.04
ON-MAIN-ec0e3472-1,ON-TANG-0d1ac9de-1,4966.49,4563.88
ON-MAIN-ec0e3472-1,ON-TANG-fbdcadde-1,3577.34,3308.35
