row_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,data_type,unit,value,comment,source
PROD-730aefe3-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Ore,2,Ore processed,Production,t,441588.0,,2023-Sustainability-Performance_data
PROD-730aefe3-2023-2,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Gold,4,Intermediate metal,Production,oz,228535.0,,2023-Sustainability-Performance_data
PROD-GRP-0a2c0d69-2023-1,2023,Facility-group,Canada,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Gold,2,Ore processed,Production,t,3842649.005728,,2023-Sustainability-Performance_data
PROD-GRP-0a2c0d69-2023-2,2023,Facility-group,Canada,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,431665.6270210001,Like intermediate metal,2023-Sustainability-Performance_data
PROD-GRP-0a2c0d69-2023-3,2023,Facility-group,Canada,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Silver,4,Intermediate metal,Production,koz,125.0,Like intermediate metal,2023-Sustainability-Performance_data
PROD-aeafbb59-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore processed,Production,t,1918143.0,,2023-Sustainability-Performance_data
PROD-aeafbb60-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb60,-,,mining,"Underground, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,364141.0,Like intermediate metal,2023-Sustainability-Performance_data
PROD-aeafbb61-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb61,-,,mining,"Underground, concentrator",Gold,Silver,4,Intermediate metal,Production,koz,27.0,Like intermediate metal,2023-Sustainability-Performance_data
PROD-UNKNOWN-2023-1,2023,Company-level,World,Glencore,-,-,-,,Refinery,x,"Copper (cathodes), gold, silver, tellurium, selenium, nickel sulfate, copper sulfate, platinum group metals",Copper,5,Refinery production,Production,kt,443.3,Includes production by Horne and CCR but also other refineries not in Canada.,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-UNKNOWN-2023-2,2023,Company-level,World,Glencore,-,-,-,,Refinery,x,"Copper (cathodes), gold, silver, tellurium, selenium, nickel sulfate, copper sulfate, platinum group metals",Copper,5,Refinery production,Production,kt,507.3,Includes production by Horne and CCR but also other refineries not in Canada.,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-44857446-2023-1,2023,Site-specific,Canada,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,-,,mining,Concentrator,"Copper, gold, silver",Gold,4,Intermediate metal,Production,koz,86.6,,https://www.hecla.com/operations/casa-berardi-quebec-canada
PROD-44857446-2023-2,2023,Site-specific,Canada,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,-,,mining,Concentrator,"Copper, gold, silver",Silver,4,Intermediate metal,Production,koz,24.2,,https://www.hecla.com/operations/casa-berardi-quebec-canada
PROD-599152a0-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Copper,3,Concentrate,Production,t,82685.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-7607a50e-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,131400.0,,Data_2023.xlsx
PROD-7607a50e-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,1,Ore mined,Production,t,437541.0,,Data_2023.xlsx
PROD-7607a50e-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore processed,Production,t,439008.0,,Data_2023.xlsx
PROD-7607a50e-2023-4,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,2,Mill grade,Technical attribute,?,9.48,,Data_2023.xlsx
PROD-7607a50e-2023-5,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,2,Mill recovery rate,Technical attribute,%,97.0,,Data_2023.xlsx
PROD-7607a50e-2023-6,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore grade,Technical attribute,?,9.43,,Data_2023.xlsx
PROD-687b8c8d-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,185100.0,,Data_2023.xlsx
PROD-687b8c8d-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,1,Ore mined,Production,t,2878155.0,,Data_2023.xlsx
PROD-687b8c8d-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore processed,Production,t,2878047.0,,Data_2023.xlsx
PROD-687b8c8d-2023-4,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,2,Mill grade,Technical attribute,?,2.2,,Data_2023.xlsx
PROD-687b8c8d-2023-5,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,2,Mill recovery rate,Technical attribute,%,90.0,,Data_2023.xlsx
PROD-687b8c8d-2023-6,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore grade,Technical attribute,?,2.2,,Data_2023.xlsx
PROD-CMP-140e111b-2023-1,2023,Company-level,World,Alcoa Corporation,-,-,,CMP-140e111b,manufacturing,Smelter,Aluminum,Aluminum,4,Aluminum production,Production,kmt,2114.0,,4Q23-Alcoa-Financial-Results
PROD-52c01ae4-2023-1,2023,Site-specific,Canada,Alcoa Corporation,Baie-Comeau,QC-MAIN-52c01ae4,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Aluminum,4,Capacity,Capacity,t,312000.0,,https://aluminium.ca/en/the-industry/
PROD-eac5a52b-2023-1,2023,Site-specific,Canada,Alcoa Corporation,Deschambault,QC-MAIN-eac5a52b,-,CMP-140e111b,manufacturing,Smelter,Aluminum,Aluminum,4,Capacity,Capacity,t,287000.0,,https://aluminium.ca/en/the-industry/
PROD-c8966bdc-2023-1,2023,Site-specific,Canada,Alcoa Corporation and Rio Tinto Aluminum Inc.,Bécancour,QC-MAIN-c8966bdc,-,,manufacturing,Smelter,Aluminum,Aluminum,4,Capacity,Capacity,t,462000.0,,https://aluminium.ca/en/the-industry/
PROD-GRP-1402249f-2024-1,2024,Facility-group,Canada,ArcelorMittal,AMCC,-,GRP-1402249f,CMP-3775c12e,mining,,Iron,Iron,3,Mining production,Production,Mt,24.2,Ambigous production type,arcelormittal-factbook-2024.pdf
PROD-4c35e094-2024-1,2024,Site-specific,Canada,ArcelorMittal,ArcelorMittal Dofasco,ON-MAIN-4c35e094,,,manufacturing,"Basic oxygen furnace, electric arc furnace",Steel,Steel,5,Flat,Production,Mt,3.1,"Integrated, mini-mill",Factbook_2024.pdf
PROD-UNKNOWN-2024-1,2024,Facility-group,Canada,ArcelorMittal,Contrecoeur,-,-,,manufacturing,Electric arc furnace,Steel,Steel,5,"Long/wire rod, bars, slabs",Production,Mt,1.9,Mini-mill,Factbook_2024.pdf
PROD-084bd95c-2023-1,2023,Site-specific,Canada,ArcelorMittal,Fire Lake,QC-MAIN-084bd95c,,CMP-3775c12e,mining,Open-pit,Iron,Iron,3,Iron ore,Production,kt,5901.0,Given in ttpa (total ton per annum),GEM
PROD-33c09b8b-2023-1,2023,Site-specific,Canada,ArcelorMittal,Mont-Wright,QC-MAIN-33c09b8b,,CMP-3775c12e,mining,"Open-pit, concentrator",Iron,Iron,3,Concentrate & pellets,Production,Mt,22.4,,arcelormittal-factbook-2024.pdf
PROD-8825d90d-2024-1,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,4,Gold production,Production,oz,33000.0,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-2,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,1,Ore mined,Production,t,1838496.0,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-3,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,1,Waste mined,Production,t,6759562.0,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-4,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,1,Waste to ore ratio,Technical attribute,%,4.18,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-5,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,2,Ore grade,Technical attribute,g/t?,0.81,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-6,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,2,Ore processed,Production,t,1165551.0,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-7,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,2,Head grade,Technical attribute,g/t?,0.91,Data from Alamos Gold,Data_2023.xlsx
PROD-8825d90d-2024-8,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,-,-,mining,"Open-pit, concentrator","Gold, silver",Gold,2,Recovery rate,Technical attribute,%,95.0,Data from Alamos Gold,Data_2023.xlsx
PROD-5154702a-2023-1,2023,Site-specific,Canada,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,,,mining,Open-pit,Iron,Iron,3,Concentrate produced,Production,kt,6200.0,Given in ttpa (total ton per annum),GEM
PROD-6e9be24e-2023-1,2023,Site-specific,Canada,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,,mining,"Open-pit, underground, concentrator",Gold,Gold,2,Ore processed,Production,t,1266009.0,Not sure of the unit,Barrick_2023_Performance-Data.xlsx
PROD-6e9be24e-2023-2,2023,Site-specific,Canada,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,,mining,"Open-pit, underground, concentrator",Gold,Gold,1,Waste rock mined,Production,t,1530006.0,Not sure of the unit,Barrick_2023_Performance-Data.xlsx
PROD-6e9be24e-2023-3,2023,Site-specific,Canada,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,,mining,"Open-pit, underground, concentrator",Gold,Gold,4,Intermediate metal ,Production,oz,141045.0,,Barrick_2023_Performance-Data.xlsx
PROD-6c1d6ee6-2023-1,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,,mining,"Underground, plant",Diamonds,Diamonds,3,Carats recovered,Production,Mcts,5.1,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2027
PROD-6c1d6ee6-2023-2,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,,mining,"Underground, plant",Diamonds,Diamonds,2,Ore processed,Production,Mdmt,4.2,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2026
PROD-6c1d6ee6-2023-3,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,,mining,"Underground, plant",Diamonds,Diamonds,1,Ore mined,Production,Mwmt,4.6,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2025
PROD-6c1d6ee6-2023-4,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,,mining,"Underground, plant",Diamonds,Diamonds,1,Waste mined,Production,Mwmt,16.6,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2024
PROD-91cf5448-2023-1,2023,Site-specific,Canada,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,-,CMP-cadb529a,mining,Underground,Uranium,Uranium,3,Concentrate,Production,Mlbs,15.1,On a 100% ownership basis,AR_2023.pdf
PROD-GRP-21eee27d-2023-1,2023,Facility-group,Canada,Cameco Corporation,Key Lake + McArthur River,-,GRP-21eee27d,CMP-cadb529a,mining,Concentrator,Uranium,Uranium,3,Concentrate,Production,Mlbs,13.5,On a 100% ownership basis,AR_2023.pdf
PROD-599152a0-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Copper,2,Head grade,Technical attribute,%,0.35,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Copper,2,Recovery rate,Technical attribute,%,79.7,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Copper,3,Contained metal in concentrate produced,Production,t,19050.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-5,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Copper,3,Concentrate grade,Technical attribute,% Cu,23.1,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-6,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Gold,4,Contained metal in concentrate produced,Production,oz,8848.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-7,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Ore,2,Ore milled,Production,t,6862152.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-8,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Ore,1,Ore mined,Production,t,6975389.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-9,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Silver,4,Contained metal in concentrate produced,Production,oz,218282.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-10,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Gold,2,Head grade,Technical attribute,g/t,0.07,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-11,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Gold,2,Recovery rate,Technical attribute,%,55.9,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-12,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Ore,1,Strip ratio,Technical attribute,-,3.82,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-CMP-c08ac7d7-2023-1,2023,Company-level,World,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,3,Concentrate,Production,Mt,14.16,,cil-23sr-esg-databookvf.xlsx
PROD-CMP-c08ac7d7-2023-2,2023,Company-level,World,Champion Iron Ltd,-,-,-,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,1,Ore mined and hauled,Production,Mt,40.87,,cil-23sr-esg-databookvf.xlsx
PROD-089f3c60-2022-1,2022,Site-specific,Canada,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,3,Concentrate produced,Production,wmt,7.9,,TR_Bloom_Lake_2023.pdf
PROD-089f3c60-2022-2,2022,Site-specific,Canada,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,1,Ore mined,Production,wmt,22.3,,TR_Bloom_Lake_2023.pdf
PROD-089f3c60-2022-3,2022,Site-specific,Canada,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,2,Ore processed,Production,wmt,21.0,,TR_Bloom_Lake_2023.pdf
PROD-089f3c60-2022-4,2022,Site-specific,Canada,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,CMP-c08ac7d7,mining,Open-pit,Iron,Iron,3,Concentrate grade,Technical attribute,%,0.662,,TR_Bloom_Lake_2023.pdf
PROD-CMP-d899f7d7-2023-1,2023,Company-level,Canada,De Beers Canada Inc,-,-,-,CMP-d899f7d7,mining,"Open-pit, plant",Diamonds,Diamonds,3,Carats recovered,Production,kct,2834.0,,SR_2023.pdf
PROD-f9e41c2a-2023-1,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,177069.0,,Data.xlsx
PROD-f9e41c2a-2023-2,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Gold,2,Ore milled,Production,t,838419.0,,Data.xlsx
PROD-f9e41c2a-2023-3,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Gold,2,Head grade,Technical attribute,g/t,6.76,,Data.xlsx
PROD-f9e41c2a-2023-4,2023,Site-specific,Canada,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,-,,mining,"Underground, concentrator",Gold,Gold,2,Recovery rate,Technical attribute,%,0.971,,Data.xlsx
PROD-7f050560-2024-1,2024,Site-specific,Canada,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,-,,mining,"Underground, concentrator","Gold, silver",Ore,1,Material mined,Production,t,1855271.0,,EVN_FY24-ESG-Performance-Data_web.xlsx
PROD-7f050560-2024-2,2024,Site-specific,Canada,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,-,,mining,"Underground, concentrator","Gold, silver",Ore,1,Ore mined,Production,t,862000.0,,EVN_FY24-ESG-Performance-Data_web.xlsx
PROD-7f050560-2024-3,2024,Site-specific,Canada,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,-,,mining,"Underground, concentrator","Gold, silver",Ore,2,Ore processed,Production,t,841000.0,,EVN_FY24-ESG-Performance-Data_web.xlsx
PROD-7f050560-2024-4,2024,Site-specific,Canada,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,-,,mining,"Underground, concentrator","Gold, silver",Ore,1,Waste mined,Production,t,993271.0,,EVN_FY24-ESG-Performance-Data_web.xlsx
PROD-7f050560-2024-5,2024,Site-specific,Canada,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,-,,mining,"Underground, concentrator","Gold, silver",Gold,4,Intermediate metal,Production,oz,112700.0,,EVN_FY24-ESG-Performance-Data_web.xlsx
PROD-26b9aaf3-2021-1,2021,Site-specific,Canada,EVRAZ North America Inc,EVRAZ Regina,SK-MAIN-26b9aaf3,-,,manufacturing,Electric arc furnace,Steel,Steel,4,EAF production,Production,kt,828.0,,GEM
PROD-26b9aaf3-2021-2,2021,Site-specific,Canada,EVRAZ North America Inc,EVRAZ Regina,SK-MAIN-26b9aaf3,-,,manufacturing,Electric arc furnace,Steel,Steel,4,Nominal crude steel capacity,Capacity,ttpa,1200.0,,GEM
PROD-599152a0-2023-13,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Silver,2,Head grade,Technical attribute,g/t,1.36,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-599152a0-2023-14,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,-,,mining,Concentrator,"Copper, gold, silver",Silver,2,Recovery rate,Technical attribute,%,73.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25
PROD-CMP-d5f1c66b-2023-1,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Cobalt,4 or 5,?,Production,kt,41.3,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-CMP-d5f1c66b-2023-2,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Copper,4 or 5,?,Production,kt,1010.1,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-CMP-d5f1c66b-2023-3,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Ferrochrome,4 or 5,?,Production,kt,1162.0,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-CMP-d5f1c66b-2023-4,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Gold,4 or 5,?,Production,koz,747.0,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-CMP-d5f1c66b-2023-5,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Lead,4 or 5,?,Production,kt,182.7,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
PROD-CMP-d5f1c66b-2023-6,2023,Company-level,World,Glencore,-,-,,CMP-d5f1c66b,mining and manufacturing,x,x,Nickel,4 or 5,?,Production,kt,97.6,Impossible to assign a reference point. Probably 4 or 5?,GLEN_2024-FY_ProductionReport_tables.xlsx
