row_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,data_type,method,unit,value,comment,source,source_id
PROD-6c1d6ee6-2023-2,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,CMP-caa580a0,mining,"Underground, plant",Diamonds,Diamonds,Crude ore,Ore processed,Production,Reported,Mdmt,4.2,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2026,BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2026
PROD-6c1d6ee6-2023-3,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,CMP-caa580a0,mining,"Underground, plant",Diamonds,Diamonds,Total extraction,Ore mined,Production,Reported,Mwmt,4.6,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2025,BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2025
PROD-6dc537e6-2023-1,2023,Site-specific,Canada,Newmont Corporation,Éléonore,QC-MAIN-6dc537e6,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Gold,Usable ore,Contained metal in doré,Production,Reported,koz,232.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-6dc537e6-2023-2,2023,Site-specific,Canada,Newmont Corporation,Éléonore,QC-MAIN-6dc537e6,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Silver,Usable ore,Contained metal in doré,Production,Reported,oz,11835.0,,https://mrnf.gouv.qc.ca/en/mines/publications/quantity-mine-mouth-output-value-and-duties-paid-by-mining-companies/,https://mrnf.gouv.qc.ca/en/mines/publications/quantity-mine-mouth-output-value-and-duties-paid-by-mining-companies/
PROD-6dc537e6-2023-3,2023,Site-specific,Canada,Newmont Corporation,Éléonore,QC-MAIN-6dc537e6,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Gold,Total extraction,Ore mined,Production,Reported,kt,1656.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-6dc537e6-2023-4,2023,Site-specific,Canada,Newmont Corporation,Éléonore,QC-MAIN-6dc537e6,,CMP-4a434d72,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore processed,Production,Reported,kt,1661.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-4724f4ba-2024-1,2024,Site-specific,Canada,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,CMP-d726df1c,mining,"Underground, concentrator","Gold, silver",Gold,Total extraction,Ore mined,Production,Reported,t,34017.0,,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com
PROD-4724f4ba-2024-2,2024,Site-specific,Canada,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,CMP-d726df1c,mining,"Underground, concentrator","Gold, silver",Gold,Crude ore,Ore delivered,Production,Reported,t,33245.0,,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com
PROD-4724f4ba-2024-3,2024,Site-specific,Canada,Gold Mountain Mining Corp,Elk,BC-MAIN-4724f4ba,,CMP-d726df1c,mining,"Underground, concentrator","Gold, silver",Gold,Usable ore,Contained metal in doré,Production,Reported,oz,3916.0,Gold ounces sold',https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com,https://www.accessnewswire.com/newsroom/en/metals-and-mining/gold-mountain-reports-its-interim-q4-2025-financial-and-operating-results-1001121?utm_source=chatgpt.com
PROD-26b9aaf3-2021-1,2021,Site-specific,Canada,EVRAZ North America Inc,EVRAZ Regina,SK-MAIN-26b9aaf3,,CMP-28720916,manufacturing,Electric arc furnace,Steel,Steel,Intermediate metal produced,EAF production,Production,Reported,kt,828.0,,https://www.gem.wiki/Evraz_Regina_Steel_plant,https://www.gem.wiki/Evraz_Regina_Steel_plant
PROD-26b9aaf3-2021-2,2021,Site-specific,Canada,EVRAZ North America Inc,EVRAZ Regina,SK-MAIN-26b9aaf3,,CMP-28720916,manufacturing,Electric arc furnace,Steel,Steel,Intermediate metal produced,Nominal crude steel capacity,Capacity,Reported,ttpa,1200.0,,https://www.gem.wiki/Evraz_Regina_Steel_plant,https://www.gem.wiki/Evraz_Regina_Steel_plant
PROD-33c09b8b-2023-1,2023,Site-specific,Canada,ArcelorMittal,Fire Lake,QC-MAIN-33c09b8b,GRP-1402249f,CMP-3775c12e,mining,Open-pit,Iron,Iron,Total extraction,Ore mined,Production,Reported,kt,5901.0,Given in ttpa (total ton per annum),https://www.gem.wiki/ArcelorMittal_Fire_Lake_Mine,https://www.gem.wiki/ArcelorMittal_Fire_Lake_Mine
PROD-4e0734b5-2023-1,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Gold,Total extraction,Ore mined,Production,Reported,t,96.0,,SEC_2024.pdf,McEwenMiningInc_SEC_2024
PROD-4e0734b5-2023-2,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Gold,Crude ore,Ore processed,Production,Reported,t,120.0,,SEC_2024.pdf,McEwenMiningInc_SEC_2024
PROD-4e0734b5-2023-3,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,GEOs,Usable ore,Contained metal in doré,Production,Reported,oz,10.2,,SEC_2024.pdf,McEwenMiningInc_SEC_2024
PROD-4e0734b5-2023-4,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Gold,Usable ore,Contained metal in doré,Production,Reported,oz,10.2,,SEC_2024.pdf,McEwenMiningInc_SEC_2024
PROD-4e0734b5-2023-5,2023,Site-specific,Canada,McEwen Mining Inc,Fox Complex,ON-MAIN-4e0734b5,,CMP-3ff42329,mining,"Open-pit, underground, concentrator",Gold,Silver,Usable ore,Contained metal in doré,Production,Reported,oz,1.4,,SEC_2024.pdf,McEwenMiningInc_SEC_2024
PROD-206041d1-2024-1,2024,Site-specific,Canada,Glencore,Fraser,ON-MAIN-206041d1,GRP-de097f20,CMP-d5f1c66b,mining,Underground,"Nickel, copper, platinum group metals, gold, cobalt, silver",Ore,Total extraction,Ore mined,Production,Reported,t,553033.0,,https://www.glencore.ca/en/sudburyino/who-we-are/at-a-glance,https://www.glencore.ca/en/sudburyino/who-we-are/at-a-glance
PROD-48fe2205-2023-1,2023,Site-specific,Canada,Vale,Garson,ON-MAIN-48fe2205,GRP-dc07540b,CMP-9617aef4,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Nickel,Usable ore,Contained metal in concentrate,Production,Reported,t,7946.0,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I10SW00006.html,,Vale_nan
PROD-48fe2205-2023-2,2023,Site-specific,Canada,Vale,Garson,ON-MAIN-48fe2205,GRP-dc07540b,CMP-9617aef4,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Copper,Usable ore,Contained metal in concentrate,Production,Reported,t,7453.0,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I10SW00006.html,,Vale_nan
