main_id,mincan_id,distance_m,name,namemine,similarity_full_score,similarity_partial_score
ON-MAIN-5a030c69-1,ON-MINCAN-938e5d45-1,12454.15,Hollinger,Bonwhit,25.0,33.333333333333336
ON-MAIN-5a030c69-1,ON-MINCAN-06b71c99-1,6611.42,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-52f8932b-1,5331.09,Hollinger,Dome,30.76923076923077,33.333333333333336
ON-MAIN-5a030c69-1,ON-MINCAN-7c3d9cb4-1,4194.69,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-50f38af5-1,5830.57,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-cebc01bd-1,19535.32,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-25980abf-1,14262.81,Hollinger,Bell Creek,31.57894736842105,37.5
ON-MAIN-a86e1632-1,ON-MINCAN-5f254d07-1,8869.93,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-d0b499b7-1,6589.43,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-79615968-1,2307.86,Hoyle Pond,Owl Creek,21.052631578947366,28.57142857142857
ON-MAIN-a86e1632-1,ON-MINCAN-f24d24cd-1,3287.44,Hoyle Pond,Pamour,25.0,40.0
ON-MAIN-a86e1632-1,ON-MINCAN-b04333c7-1,4468.04,Hoyle Pond,Hallnor,35.29411764705882,44.44444444444444
ON-MAIN-a86e1632-1,ON-MINCAN-1935646c-1,18357.53,Hoyle Pond,Norandas,33.333333333333336,54.54545454545454
ON-MAIN-a86e1632-1,ON-MINCAN-8863ccf3-1,15938.15,Hoyle Pond,Schumacher Division (Former McIntyre) and renamed 1981: Shumacher,16.000000000000004,50.0
ON-MAIN-a86e1632-1,ON-MINCAN-0b822735-1,9473.78,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-eb1e3a56-1,15460.89,Hoyle Pond,Paymaster,21.052631578947366,28.57142857142857
ON-MAIN-a86e1632-1,ON-MINCAN-6ed98edb-1,13982.43,Hoyle Pond,Coniaurum,21.052631578947366,33.333333333333336
ON-MAIN-a86e1632-1,ON-MINCAN-bc12cac7-1,3423.72,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-64ef8584-1,2974.21,Hoyle Pond,Hoyle,66.66666666666667,100.0
ON-MAIN-a86e1632-1,ON-MINCAN-55df954e-1,3281.7,Hoyle Pond,No.3,14.28571428571429,33.333333333333336
ON-MAIN-a86e1632-1,ON-MINCAN-3abfda0f-1,18622.77,Hoyle Pond,Aunor,13.33333333333333,28.57142857142857
ON-MAIN-a86e1632-1,ON-MINCAN-ab48ffa7-1,3009.77,Hoyle Pond,Hoyle Pond,100.0,100.0
ON-MAIN-a86e1632-1,ON-MINCAN-938e5d45-1,5399.83,Hoyle Pond,Bonwhit,23.529411764705888,40.0
ON-MAIN-a86e1632-1,ON-MINCAN-06b71c99-1,11069.84,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-52f8932b-1,14000.6,Hoyle Pond,Dome,28.57142857142857,50.0
ON-MAIN-a86e1632-1,ON-MINCAN-12ff1b95-1,11798.56,Hoyle Pond,Nighthawk Lake,8.333333333333337,18.181818181818176
ON-MAIN-a86e1632-1,ON-MINCAN-7c3d9cb4-1,18936.12,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-50f38af5-1,14493.47,Hoyle Pond,,28.57142857142857,57.14285714285714
ON-MAIN-a86e1632-1,ON-MINCAN-f635c0d3-1,17877.6,Hoyle Pond,Aquarius,0.0,0.0
ON-MAIN-a86e1632-1,ON-MINCAN-25980abf-1,4758.45,Hoyle Pond,Bell Creek,19.999999999999996,26.66666666666667
ON-MAIN-ec0e3472-1,ON-MINCAN-5f254d07-1,6011.64,Porcupine,,46.15384615384615,66.66666666666667
