main_id,pollutant_id,distance_m,name,facility_name_npri,similarity_full_score,similarity_partial_score
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-5,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-6,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-7,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-8,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-9,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-10,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-11,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-12,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-13,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-14,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-15,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-16,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-17,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-18,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-19,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-20,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-1,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-2,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-3,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-4,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-5,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-6,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-7,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-8,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-9,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-10,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-11,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-12,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-13,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-14,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-15,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-16,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-17,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-18,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-19,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-042d0b12-1,ON-pollutant-b062e0b4-20,1107.44,Island,Magino Mine,23.529411764705888,36.36363636363637
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-1,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-2,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-3,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-4,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-5,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-6,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-7,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-8,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-9,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-10,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-11,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-12,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-13,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-14,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-15,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-16,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-17,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-18,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-19,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-20,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-21,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-22,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-23,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-pollutant-041a1950-24,217.4,Young-Davidson,Young-Davidson,100.0,100.0
