main_id,climate_trace_id,distance_m,name,source_name,similarity_full_score,similarity_partial_score
AB-MAIN-d0340ea2-1,,,Baymag,,,
QC-MAIN-1cdc4109-1,,,Bécancour,,,
QC-MAIN-e6f9d1aa-1,,,Becancour Silicon,,,
ON-MAIN-ab3beaca-1,,,Blind River,,,
ON-MAIN-b8eb9cec-1,,,Brampton,,,
ON-MAIN-5d575b1c-1,,,Brampton Division,,,
AB-MAIN-9e5c8260-1,,,Calgary Facility,,,
ON-MAIN-6d63265c-1,,,Cambridge Mill,,,
QC-MAIN-7aedd1d1-1,,,Canadian Electrolytic Zinc Limited (CEZinc),,,
QC-MAIN-b82e1010-1,,,CCR,,,
QC-MAIN-e346178b-1,,,Contrecœur East,,,
QC-MAIN-8395491a-1,,,Contrecœur West,,,
QC-MAIN-d5f7f7a9-1,,,Contrecœur-Feruni,,,
ON-MAIN-79b5b7f0-1,ON-CTRACE-bc264035-1,376.77,Copper Cliff Complex,Copper Cliff Mine,75.67567567567568,86.66666666666667
ON-MAIN-79b5b7f0-1,ON-CTRACE-55b19f8c-1,9445.21,Copper Cliff Complex,Creighton Mine,29.411764705882348,33.333333333333336
ON-MAIN-79b5b7f0-1,ON-CTRACE-f4e08424-1,18315.39,Copper Cliff Complex,Garson Mine,25.806451612903224,28.57142857142857
ON-MAIN-79b5b7f0-1,ON-CTRACE-bc264035-2,376.77,Copper Cliff Complex,Stobie Mine,32.25806451612904,38.095238095238095
QC-MAIN-a131cab8-1,,,Deschambault,,,
QC-MAIN-7af0f951-1,,,Elkem Chicoutimi,,,
SK-MAIN-df629bdd-1,,,EVRAZ Regina,,,
AB-MAIN-e7f96788-1,,,GenAlta Recycling Inc.,,,
MB-MAIN-88871a03-1,,,General Scrap,,,
QC-MAIN-4201fced-1,,,General Smelting Company of Canada,,,
QC-MAIN-5dd926d1-1,,,Grande-Baie,,,
ON-MAIN-c630ce3f-1,,,Hamilton Parkdale Division,,,
ON-MAIN-4181dc29-1,,,Hamilton Works,,,
QC-MAIN-6ac74402-1,QC-CTRACE-312a5be7-1,342.17,Horne,Horne Mine,66.66666666666667,100.0
QC-MAIN-6ac74402-1,QC-CTRACE-f84b599f-1,847.59,Horne,Quemont Mine,35.29411764705882,57.14285714285714
MB-MAIN-1d0c2cb3-1,,,Industrial Metals,,,
ON-MAIN-9326076c-1,,,Ivaco Rolling Mills,,,
ON-MAIN-a427926b-1,,,Kingston Operation,,,
BC-MAIN-637c52c2-1,,,Kitimat,,,
ON-MAIN-f7c901fd-1,,,Lake Erie Works,,,
QC-MAIN-ef20c691-1,,,Laterrière,,,
NL-MAIN-06a353b2-1,,,Long Harbour,,,
MB-MAIN-90b02c47-1,,,Manitoba Mill,,,
ON-MAIN-8869c24c-1,,,Mississauga,,,
ON-MAIN-f43e32c4-1,,,Mississauga,,,
AB-MAIN-feb0ef06-1,,,Navajo Metals Inc.,,,
QC-MAIN-2cd944d9-1,,,Niobec Converter,,,
ON-MAIN-dd48cf98-1,,,Ottawa,,,
ON-MAIN-2e8f3879-1,,,Ottawa Plant,,,
ON-MAIN-d1b9bbe6-1,,,Port Colborne,,,
ON-MAIN-7aca343d-1,,,Port Hope,,,
QC-MAIN-3af5b4c3-1,,,Port-Cartier,,,
BC-MAIN-bcfb90e1-1,,,Richmond,,,
BC-MAIN-16a191d7-1,,,Richmond,,,
QC-MAIN-662f8a99-1,,,Rio Tinto Iron and Titanium,,,
QC-MAIN-d7a77a42-1,,,Sainte-Catherine,,,
ON-MAIN-41376f49-1,,,Sault Ste. Marie Division,,,
MB-MAIN-a67682ea-1,,,Selkirk Division,,,
ON-MAIN-cc6e92f1-1,,,Smiths Falls Operation,,,
QC-MAIN-6cad640b-1,,,Sorel Forge,,,
ON-MAIN-ce39294f-1,ON-CTRACE-f4e08424-1,4612.66,Sudbury,Garson Mine,11.111111111111116,19.999999999999996
ON-MAIN-ce39294f-1,ON-CTRACE-62f9ef17-1,9155.35,Sudbury,Sudbury INO Operation,50.0,100.0
AB-MAIN-e029cb1f-1,,,The Cobalt Refinery Company Inc.,,,
BC-MAIN-9be7e69d-1,,,Trail,,,
QC-MAIN-746467df-1,,,Vaudreuil,,,
BC-MAIN-7470aff6-1,,,Victoria Depot,,,
ON-MAIN-10a30e3e-1,,,Welland Mill,,,
SK-MAIN-42af1816-1,,,Wheat City Metals Inc.,,,
ON-MAIN-34211858-1,,,Whitby Division,,,
ON-MAIN-1252073c-1,,,Whitby Mill,,,
QC-MAIN-f6f57dd6-1,,,Elysis,,,
NL-MAIN-f9946847-2,,,Beaver Brook,,,
QC-MAIN-3be44b79-1,,,Lithion St-Bruno,,,
ON-MAIN-e116f385-1,,,Ontario Spoke,,,
AB-MAIN-e2815b92-1,,,Fortune Minerals Refinery,,,
NT-MAIN-47858377-1,,,NICO,,,
ON-MAIN-0df6012f-1,,,Battery Materials Park,,,
QC-MAIN-6c3c0289-1,,,Corner Bay Complex,,,
NL-MAIN-2b03e509-1,,,Great Burnt Lake,,,
BC-MAIN-07ad2be6-1,,,Morrison,,,
BC-MAIN-955f8afa-1,,,North Island,,,
YT-MAIN-411f048c-1,,,Casino,,,
BC-MAIN-832d756d-1,BC-CTRACE-e72e429d-1,8182.21,Ootsa,Huckleberry Mine,0.0,0.0
BC-MAIN-21e4646e-1,BC-CTRACE-8ddeaa4c-1,5588.34,Ajax,New Afton Mine,11.111111111111116,25.0
BC-MAIN-c87d00e6-1,,,Galore Creek,,,
BC-MAIN-b35001c5-1,,,GJ,,,
BC-MAIN-51177ba8-1,BC-CTRACE-425a5a23-1,5130.16,Kemess,Kemess Mine,70.58823529411764,100.0
BC-MAIN-5ec20643-1,,,Kwanika,,,
NL-MAIN-bd410410-2,NL-CTRACE-0630ae4b-1,120.99,Ming,Ming Mine,61.53846153846154,100.0
YT-MAIN-68063961-2,YT-CTRACE-03bfcfef-1,901.88,Minto,Minto Mine,66.66666666666667,100.0
BC-MAIN-89916018-1,,,Yellowhead,,,
YT-MAIN-6943b8cf-1,,,Carmacks,,,
MB-MAIN-84300b33-1,,,Rail,,,
BC-MAIN-6b1be260-1,BC-CTRACE-e72e429d-1,445.86,Huckleberry,Huckleberry Mine,81.4814814814815,100.0
BC-MAIN-b799f085-1,,,Berg,,,
BC-MAIN-67ecc2f4-1,,,Schaft Creek,,,
ON-MAIN-099602fd-1,,,Thierry,,,
NU-MAIN-5d4f52b4-1,,,High Lake,,,
SK-MAIN-92c5ea59-1,,,McIlvenna Bay,,,
BC-MAIN-b6add796-1,,,Kutcho,,,
NL-MAIN-790a609b-1,,,AGS Fluorspar,,,
QC-MAIN-383c2fa3-1,,,Akasaba West,,,
BC-MAIN-1638bb75-1,BC-CTRACE-da4e102e-1,9189.38,Golden Crown,Lexington Mine,30.76923076923077,42.10526315789473
BC-MAIN-ac5c4f8e-1,,,New Prosperity,,,
ON-MAIN-41bc0337-1,,,Upper Beaver,,,
QC-MAIN-5d1776d5-1,QC-CTRACE-da512f6f-1,554.36,Troilus,Troilus Mine,73.6842105263158,100.0
BC-MAIN-18aacb3e-1,,,Iskut,,,
BC-MAIN-853363d1-1,,,KSM,,,
QC-MAIN-1b3434ee-1,QC-CTRACE-312a5be7-1,87.74,Horne 5,Horne Mine,58.82352941176471,83.33333333333334
QC-MAIN-1b3434ee-1,QC-CTRACE-f84b599f-1,440.78,Horne 5,Quemont Mine,31.57894736842105,44.44444444444444
BC-MAIN-b6135486-1,,,Revel Ridge,,,
BC-MAIN-96b6e5eb-1,,,Kitsault Valley,,,
BC-MAIN-53bba17f-1,,,Eskay Creek,,,
YT-MAIN-11319f2d-1,,,Freegold Mountain,,,
MB-MAIN-e03a8156-1,,,East Wekusko - Snow Lake,,,
YT-MAIN-6dca29e5-1,,,Klaza,,,
BC-MAIN-3091ca70-1,,,Deer Horn,,,
MB-MAIN-b483545e-1,,,Monument Bay,,,
YT-MAIN-60122d63-1,,,Rackla Gold,,,
MB-MAIN-515b1195-1,MB-CTRACE-0583d32c-1,2179.03,1901,Lalor Mine,0.0,0.0
MB-MAIN-82ea0522-1,MB-CTRACE-0583d32c-1,4103.49,Chisel North,Lalor Mine,27.27272727272727,35.29411764705882
MB-MAIN-6d9f24ca-1,,,Talbot,,,
MB-MAIN-d97f30a3-1,,,Tower,,,
MB-MAIN-567f87fa-1,MB-CTRACE-0583d32c-1,17262.2,Wim,Lalor Mine,15.384615384615385,33.333333333333336
ON-MAIN-4d689934-1,,,Albany,,,
ON-MAIN-7f2e11bd-1,,,Bissett Creek,,,
QC-MAIN-ce74de1a-1,,,La Loutre,,,
QC-MAIN-fe7c9493-1,,,Lac Guéret (Uatnan),,,
QC-MAIN-d0738410-1,,,Lac Rainy Graphite,,,
ON-MAIN-f944754f-1,,,Kearney,,,
QC-MAIN-a7571857-1,,,Matawinie,,,
QC-MAIN-69334cb0-1,,,Lac Knife,,,
QC-MAIN-2b8cc0f4-1,,,Miller,,,
AB-MAIN-cc42475c-1,,,Steveville,,,
AB-MAIN-a23961e4-1,,,Worsley,,,
QC-MAIN-ba3d416f-1,,,Lac la Blache,,,
QC-MAIN-bc5dd61c-1,,,Mont Sorcier,,,
QC-MAIN-82b2717c-1,,,Blackrock,,,
QC-MAIN-b5c425d8-1,,,Blackrock Pyrometallurgical Facility,,,
QC-MAIN-7a5eacde-1,,,Lac Doré Vanadium,,,
QC-MAIN-f7b40585-1,,,Lithium Demonstration Plant,,,
AB-MAIN-b8d91ef4-1,,,Bashaw District,,,
AB-MAIN-7a44e145-1,,,Boardwalk,,,
SK-MAIN-82b85062-1,,,Kindersley Lithium,,,
SK-MAIN-4690f3c8-1,,,Prairie Lithium,,,
AB-MAIN-26c965c2-1,,,Rainbow Lake,,,
QC-MAIN-8f616fcc-1,,,Authier,,,
ON-MAIN-a70df1a9-1,,,Georgia Lake,,,
QC-MAIN-66812dba-1,,,James Bay Lithium,,,
QC-MAIN-f66d0226-1,,,Moblan,,,
ON-MAIN-4abc69ca-1,,,Separation Rapids,,,
ON-MAIN-313f0146-1,,,Seymour Lake,,,
QC-MAIN-22c0a46a-1,,,Whabouchi,,,
QC-MAIN-d8c75070-1,,,Rose,,,
ON-MAIN-d06125fd-1,,,Pakeagama,,,
QC-MAIN-2e5da440-1,,,Nemaska lithium conversion facility,,,
ON-MAIN-5c6e6c7a-1,,,Markham lithium reprocessing facility,,,
QC-MAIN-1d4869bb-1,,,Sirmac,,,
QC-MAIN-d1b8233a-1,,,Alliance Magnesium,,,
BC-MAIN-bb484112-1,,,Driftwood Creek,,,
BC-MAIN-6f23468f-1,,,Record Ridge,,,
NL-MAIN-9ccf36c0-1,NL-CTRACE-8253809b-1,1740.75,Scully Mine - Manganese project,Scully Mine,52.38095238095239,100.0
QC-MAIN-2e5da440-2,,,Becancour Plant,,,
NB-MAIN-14ab93ca-1,,,Battery Hill,,,
NB-MAIN-80b89ec9-1,,,Woodstock,,,
BC-MAIN-6b348f3c-1,,,Endako,,,
BC-MAIN-3173491b-1,,,Lone Pine,,,
BC-MAIN-74f5551c-1,,,Avanti Kitsault,,,
BC-MAIN-161ec4d9-1,,,Davidson,,,
MB-MAIN-90232f90-1,,,Minago,,,
BC-MAIN-16e89d42-1,,,Decar,,,
BC-MAIN-afea17a6-1,,,Turnagain,,,
QC-MAIN-52b0862b-1,,,Dumont Nickel,,,
MB-MAIN-b7374552-1,,,Bucko Lake,,,
QC-MAIN-62ba823d-1,,,Lac Rocher,,,
ON-MAIN-d8a52df2-1,,,Redstone,,,
ON-MAIN-07bc135f-1,,,Kenbridge,,,
MB-MAIN-17adc4a4-1,,,Lynn Lake,,,
ON-MAIN-8de2b54e-1,ON-CTRACE-55b19f8c-1,15043.25,Crean Hill,Creighton Mine,50.0,57.14285714285714
ON-MAIN-8de2b54e-1,ON-CTRACE-8a30df38-1,8618.95,Crean Hill,Totten Mine,38.095238095238095,47.05882352941176
ON-MAIN-21de8cef-1,ON-CTRACE-e3d25cb9-1,5724.6,Onaping Depth,Coleman Mine,31.999999999999996,36.36363636363637
ON-MAIN-21de8cef-1,ON-CTRACE-c27ea770-1,1272.17,Onaping Depth,McCreedy West Mine,19.354838709677423,37.5
ON-MAIN-92254f18-1,ON-CTRACE-55b19f8c-1,16919.5,Victoria,Creighton Mine,36.36363636363637,37.5
ON-MAIN-92254f18-1,ON-CTRACE-8a30df38-1,6720.26,Victoria,Totten Mine,21.052631578947366,25.0
ON-MAIN-cef2ae42-1,,,Eagle's Nest,,,
MB-MAIN-72954693-1,,,Makwa Mayville,,,
NU-MAIN-4da97af6-1,,,Ferguson Lake,,,
ON-MAIN-771f682a-1,,,Shakespeare,,,
YT-MAIN-62f18e31-1,,,Nickel Shaw,,,
ON-MAIN-71c22461-1,ON-CTRACE-e538b32b-1,16764.88,Crawford,Kidd Creek Mine,17.391304347826086,26.66666666666667
BC-MAIN-cfe1a12c-1,,,Aley,,,
ON-MAIN-9a1b3df8-1,,,James Bay (Argor),,,
QC-MAIN-0f1f6d46-1,,,Crevier,,,
ON-MAIN-c0dbe3d0-1,,,Marathon,,,
ON-MAIN-260dc878-1,,,River Valley,,,
ON-MAIN-13e61769-1,,,Martison,,,
ON-MAIN-f039002e-1,,,Thunder Bay North,,,
SK-MAIN-ee0fab1a-1,,,Jansen,,,
SK-MAIN-fa964b40-1,,,Milestone,,,
NB-MAIN-b72cbf1c-1,,,Millstream,,,
SK-MAIN-52fbe54e-1,,,Muskowekwan,,,
MB-MAIN-2ee057b8-1,,,PADCOM Potash Mine,,,
SK-MAIN-ab9c65a7-1,,,Southey,,,
SK-MAIN-86dd1c37-1,,,Vanguard,,,
SK-MAIN-640b427c-1,,,Wynyard,,,
QC-MAIN-e066357e-1,,,Kipawa (Zeus),,,
QC-MAIN-e363e5b1-1,,,Eldor (Ashram),,,
NT-MAIN-0f6cb3ad-1,,,Nechalacho - T-Zone & Tardiff Zone,,,
NL-MAIN-da3b3dae-1,,,Port Hope Simpson (Foxtrot),,,
SK-MAIN-98848a83-1,,,Rare Earth Processing Facility,,,
ON-MAIN-e116f385-2,,,RapidSX Demonstration Plant,,,
QC-MAIN-1fabc906-1,,,REE Recycling Facility (Saint-Bruno),,,
SK-MAIN-53a8c866-1,,,Rare Earth Processing Facility,,,
QC-MAIN-8fcacde6-1,,,Saint-Honoré,,,
BC-MAIN-f80e2913-1,,,Wicheeda,,,
QC-MAIN-cfde9015-1,,,Strange Lake,,,
NT-MAIN-0f6cb3ad-2,,,Nechalacho - Basal Zone,,,
QC-MAIN-6232bf35-1,,,Kwyjibo,,,
QC-MAIN-f7b40585-2,,,Scandium Demonstration Plant,,,
QC-MAIN-dd392d35-1,,,Crater Lake,,,
BC-MAIN-fa8dd7ae-1,,,Blue River,,,
NS-MAIN-6c39ff7e-1,,,East Kemptville,,,
NB-MAIN-a4415da5-1,,,Mount Pleasant,,,
NT-MAIN-03e8cde6-1,NT-CTRACE-435b1a6a-1,141.28,Cantung,Cantung Mine,73.6842105263158,100.0
YT-MAIN-56c18e10-1,,,Mactung,,,
YT-MAIN-43994b92-1,,,Northern Dancer,,,
NB-MAIN-7b6678ae-1,,,Sisson,,,
SK-MAIN-1dda9c9d-1,,,Eagle Point,,,
SK-MAIN-11948fa6-1,,,Horseshoe-Raven,,,
NU-MAIN-af98f320-1,,,Kiggavik-Sissons,,,
NL-MAIN-9ee6abcb-1,,,Michelin,,,
SK-MAIN-e95a9d65-1,,,Midwest,,,
SK-MAIN-6e2b2410-1,,,Millennium,,,
