main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
MB-MAIN-B4CA1426,manufacturing,0,0,9,0,0,0,132,1,0,1,4,1,0,36,0,0,32,128
ON-MAIN-21B6AB35,manufacturing,0,0,9,0,0,0,238,1,0,1,4,1,0,42,0,0,32,128
QC-MAIN-DE3D8B7B,manufacturing,0,0,9,0,0,0,0,1,4,1,4,1,0,148,0,0,32,128
QC-MAIN-529C96B4,manufacturing,0,0,9,0,0,0,212,1,0,1,4,1,2,217,0,0,32,128
ON-MAIN-206041D1,mining,0,0,9,0,0,0,0,1,7,1,4,1,0,22,0,0,32,128
QC-MAIN-ABB3E1C7,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,217,0,0,32,128
QC-MAIN-30C1828C,manufacturing,0,0,9,0,0,0,220,1,1,1,4,1,2,57,0,5,32,128
ON-MAIN-F8313EBD,mining,1,3,9,0,0,0,1,1,6,1,4,1,2,11,30,0,32,128
ON-MAIN-FCB287A4,mining,0,0,9,0,0,0,128,1,2,1,4,1,0,16,0,2,32,128
ON-MAIN-319E04A8,advanced project,0,0,9,0,0,0,0,1,8,1,4,1,0,23,0,0,32,128
QC-MAIN-A97821C0,mining,1,4,9,0,0,0,269,1,3,1,4,1,7,3,16,1,32,128
ON-MAIN-ED85AC94,mining,0,0,9,0,0,0,0,1,3,1,4,1,0,22,0,0,32,128
ON-MAIN-40CE0593,manufacturing,0,0,9,0,0,0,300,1,9,1,4,1,0,15,0,1,32,128
BC-MAIN-4724F4BA,mining,0,0,9,0,0,0,0,1,2,1,4,1,6,52,3,0,32,128
YT-MAIN-956D050A,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
ON-MAIN-97EE890F,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,6,0,0,32,128
MB-MAIN-27A90834,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,8,0,0,32,128
SK-MAIN-FBE28FEF,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,20,0,0,32,128
BC-MAIN-B031959A,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
QC-MAIN-B86F7D07,mining,1,0,9,0,5,0,2,1,2,1,4,1,3,29,15,4,32,128
YT-MAIN-44857446,mining,1,0,9,0,5,0,2,1,14,1,4,1,2,2,10,0,32,128
YT-MAIN-C3105F43,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
ON-MAIN-FC6F1A44,manufacturing,0,0,9,0,0,0,166,1,0,1,4,1,1,95,0,0,32,128
MB-MAIN-E2E67F8F,advanced project,0,0,9,0,0,0,0,1,9,1,4,1,0,0,0,0,32,128
BC-MAIN-599152A0,mining,1,0,9,0,2,0,187,1,4,1,4,1,16,34,16,0,32,128
MB-MAIN-BE5B3DC8,mining,0,0,9,0,0,0,0,1,5,1,4,1,5,0,10,0,32,128
MB-MAIN-DA0B5C3D,mining,0,0,9,0,0,0,58,1,5,1,4,1,21,0,0,0,32,128
MB-MAIN-C0684566,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
MB-MAIN-0898E255,mining,0,0,9,0,0,0,0,1,1,1,4,1,15,0,2,0,32,128
MB-MAIN-854ABE09,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
MB-MAIN-1A82A1B7,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
MB-MAIN-B5B81EE3,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
QC-MAIN-02884FB5,mining,1,0,9,0,7,0,29,1,8,1,4,1,6,37,5,0,32,128
ON-MAIN-A3C56A83,mining,0,10,9,0,3,0,7,1,1,1,4,1,5,8,20,0,32,128
