Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Latitude,Longitude,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Emission Source / Source d'emission,substance,unit,value
10679,2023,Gibraltar Mine (SFO),MCLEESE LAKE,British Columbia,52.5299,-122.2851,212233,Copper-Zinc Ore Mining,Gibraltar Mines Ltd.,On-site Transportation,CH4,t,5.738607
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Stationary Fuel Combustion,CH4,t,0.234
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Industrial Processes,CH4,t,
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,On-site Transportation,CH4,t,2.8397
10785,2023,Myra Falls Mine Ltd.,Campbell River,British Columbia,49.57694,-125.60194,212233,Copper-Zinc Ore Mining,Myra Falls Mine Ltd,Stationary Fuel Combustion,CH4,t,2.1501
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,CH4,t,0.68891
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,CH4,t,1.71291
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,CH4,t,
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,CH4,t,0.01022
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,CH4,t,0.50604
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,CH4,t,1.63958
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,CH4,t,
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,CH4,t,0.00402
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,Stationary Fuel Combustion,CH4,t,0.102
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,On-site Transportation,CH4,t,0.3
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Stationary Fuel Combustion,CH4,t,0.308795
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Industrial Processes,CH4,t,
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,On-site Transportation,CH4,t,0.0485
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Waste,CH4,t,17.77
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Wastewater,CH4,t,2.3563
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,CH4,t,0.5133
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,CH4,t,
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,CH4,t,1.4747
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Waste,CH4,t,45.325
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,CH4,t,1.4886
10921,2023,HBMS Chisel Lake Mine,Snow Lake,Manitoba,54.83,-100.12,212233,Copper-Zinc Ore Mining,Hudbay Minerals,Stationary Fuel Combustion,CH4,t,0.2049
10921,2023,HBMS Chisel Lake Mine,Snow Lake,Manitoba,54.83,-100.12,212233,Copper-Zinc Ore Mining,Hudbay Minerals,On-site Transportation,CH4,t,0.891
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,CH4,t,0.2915
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,CH4,t,
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,CH4,t,1.0728
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Waste,CH4,t,4.515
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,CH4,t,1.7386
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,CH4,t,0.2042
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,CH4,t,
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,CH4,t,1.5461
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Waste,CH4,t,4.812
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,CH4,t,2.2389
10926,2023,Impala Canada Ltd.,Thunder Bay,Ontario,49.16168,-89.61435,212299,All Other Metal Ore Mining,Impala Canada Ltd.,Stationary Fuel Combustion,CH4,t,0.299
10926,2023,Impala Canada Ltd.,Thunder Bay,Ontario,49.16168,-89.61435,212299,All Other Metal Ore Mining,Impala Canada Ltd.,On-site Transportation,CH4,t,2.885
11095,2023,INFASCO,Marieville,Quebec,45.431,-73.1673,331221,Cold-Rolled Steel Shape Manufacturing,Ifastgroupe,Stationary Fuel Combustion,CH4,t,0.377
11095,2023,INFASCO,Marieville,Quebec,45.431,-73.1673,331221,Cold-Rolled Steel Shape Manufacturing,Ifastgroupe,On-site Transportation,CH4,t,0.0907
11128,2023,Sivaco Québec,Marieville,Quebec,45.4372,-73.1676,331222,Steel Wire Drawing,Groupe des tréfileries Sivaco 2004,Stationary Fuel Combustion,CH4,t,0.212
11128,2023,Sivaco Québec,Marieville,Quebec,45.4372,-73.1676,331222,Steel Wire Drawing,Groupe des tréfileries Sivaco 2004,On-site Transportation,CH4,t,0.053
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,Stationary Fuel Combustion,CH4,t,4.745063
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,Industrial Processes,CH4,t,
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,On-site Transportation,CH4,t,1.86
11390,2023,Fonderie Bibby Sainte-Croix,Sainte-Croix,Quebec,46.6236,-71.7361,331511,Iron Foundries,Canada Pipe Co Ltd.,Stationary Fuel Combustion,CH4,t,0.183
11390,2023,Fonderie Bibby Sainte-Croix,Sainte-Croix,Quebec,46.6236,-71.7361,331511,Iron Foundries,Canada Pipe Co Ltd.,Industrial Processes,CH4,t,0.13
11390,2023,Fonderie Bibby Sainte-Croix,Sainte-Croix,Quebec,46.6236,-71.7361,331511,Iron Foundries,Canada Pipe Co Ltd.,On-site Transportation,CH4,t,0.081
11734,2023,DSO Timmins Project,Menihek,Newfoundland and Labrador,54.88945,-67.0842,212210,Iron Ore Mining,Tata Steel Minerals Canada,Stationary Fuel Combustion,CH4,t,0.795
11734,2023,DSO Timmins Project,Menihek,Newfoundland and Labrador,54.88945,-67.0842,212210,Iron Ore Mining,Tata Steel Minerals Canada,On-site Transportation,CH4,t,0.641
11736,2023,North American Lithium,La Corne,Quebec,48.40579,-77.82782,212299,All Other Metal Ore Mining,North American Lithium inc.,Stationary Fuel Combustion,CH4,t,0.1123
11736,2023,North American Lithium,La Corne,Quebec,48.40579,-77.82782,212299,All Other Metal Ore Mining,North American Lithium inc.,On-site Transportation,CH4,t,2.071
11736,2023,North American Lithium,La Corne,Quebec,48.40579,-77.82782,212299,All Other Metal Ore Mining,North American Lithium inc.,Waste,CH4,t,0.09
11736,2023,North American Lithium,La Corne,Quebec,48.40579,-77.82782,212299,All Other Metal Ore Mining,North American Lithium inc.,Wastewater,CH4,t,0.04
11765,2023,ArcelorMittal long Products Canada - Hamilton East,Hamilton,Ontario,43.2625,-79.7857,331222,Steel Wire Drawing,ArcelorMittal long Products Canada G.P.,Stationary Fuel Combustion,CH4,t,0.296442
11765,2023,ArcelorMittal long Products Canada - Hamilton East,Hamilton,Ontario,43.2625,-79.7857,331222,Steel Wire Drawing,ArcelorMittal long Products Canada G.P.,On-site Transportation,CH4,t,0.103
11767,2023,Rio Tinto Fer et Titane inc. - HAVRE-SAINT-PIERRE,Havre-Saint-Pierre,Quebec,50.2435,-63.6064,212210,Iron Ore Mining,Rio Tinto Fer et Titane inc.,Stationary Fuel Combustion,CH4,t,0.11
11767,2023,Rio Tinto Fer et Titane inc. - HAVRE-SAINT-PIERRE,Havre-Saint-Pierre,Quebec,50.2435,-63.6064,212210,Iron Ore Mining,Rio Tinto Fer et Titane inc.,Industrial Processes,CH4,t,
11767,2023,Rio Tinto Fer et Titane inc. - HAVRE-SAINT-PIERRE,Havre-Saint-Pierre,Quebec,50.2435,-63.6064,212210,Iron Ore Mining,Rio Tinto Fer et Titane inc.,On-site Transportation,CH4,t,1.12
11878,2023,Max Aicher (North America) Limited,Hamilton,Ontario,43.26654,-79.82236,331221,Cold-Rolled Steel Shape Manufacturing,Max Aicher (North America) Limited,Stationary Fuel Combustion,CH4,t,0.3953
11894,2023,Copper Mountain Mine,Princeton,British Columbia,49.34556,-120.51,212233,Copper-Zinc Ore Mining,Copper Mountain Mine (BC) Ltd.,Stationary Fuel Combustion,CH4,t,0.07623
11894,2023,Copper Mountain Mine,Princeton,British Columbia,49.34556,-120.51,212233,Copper-Zinc Ore Mining,Copper Mountain Mine (BC) Ltd.,On-site Transportation,CH4,t,4.644
11894,2023,Copper Mountain Mine,Princeton,British Columbia,49.34556,-120.51,212233,Copper-Zinc Ore Mining,Copper Mountain Mine (BC) Ltd.,Waste,CH4,t,2.962
12009,2023,NATT Tools Group Inc.,Hamilton,Ontario,43.2663,-79.829,331221,Cold-Rolled Steel Shape Manufacturing,NATT Tools Group Inc.,Stationary Fuel Combustion,CH4,t,0.174
12009,2023,NATT Tools Group Inc.,Hamilton,Ontario,43.2663,-79.829,331221,Cold-Rolled Steel Shape Manufacturing,NATT Tools Group Inc.,On-site Transportation,CH4,t,0.0005
12112,2023,Silvertip Mine,Vancouver,British Columbia,53.72667,-127.64762,212231,Lead-Zinc Ore Mining,Coeur Silvertip Holdings Ltd.,Stationary Fuel Combustion,CH4,t,2.4049
12112,2023,Silvertip Mine,Vancouver,British Columbia,53.72667,-127.64762,212231,Lead-Zinc Ore Mining,Coeur Silvertip Holdings Ltd.,On-site Transportation,CH4,t,0.3452
12555,2023,Moly-Cop Canada,Kamloops,British Columbia,50.65726,-120.09649,331511,Iron Foundries,Moly-Cop Canada,Stationary Fuel Combustion,CH4,t,0.428721
12555,2023,Moly-Cop Canada,Kamloops,British Columbia,50.65726,-120.09649,331511,Iron Foundries,Moly-Cop Canada,On-site Transportation,CH4,t,0.001652
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,Stationary Fuel Combustion,N2O,t,6.670616
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,Industrial Processes,N2O,t,
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,On-site Transportation,N2O,t,11.707492
10164,2023,Kidd Metallurgical Site,Timmins/District of Cochrane,Ontario,48.57373,-81.09115,212233,Copper-Zinc Ore Mining,Glencore,Stationary Fuel Combustion,N2O,t,0.3591
10164,2023,Kidd Metallurgical Site,Timmins/District of Cochrane,Ontario,48.57373,-81.09115,212233,Copper-Zinc Ore Mining,Glencore,On-site Transportation,N2O,t,0.69281
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,N2O,t,0.8886
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,N2O,t,
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,N2O,t,91.3918
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Stationary Fuel Combustion,N2O,t,1.039991
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Industrial Processes,N2O,t,
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,On-site Transportation,N2O,t,0.127268
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Waste,N2O,t,0.660689
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Wastewater,N2O,t,0.05525
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,N2O,t,6.8753
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,N2O,t,
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,N2O,t,0.1006
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,Stationary Fuel Combustion,N2O,t,1.567
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,Industrial Processes,N2O,t,
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,On-site Transportation,N2O,t,4.6255
10385,2023,Teck Highland Valley Copper Partnership,Logan Lake,British Columbia,50.47235,-121.02132,212233,Copper-Zinc Ore Mining,Teck Highland Valley Copper Partnership,Stationary Fuel Combustion,N2O,t,0.2343
10385,2023,Teck Highland Valley Copper Partnership,Logan Lake,British Columbia,50.47235,-121.02132,212233,Copper-Zinc Ore Mining,Teck Highland Valley Copper Partnership,On-site Transportation,N2O,t,24.0086
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,Stationary Fuel Combustion,N2O,t,0.6634
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,On-site Transportation,N2O,t,0.7728
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,Waste,N2O,t,0.05116
10570,2023,Voisey's Bay Mine Site,HAPPY VALLEY-GOOSE BAY,Newfoundland and Labrador,56.33826,-62.09508,212232,Nickel-Copper Ore Mining,Vale Newfoundland and Labrador Limited,Stationary Fuel Combustion,N2O,t,19.000608
10570,2023,Voisey's Bay Mine Site,HAPPY VALLEY-GOOSE BAY,Newfoundland and Labrador,56.33826,-62.09508,212232,Nickel-Copper Ore Mining,Vale Newfoundland and Labrador Limited,On-site Transportation,N2O,t,6.000062
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Stationary Fuel Combustion,N2O,t,0.279
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Industrial Processes,N2O,t,
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,On-site Transportation,N2O,t,0.056
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Waste,N2O,t,
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,N2O,t,0.6274
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,N2O,t,
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,N2O,t,15.8821
10613,2023,Mount Polley Mine,Likely,British Columbia,52.5443,-121.6328,212299,All Other Metal Ore Mining,Imperial Metals Corporation,Stationary Fuel Combustion,N2O,t,0.0656
10613,2023,Mount Polley Mine,Likely,British Columbia,52.5443,-121.6328,212299,All Other Metal Ore Mining,Imperial Metals Corporation,On-site Transportation,N2O,t,6.8682
10647,2023,Tree Island Industries Ltd.,Richmond,British Columbia,49.1875,-122.95916,331222,Steel Wire Drawing,Tree Island Industries Ltd,Stationary Fuel Combustion,N2O,t,0.214
10647,2023,Tree Island Industries Ltd.,Richmond,British Columbia,49.1875,-122.95916,331222,Steel Wire Drawing,Tree Island Industries Ltd,On-site Transportation,N2O,t,0.047
10679,2023,Gibraltar Mine (SFO),MCLEESE LAKE,British Columbia,52.5299,-122.2851,212233,Copper-Zinc Ore Mining,Gibraltar Mines Ltd.,Stationary Fuel Combustion,N2O,t,0.866753
10679,2023,Gibraltar Mine (SFO),MCLEESE LAKE,British Columbia,52.5299,-122.2851,212233,Copper-Zinc Ore Mining,Gibraltar Mines Ltd.,On-site Transportation,N2O,t,17.259097
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Stationary Fuel Combustion,N2O,t,0.125
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Industrial Processes,N2O,t,
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,On-site Transportation,N2O,t,1.1894
10785,2023,Myra Falls Mine Ltd.,Campbell River,British Columbia,49.57694,-125.60194,212233,Copper-Zinc Ore Mining,Myra Falls Mine Ltd,Stationary Fuel Combustion,N2O,t,4.7607
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,N2O,t,0.17689
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,N2O,t,5.26807
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,N2O,t,0.00795
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,N2O,t,0.000109
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,N2O,t,0.12985
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,N2O,t,5.12659
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,N2O,t,0.12571
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,N2O,t,2.8e-05
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,Stationary Fuel Combustion,N2O,t,0.46
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,On-site Transportation,N2O,t,2.203
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Stationary Fuel Combustion,N2O,t,1.333676
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Industrial Processes,N2O,t,5.2063
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,On-site Transportation,N2O,t,0.0133
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Waste,N2O,t,0.0088
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Wastewater,N2O,t,0.0782
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,N2O,t,2.2503
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,N2O,t,
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,N2O,t,0.0327
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Waste,N2O,t,
10913,2023,Key Lake Operation,Saskatoon,Saskatchewan,57.21194,-105.67861,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,N2O,t,0.0007
10921,2023,HBMS Chisel Lake Mine,Snow Lake,Manitoba,54.83,-100.12,212233,Copper-Zinc Ore Mining,Hudbay Minerals,Stationary Fuel Combustion,N2O,t,0.922
10921,2023,HBMS Chisel Lake Mine,Snow Lake,Manitoba,54.83,-100.12,212233,Copper-Zinc Ore Mining,Hudbay Minerals,On-site Transportation,N2O,t,0.831
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,N2O,t,1.2602
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,N2O,t,
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,N2O,t,0.0369
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Waste,N2O,t,
10922,2023,McArthur River Operation,Saskatoon,Saskatchewan,57.75556,-105.065,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,N2O,t,0.0008
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Stationary Fuel Combustion,N2O,t,0.8955
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Industrial Processes,N2O,t,
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,On-site Transportation,N2O,t,0.0632
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Waste,N2O,t,
10923,2023,Cigar Lake Operation,Sasktoon,Saskatchewan,58.0676,-104.542,212291,Uranium Ore Mining,Cameco Corporation,Wastewater,N2O,t,0.0011
10926,2023,Impala Canada Ltd.,Thunder Bay,Ontario,49.16168,-89.61435,212299,All Other Metal Ore Mining,Impala Canada Ltd.,Stationary Fuel Combustion,N2O,t,1.316
10926,2023,Impala Canada Ltd.,Thunder Bay,Ontario,49.16168,-89.61435,212299,All Other Metal Ore Mining,Impala Canada Ltd.,On-site Transportation,N2O,t,3.053
11095,2023,INFASCO,Marieville,Quebec,45.431,-73.1673,331221,Cold-Rolled Steel Shape Manufacturing,Ifastgroupe,Stationary Fuel Combustion,N2O,t,0.304
11095,2023,INFASCO,Marieville,Quebec,45.431,-73.1673,331221,Cold-Rolled Steel Shape Manufacturing,Ifastgroupe,On-site Transportation,N2O,t,0.0491
11128,2023,Sivaco Québec,Marieville,Quebec,45.4372,-73.1676,331222,Steel Wire Drawing,Groupe des tréfileries Sivaco 2004,Stationary Fuel Combustion,N2O,t,0.189
11128,2023,Sivaco Québec,Marieville,Quebec,45.4372,-73.1676,331222,Steel Wire Drawing,Groupe des tréfileries Sivaco 2004,On-site Transportation,N2O,t,0.062
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,Stationary Fuel Combustion,N2O,t,14.235333
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,Industrial Processes,N2O,t,
11382,2023,Projet Nunavik Nickel,Kattiniq,Quebec,61.3239,-73.3234,212232,Nickel-Copper Ore Mining,Canadian Royalties inc.,On-site Transportation,N2O,t,13.560123
