Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10647,Tree Island Industries,Tree Island Industries Ltd,Richmond,3933 Boundary Road,V6V 1T8,British Columbia,49.1875,-122.959,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Steel Wire Drawing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331222&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10647-2013.html,"http://indicators-map.canada.ca/App/Detail?id=0110647&GoCTemplateCulture=en-CA
"
10657,Quebec Silicon LP,Silicium Québec SEC,Bécancour,6500 Yvon-Trudeau Street,G9H 2V8,Quebec,46.3712,-72.3881,194.62,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10657-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110657&GoCTemplateCulture=en-CA
"
10678,"Gerdau Ameristeel Corporation, Manitoba Mill",Gerdau Ameristeel Corporation,Selkirk,27 Main Street,R1A 1P6,Manitoba,50.1302,-96.9013,48.05,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10678-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110678&GoCTemplateCulture=en-CA
"
10738,"Gerdau Ameristeel Corporation, Cambridge Mill",Gerdau Ameristeel Corporation,Cambridge,160 Orion Place,N1T 1R9,Ontario,43.3706,-80.284,16.05,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10738-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110738&GoCTemplateCulture=en-CA
"
10791,Aluminerie Arvida - Centre technologique AP60,Rio Tinto Alcan Inc,Jonquière,2685 Boulevard du Saguenay,G7S 0C9,Quebec,48.43193,-71.15674,96.48,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10791-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110791&GoCTemplateCulture=en-CA
"
10810,Long Harbour Operations,Vale Newfoundland and Labrador Limited,Long Harbour,1 Nickel Road,A0B 2J0,Newfoundland and Labrador,47.40889,-53.81167,50.09,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10810-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110810&GoCTemplateCulture=en-CA
"
10861,Ball Advanced Aluminum Technologies Canada Inc.,Ball Advanced Aluminum Technologies Holding Canada Inc.,Sherbrooke,2205 Roy Road,J1K 1B8,Quebec,45.39009,-71.92586,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,"Aluminum Rolling, Drawing, Extruding and Alloying",https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331317&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10861-2020.html,"http://indicators-map.canada.ca/App/Detail?id=0110861&GoCTemplateCulture=en-CA
"
10903,SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD,Société en commandite Revenu Noranda,Salaberry De Valleyfield,860 Gérard Cadieux Boulevard,J6T 6L4,Quebec,45.2281,-74.1031,48.69,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10903-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110903&GoCTemplateCulture=en-CA
"
11020,Matalco Inc.,Matalco Inc.,Brampton,850 Intermodal Drive,L6T 0B5,Ontario,43.74325,-79.65764,22.34,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,"Aluminum Rolling, Drawing, Extruding and Alloying",https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331317&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11020-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0111020&GoCTemplateCulture=en-CA
"
11042,Real Alloy Mississauga,Real Alloy Canada Ltd.,Mississauga,7496 Torbram Road,L4T 1G9,Ontario,43.7014,-79.6679,14.92,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,"Aluminum Rolling, Drawing, Extruding and Alloying",https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331317&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11042-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0111042&GoCTemplateCulture=en-CA
"
