main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
AB-MAIN-ca9625ce,,,Fortune Minerals Refinery,,,
NT-MAIN-b7cdf82c,,,NICO,,,
ON-MAIN-d47616e5,,,Martison,,,
BC-MAIN-e1641dfb,,,Decar,,,
ON-MAIN-c06904f0,,,Pakeagama,,,
ON-MAIN-64bbe7e6,,,Marathon,,,
QC-MAIN-22426144,,,REE Recycling Facility (Saint-Bruno),,,
MB-MAIN-0d5c2cae,,,Selkirk Division,,,
ON-MAIN-92cdea80,,,Whitby Division,,,
ON-MAIN-bddeaef0,,,Cambridge Mill,,,
MB-MAIN-b4ca1426,,,Manitoba Mill,,,
ON-MAIN-21b6ab35,,,Whitby Mill,,,
QC-MAIN-de3d8b7b,QC-MINCAN-6127ba77,15463.63,Canadian Electrolytic Zinc Limited (CEZinc),None,28.57142857142857,8.510638297872347
QC-MAIN-529c96b4,,,CCR,,,
ON-MAIN-206041d1,ON-MINCAN-838ef03f,16.57,Fraser,Fraser,100.0,100.0
ON-MAIN-206041d1,ON-MINCAN-fa8d0bc2,2912.59,Fraser,Levack,25.0,16.66666666666667
QC-MAIN-abb3e1c7,,,General Smelting Company of Canada,,,
QC-MAIN-30c1828c,QC-MINCAN-83950e58,9344.6,Horne,Peel-Elder,33.333333333333336,13.333333333333329
QC-MAIN-30c1828c,QC-MINCAN-47ee4b61,16470.86,Horne,None,75.0,66.66666666666666
ON-MAIN-f8313ebd,ON-MINCAN-08e05315,300.37,Kidd Creek,Kidd Creek,100.0,100.0
ON-MAIN-fcb287a4,,,Nickel Rim South,,,
ON-MAIN-319e04a8,ON-MINCAN-838ef03f,4844.26,Onaping Depth,Fraser,22.22222222222222,10.526315789473685
ON-MAIN-319e04a8,ON-MINCAN-fa8d0bc2,3252.5,Onaping Depth,Levack,22.22222222222222,21.05263157894737
QC-MAIN-a97821c0,QC-MINCAN-a90e8433,615.8,Raglan,Raglan,100.0,100.0
ON-MAIN-ed85ac94,ON-MINCAN-838ef03f,1155.52,Strathcona,Fraser,40.0,25.0
ON-MAIN-ed85ac94,ON-MINCAN-fa8d0bc2,3070.78,Strathcona,Levack,33.333333333333336,25.0
ON-MAIN-40ce0593,,,Sudbury,,,
BC-MAIN-4724f4ba,,,Elk,,,
YT-MAIN-956d050a,,,Carmacks,,,
ON-MAIN-97ee890f,,,Seymour Lake,,,
MB-MAIN-27a90834,,,Makwa Mayville,,,
SK-MAIN-fbe28fef,,,Kindersley Lithium,,,
BC-MAIN-b031959a,,,Turnagain,,,
QC-MAIN-b86f7d07,QC-MINCAN-cf418fe9,52.79,Casa Berardi,Casa Berardi,100.0,100.0
YT-MAIN-44857446,YT-MINCAN-1ba16580,8650.64,Keno Hill Silver District,Historic Keno Hill District,83.72093023255813,83.72093023255815
YT-MAIN-c3105f43,,,Rackla Gold,,,
ON-MAIN-fc6f1a44,,,Ivaco Rolling Mills,,,
