main_id,ghg_id,distance_m,facility_name,facility_name_ghg,similarity_partial_score,similarity_token_set
ON-MAIN-f4fc3276,,,Sugar Zone,,,
MB-MAIN-915d9faa,,,Tanco,,,
BC-MAIN-b1fe389a,,,Eskay Creek,,,
QC-MAIN-1d2f31f9,,,Kwyjibo,,,
NL-MAIN-bb23d8a6,,,Great Burnt Lake,,,
SK-MAIN-22ce14be,,,Santoy,,,
SK-MAIN-29afbdb5,,,Seabee,,,
NS-MAIN-c9c77a59,12010.0,2151.35,Moose River Consolidated,Touquoy Mine,45.45454545454546,27.77777777777777
ON-MAIN-020a683c,10091.0,1864.39,Hamilton Works,ArcelorMittal Dofasco,41.666666666666664,28.57142857142857
ON-MAIN-020a683c,10275.0,1391.43,Hamilton Works,Hamilton,100.0,100.0
ON-MAIN-020a683c,11765.0,3118.91,Hamilton Works,ArcelorMittal long Products Canada - Hamilton East,74.07407407407408,72.72727272727272
ON-MAIN-020a683c,11878.0,1004.3,Hamilton Works,Max Aicher (North America) Limited,35.71428571428571,20.83333333333333
ON-MAIN-020a683c,12009.0,1295.31,Hamilton Works,NATT Tools Group Inc.,25.0,28.57142857142857
ON-MAIN-b2e5c9bb,10276.0,1159.14,Lake Erie Works,Lake Erie,100.0,100.0
QC-MAIN-3032c251,11519.0,1700.62,Renard,Mine Renard,100.0,100.0
