,main_id,name,latitude,longitude,modis_2001,modis_2002,modis_2003,modis_2004,modis_2005,modis_2006,modis_2007,modis_2008,modis_2009,modis_2010,modis_2011,modis_2012,modis_2013,modis_2014,modis_2015,modis_2016,modis_2017,modis_2018,modis_2019,modis_2020,modis_2021,modis_2022,modis_2023
37,ON-MAIN-46afc5a3-1,Musselwhite,52.6127,-90.3636,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Savannas,Permanent Wetlands,Permanent Wetlands,Permanent Wetlands,Woody Savannas,Woody Savannas,Woody Savannas,Permanent Wetlands,Woody Savannas,Permanent Wetlands,Permanent Wetlands
38,MB-MAIN-8f99fefb-1,New Britannia,54.886349,-100.024002,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
39,BC-MAIN-e6cded7f-1,Mount Polley,52.544959,-121.633931,Savannas,Woody Savannas,Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren
40,BC-MAIN-bc178f67-1,New Afton,50.661,-120.514,Grasslands,Grasslands,Grasslands,Grasslands,Barren,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
41,BC-MAIN-95797c9b-1,Red Chris,57.7,-129.78333,Woody Savannas,Open Shrublands,Grasslands,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Open Shrublands,Woody Savannas,Grasslands,Grasslands,Grasslands,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
42,MB-MAIN-1136efa4-1,Stall Lake,54.85692,-99.9451,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
43,MB-MAIN-fd93bf0f-1,Lalor Lake,54.86667,-100.13333,Evergreen Needleleaf Forest,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Evergreen Needleleaf Forest,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
44,QC-MAIN-44440aa8-1,LaRonde,48.2516,-78.428,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Woody Savannas,Woody Savannas,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest
45,BC-MAIN-0910057b-1,Brule,55.398,-121.832,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Woody Savannas,Evergreen Needleleaf Forest,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Barren,Barren,Barren,Barren,Woody Savannas,Barren,Woody Savannas,Woody Savannas
46,BC-MAIN-963c4503-1,Willow Creek,55.607,-122.2222,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren
47,BC-MAIN-e24a35ee-1,Wolverine,55.0861,-121.2453,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren
48,AB-MAIN-7ae40bd3-1,Grande Cache,54.0333,-119.1667,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
49,BC-MAIN-9ae2b136-1,Elkview,49.7431,-114.805,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren
50,BC-MAIN-fc1cc254-1,Fording River,50.19817,-114.830862,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Grasslands
51,BC-MAIN-c5a3b064-1,Greenhills,50.117858,-114.877193,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Woody Savannas
52,NS-MAIN-d018933a-1,Donkin,46.178108,-59.825861,Mixed Forests,Mixed Forests,Water,Woody Savannas,Mixed Forests,Mixed Forests,Mixed Forests,Water,Water,Water,Water,Water,Water,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
53,BC-MAIN-e58d2ef9-1,Line Creek,49.95,-114.7833,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Grasslands,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Barren,Grasslands
54,AB-MAIN-b18786c7-1,Vista,53.403506,-117.36642,Woody Savannas,Evergreen Needleleaf Forest,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
